"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,2289,"Franklin","PA","Chambersburg",392,166900,0.0011997600479904,0.00602772754671489,0.0176829268292683,0.0159548141522781,,"2009-08","2009-Q3",187400,-0.109391675560299,
2017-09-30,498,"Ellis","TX","Dallas-Fort Worth",393,190600,-0.00209424083769634,0.00899947061937533,0.110722610722611,0.0778797677895173,0.0306005700994336,"2017-08","2017-Q3",191000,-0.00209424083769634,"2017-08"
2017-09-30,1413,"Sussex","NJ","New York",394,225500,0.000443655723158829,-0.00529333921482135,0.0339293901879872,0.0121370211028491,-0.0292692544268967,"2007-06","2007-Q2",313800,-0.281389420012747,"2003-08"
2017-09-30,3028,"Schuylkill","PA","Pottsville",395,77200,0.00651890482398957,0.0404312668463612,0.0919377652050919,0.0346828778582693,0.00897698485310672,"2017-09","2017-Q3",77200,0,"2017-09"
2017-09-30,3149,"Yellowstone","MT","Billings",396,205200,-0.00243072435585805,-0.00291545189504373,0.0214036834245893,0.0418092681026443,0.0160473109190189,"2017-07","2017-Q3",206100,-0.00436681222707424,"2017-06"
2017-09-30,3119,"Rock Island","IL","Davenport",397,93500,0.00429645542427497,0.0119047619047619,-0.039054470709147,-0.000213766586447672,0.00216458574183953,"2015-02","2015-Q1",99000,-0.0555555555555556,"2012-07"
2017-09-30,3059,"Washington","MD","Hagerstown",398,179200,0.00617630544637844,0.0158730158730159,0.0782190132370638,0.0311760737115132,-0.0223723113366068,"2006-05","2006-Q2",237900,-0.246742328709542,"2004-10"
2017-09-30,251,"Mesa","CO","Grand Junction",399,208900,0.0106434446057088,0.0295712173484475,0.0625635808748728,0.0454144525638696,-0.00420917382972141,"2008-03","2008-Q1",220700,-0.0534662437698233,"2007-05"
2017-09-30,1607,"Charles","MD","Washington",400,297300,0.017105713308245,0.0523893805309735,0.095834869148544,0.0447974821991628,-0.0149412852394072,"2007-02","2007-Q1",365500,-0.186593707250342,"2005-04"
2017-09-30,2799,"Merrimack","NH","Concord",401,227800,-0.00087719298245614,-0.00087719298245614,0.0556070435588508,0.0443134650140353,-0.003403371250988,"2006-03","2006-Q1",246000,-0.0739837398373984,"2005-02"
2017-09-30,1176,"Martin","FL","Port St. Lucie",402,252700,0.00118858954041204,0,0.0433526011560694,0.0997293387287463,-0.000630966660156496,"2006-03","2006-Q1",309700,-0.184049079754601,"2005-01"
2017-09-30,2695,"Fairfield","OH","Columbus",403,170400,0,0.0118764845605701,0.0551083591331269,0.0400837495839879,0.00925720293723797,"2017-09","2017-Q3",170400,0,"2017-09"
2017-09-30,2722,"Hendricks","IN","Indianapolis",404,166100,0.00423216444981862,0.00544794188861985,0.0512658227848101,0.0218294089053606,0.0101130221678067,"2017-02","2017-Q1",176200,-0.0573212258796822,"2017-01"
2017-09-30,1951,"Olmsted","MN","Rochester",405,209000,0.00577478344562079,0.0250122609122119,0.0801033591731266,0.0607849235875335,0.0200314137133382,"2017-09","2017-Q3",209000,0,"2017-09"
2017-09-30,2527,"Santa Fe","NM","Santa Fe",406,296500,-0.000674081563869228,-0.00101078167115903,0.00202771206488679,0.0221782332824823,-0.00137238330765133,"2009-06","2009-Q2",404900,-0.267720424796246,"2006-12"
2017-09-30,1582,"Cambria","PA","Johnstown",407,76500,-0.00649350649350649,0,-0.0204865556978233,0.0127620010117557,-0.00091045690219782,"2007-05","2007-Q2",79600,-0.0389447236180905,"2006-11"
2017-09-30,2495,"Randolph","NC","Greensboro",408,121200,0.000825763831544178,0.00165289256198347,0.0314893617021277,0.0233301572914595,,"2017-09","2017-Q3",121200,0,"2017-09"
2017-09-30,938,"Citrus","FL","Homosassa Springs",409,144700,0.00277200277200277,0.0226148409893993,0.115651503469545,0.0855240745920285,-0.00856628452752561,"2006-07","2006-Q3",181500,-0.202754820936639,"2005-04"
2017-09-30,78,"Lee","AL","Auburn",410,182600,-0.00381887615930169,0.000547945205479452,0.0715962441314554,0.0401163010283927,0.00431765293356379,"2017-08","2017-Q3",183300,-0.00381887615930169,"2017-08"
2017-09-30,1782,"Houston","GA","Warner Robins",411,117100,0.0112262521588946,0.0326278659611993,0.0597285067873303,0.0138818453784755,0.00120348725067299,"2010-10","2010-Q4",117700,-0.00509770603228547,"2010-08"
2017-09-30,1805,"Jackson","MS","Gulfport",412,113100,0.0044404973357016,0.0134408602150538,0.0281818181818182,0.0105843689902043,,"2010-03","2010-Q1",129700,-0.12798766383963,
2017-09-30,1821,"Johnson","IN","Indianapolis",413,148000,0.002710027100271,0.0109289617486339,0.0533807829181495,0.0305917518610519,0.0107436171495634,"2017-09","2017-Q3",148000,0,"2017-09"
2017-09-30,2368,"Kootenai","ID","Coeur d'Alene",414,240600,0.0025,0.00880503144654088,0.0552631578947368,0.0673310920982313,-0.000373297262437178,"2007-04","2007-Q2",241800,-0.00496277915632754,
2017-09-30,701,"Rowan","NC","Charlotte",415,140500,0.0078909612625538,0.0203340595497458,0.0579819277108434,0.0358722687370494,0.00340822219120196,"2017-09","2017-Q3",140500,0,"2017-09"
2017-09-30,446,"Clark","OH","Springfield",416,102500,0.00293542074363992,0.0118460019743337,0.0778128286014721,0.0359675219923463,0.00470485539290766,"2006-11","2006-Q4",103600,-0.0106177606177606,"2006-07"
2017-09-30,3074,"Washington","UT","St. George",417,238700,0.00125838926174497,0.010584250635055,0.0632516703786192,0.0624781838814683,-0.0152673928755245,"2007-03","2007-Q1",282100,-0.153846153846154,"2006-04"
2017-09-30,3168,"Indian River","FL","Vero Beach",418,198000,0.00712105798575788,0.0206185567010309,0.100611450806003,0.0958290869027185,-0.00278513968014227,"2006-04","2006-Q2",244000,-0.188524590163934,"2005-01"
2017-09-30,1218,"Monroe","IN","Bloomington",419,161000,-0.0018598884066956,-0.023650697392359,0.0536649214659686,0.0242819832903935,0.0175430865897037,"2017-05","2017-Q2",166400,-0.0324519230769231,"2017-02"
2017-09-30,3164,"Hampton City","VA","Virginia Beach",420,157700,-0.00253004427577483,-0.00692695214105793,0.0154539600772698,0.00646466265815082,-0.012202244490832,"2007-11","2007-Q4",180100,-0.124375347029428,"2005-11"
2017-09-30,494,"Ector","TX","Odessa",421,129700,-0.00689127105666156,-0.0114329268292683,-0.0284644194756554,,,"2014-03","2014-Q1",141300,-0.0820948336871904,
