"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Rockingham","NH","Boston","33","015",105,289900,279450,284900,284450,284450,289000,329900,329900,334900,329900,329900,329900,339450,327200,317200,339900,349950,354950,349900,349450,359950,364450,344450,325000,329900,324950,355000,355000,339950,335000,319450,319900,319990,319000,299838.5,299900,324900,342050,329450,340025,324900,336500,349450,329950,349900,354900,316950,329750,334500,347950,330000,367400,375000,369900,389900,395000,399900,373000,374900,365000,387450,375000,399900,389900,399950,399000,390000,390000,369950,370000,370000,370000,391450,399900,399900,4e+05,409000,462499.5,429000,409950,425000,399950,399900,417777.5,415000,455000,429900,399450,429000,399450,440900,455000,529000
"Anchorage","AK","Anchorage","02","020",106,385000,398000,405000,405000,399000,392475,379950,345000,339900,369500,379000,379000,329900,320000,322450,320000,339000,324450,327000,339450,339450,339000,350000,359900,350000,354500,350000,339450,339000,339900,335000,334000,339000,339000,356200,340000,340000,350000,349450,349950,350000,349900,354900,354950,360000,369000,347000,379000,375000,375500,369000,380000,374900,379500,379000,390000,4e+05,399950,372450,349450,379925,415000,415000,424900,424000,429000,389000,409000,374750,381000,389000,399450,425000,424750,425000,442500,450000,445000,445950,429900,429950,437450,439750,446900,447950,450000,450000,445500,450000,447950,450000,450000,439900
"Cumberland","ME","Portland","23","005",107,259000,269900,272500,276750,282400,279900,275000,279000,269250,259900,269700,267700,259900,249250,249700,249900,250000,259000,259000,254900,269675,272450,269900,264500,260000,259000,258000,264000,268000,259500,257000,260000,265000,249900,239492.5,234000,239750,249900,265000,260000,259000,272400,278700,289900,295000,285000,299000,299000,289900,272400,264500,269900,289000,299000,289900,289900,289900,276900,265000,265000,266500,283900,274900,274900,269900,277450,275000,294900,299000,299450,299950,3e+05,299900,299000,299900,339450,339900,349900,349900,349900,349900,349900,367000,350000,337450,392000,349900,394000,357000,376500,367250,375000,389000
"Atlantic","NJ","Atlantic City","34","001",108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,299000,299000,299000,299000,299000,299000,299000,299000,289000,295500,289000,289000,297250,292000,295000
"New London","CT","New London","09","011",109,194950,222388,219000,219450,199900,190500,189950,185000,184950,185000,184900,185000,185000,179950,174900,174900,176999.5,179900,179500,179900,169900,169500,169900,166944,169200,169900,169900,168000,169900,169900,168000,167900,162900,162450,169900,165000,159900,164999,164999.5,169000,174950,169900,164999.5,169900,170000,169900,169900,165000,159450,159000,152450,156950,165900,179000,179000,169900,164900,159900,164900,159900,157900,159450,158450,159900,155000,159900,159900,159900,155000,154950,150000,149900,149900,149900,150800,150800,165000,159900,159900,159900,155000,153250,149900,140000,146950,149900,149000,157000,159000,163999,165000,169900,177400
"San Luis Obispo","CA","San Luis Obispo","06","079",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725000,695000,695000,792000,795000,797000,849000,795000,849000,794450,799000,794450,775000,824450,774000,729000
"Horry","SC","Myrtle Beach","45","051",111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347000,327000,329000,329900,329900,349867,337450,377499.5,389499.5,417000,382499.5,350000
"Dauphin","PA","Harrisburg","42","043",112,,,,,,,,,,,,,,,,,,,119900,119900,112400,119900,129900,129000,122450,109900,120000,135000,132900,129900,129900,144900,139811,128500,142355.5,139655.5,149000,157000,149000,144355.5,124900,124900,115000,124950,125000,124900,119950,120000,126000,134950,118450,122500,125000,120000,122122.5,112500,110000,115000,110000,110000,109900,107900,99500,99700,109900,99500,106000,105450,117900,110950,124950,109700,124900,119900,107750,112450,107950,99900,105000,99000,98500,99000,98500,96000,98500,99000,99000,99900,95625,99900,95250,92000,92250
"Weld","CO","Greeley","08","123",113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220000,217500,215000,225000,222450,219900,228450,228000,226950,215000,204900,203420.5,215000,225000,244900,237500,249900,225000
"Thurston","WA","Olympia","53","067",114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285000,285000,262450,245000,245000,229900,242475,257475,239950,276450,275000,277000,279900,279900,289950,315900,299000,289950
