"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Humboldt","CA","Eureka",432,1564,-0.0393120393120393,-0.0651524208009564,0.183951551854656,29774
2017-09-30,"Coconino","AZ","Flagstaff",433,1813,-0.00657534246575343,-0.0092896174863388,0.00110436223081171,30879
2017-09-30,"Robeson","NC","Lumberton",434,790,0.00126742712294043,0.00381194409148666,-0.028290282902829,17413
2017-09-30,"Marathon","WI","Wausau",435,1065,0.0113960113960114,0.00282485875706215,0.0299806576402321,51048
2017-09-30,"Orange","NC","Durham",436,1571,0.00319284802043423,0.00511836212412028,0.0142027114267269,42216
2017-09-30,"Lebanon","PA","Lebanon",437,1097,-0.0126012601260126,-0.0205357142857143,0.0398104265402844,38180
2017-09-30,"Douglas","GA","Atlanta",438,1189,0.00507185122569738,0.0241171403962102,0.0721370604147881,43570
2017-09-30,"Madison","IN","Indianapolis",439,792,-0.0050251256281407,-0.01,0.0193050193050193,53923
2017-09-30,"Sandoval","NM","Albuquerque",440,1192,-0.000838222967309304,-0.00996677740863787,-0.0165016501650165,56952
2017-09-30,"Guadalupe","TX","San Antonio",441,1505,-0.0013271400132714,-0.000664010624169987,0.0182679296346414,44786
2017-09-30,"Taylor","TX","Abilene",442,1054,-0.00283822138126774,0.00285442435775452,0.0282926829268293,42008
2017-09-30,"Wichita","TX","Wichita Falls",443,845,0,-0.00236127508854782,-0.00705052878965922,39231
2017-09-30,"Cochise","AZ","Sierra Vista",444,841,-0.00591016548463357,-0.0094228504122497,-0.0421412300683371,34706
2017-09-30,"Berkshire","MA","Pittsfield",445,1679,-0.0356117174037909,-0.0333909038572251,0.122326203208556,43250
2017-09-30,"Black Hawk","IA","Waterloo",446,1052,0.0019047619047619,-0.00661000944287063,-0.0357470210815765,42800
2017-09-30,"Johnson","IA","Iowa City",447,1470,0.00204498977505112,-0.0040650406504065,-0.00943396226415094,39216
2017-09-30,"San Juan","NM","Farmington",448,1124,0.0144404332129964,0.0349907918968692,-0.0131694468832309,26360
2017-09-30,"Scott","MN","Minneapolis-St Paul",449,1855,-0.00322407307898979,0.0103485838779956,0.0515873015873016,44443
2017-09-30,"Stafford","VA","Washington",450,1928,0.00155844155844156,0.00731452455590387,0,36572
2017-09-30,"Hunterdon","NJ","New York",451,2361,0.00854335753951303,0.0278624292555507,0.0359806932865292,43415
2017-09-30,"Livingston","LA","Baton Rouge",452,1343,-0.000744047619047619,-0.00148698884758364,-0.0044477390659748,36644
2017-09-30,"Coweta","GA","Atlanta",453,1374,0.00512070226773957,0.00955180014695077,0.0246085011185682,52452
2017-09-30,"Blair","PA","Altoona",454,820,-0.00364520048602673,-0.0563866513233602,-0.201557935735151,29429
2017-09-30,"Sebastian","AR","Fort Smith",455,873,0.0046029919447641,0.00344827586206897,-0.00456100342075257,34454
2017-09-30,"Wright","MN","Minneapolis-St Paul",456,1477,0.00750341064120055,0.0179186767746382,0.0467753366406804,43828
2017-09-30,"Richland","OH","Mansfield",457,702,-0.0126582278481013,-0.0487804878048781,-0.124688279301746,38750
2017-09-30,"Comanche","OK","Lawton",458,698,0.00143472022955524,-0.00285714285714286,0.00576368876080692,38291
2017-09-30,"Columbia","GA","Augusta",459,1229,0.00162999185004075,0.0123558484349259,-0.0253766851704996,42058
2017-09-30,"Strafford","NH","Boston",460,1756,0.0109383995394358,0.015615962984384,-0.00846979107848673,31905
2017-09-30,"Blount","TN","Knoxville",461,1128,-0.00441306266548985,-0.0079155672823219,0.0162162162162162,63560
2017-09-30,"Washington","TN","Johnson City",462,990,0.0164271047227926,0.03125,-0.01,52257
2017-09-30,"Wayne","NC","Goldsboro",463,930,0.00323624595469256,0.0130718954248366,0.0568181818181818,12549
2017-09-30,"Spotsylvania","VA","Washington",464,1439,0.00139178844815588,-0.00208044382801664,-0.00621546961325967,57132
2017-09-30,"Kennebec","ME","Augusta",465,1054,0.0323212536728697,0.0193423597678917,-0.0589285714285714,32837
2017-09-30,"Oswego","NY","Syracuse",466,1244,0.0105605199025183,0.0105605199025183,-0.0511060259344012,30313
2017-09-30,"Gregg","TX","Longview",467,1141,0.00175592625109745,-0.00609756097560976,-0.0411764705882353,33826
2017-09-30,"Tangipahoa","LA","Hammond",468,1275,-0.0108611326609775,-0.0131578947368421,0.0315533980582524,30991
2017-09-30,"Potter","TX","Amarillo",469,861,0.00232828870779977,-0.00231749710312862,-0.0528052805280528,32035
2017-09-30,"Grayson","TX","Sherman",470,1130,-0.00615655233069481,-0.0182450043440487,0.0531220876048462,40774
2017-09-30,"Randall","TX","Amarillo",471,1369,-0.0021865889212828,-0.00363901018922853,-0.0379479971890372,42682
2017-09-30,"Morgan","AL","Decatur",472,811,0,0.00247218788627936,-0.0109756097560976,44621
2017-09-30,"Pickens","SC","Greenville",473,1189,-0.00502092050209205,-0.000840336134453782,0.0559502664298401,34045
2017-09-30,"Boone","KY","Cincinnati",474,1390,0.00578871201157742,0.0116448326055313,-0.0211267605633803,41993
2017-09-30,"Calhoun","AL","Anniston",475,726,0.00276243093922652,0.0168067226890756,-0.0202429149797571,44545
2017-09-30,"Windham","CT","Worcester",476,1367,-0.00364431486880466,-0.0065406976744186,-0.0311835577604536,31955
2017-09-30,"Delaware","IN","Muncie",477,877,0.0034324942791762,0.0477897252090801,0.0880893300248139,41612
