"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Tazewell","VA","Bluefield","51","185",930,99900,99000,104900,109000,109900,109000,109450,125000,129999,134500,129000,127000,119900,119900,119000,119000,119250,119900,119900,124900,124900,129900,124900,129900,128750,125000,125000,124950,121000,119000,118250,119000,118000,118000,119950,120000,118000,117600,119900,125000,129450,129000,129700,127500,129000,129000,129000,124900,127000,125000,124700,124950,125000,129000,129000,128500,129700,129900,124900,124900,124950,124900,124950,125000,129000,124700,128250,124900,125000,125000,125000,125500,119900,119500,128750,129000,127000,124800,120000,120000,119950,116000,113000,115000,124900,119500,125000,124900,120500,119000,118500,119000,118457
"Itasca","MN",,"27","061",931,199950,199950,205000,199900,199900,224000,216500,201400,199900,195500,175000,164900,163000,159900,169000,178950,177000,172400,169900,189000,189900,175000,166750,161000,159450,160000,161000,169900,169900,169900,169900,169900,174700,169900,169450,174500,164900,159450,164900,169000,169900,174900,169900,169000,169900,169900,163500,159000,149900,159900,174560,178450,162900,169900,159900,159900,159900,159900,159450,149500,159900,166500,169900,169900,165950,171200,167700,172500,169900,171450,167100,167500,162000,164900,169900,171950,174900,174900,169900,164900,164950,159925,150900,155000,155000,157000,179450,179900,179900,179000,179900,179900,179900
"Stephens","OK","Duncan","40","137",932,111200,112500,109900,102500,108750,118900,119500,114900,119250,125000,119950,118250,117500,110000,114900,114900,115000,118500,115750,116200,116500,119500,129000,124900,116500,116100,107450,119950,120000,116250,115000,115000,114950,109250,105700,104950,112000,105000,110000,117500,116500,119000,117750,119900,119250,124900,124900,115500,109000,103500,109900,109000,109000,108500,109500,112400,107500,107500,89900,90950,105500,1e+05,109900,115950,121200,118700,119900,114900,119950,121900,119750,121950,121250,115000,115000,116250,120000,124900,124900,123000,118900,120000,112000,117500,114000,1e+05,1e+05,110950,119000,114900,116950,117450,119000
"McDowell","NC","Marion","37","111",933,175000,175000,174950,169900,164900,165000,169900,179900,179900,184900,189000,189000,179000,174900,169900,171200,165000,162950,161000,169900,169200,174900,179900,179900,179900,160000,167000,162450,164900,159950,172500,164900,139900,156950,159000,167000,178700,179900,176250,183400,179900,186900,188400,184900,189500,190000,189900,180000,178950,175000,172000,167400,162450,164950,165000,174900,175000,177450,174900,175000,161246.5,149500,159500,169900,169900,177000,174450,174900,177950,176150,179750,174900,159900,164900,159900,182000,189900,189900,189900,189950,199900,219900,215000,202375,199950,197000,189000,198450,212450,225000,225000,199900,235000
"Union","PA","Lewisburg","42","119",934,174900,171950,174900,169900,182900,182900,178950,177000,179900,174900,166500,160000,159900,157450,159900,159900,162900,167999,167999,163950,162500,159900,159900,159900,153270,155000,159950,172900,179900,179900,179900,179900,169900,159900,159900,167500,167500,158900,159900,159900,162400,169900,162400,164450,169900,174900,176000,179000,173500,168500,168125,179900,185500,187500,185500,162900,169900,165900,157000,154900,161750,175000,176950,177950,183500,183950,189900,189900,192450,189900,195900,197400,189900,190000,190000,194900,195000,194950,192500,194950,194950,198500,198450,189900,189900,191950,189950,194450,189700,194500,199000,199000,189450
"Atascosa","TX","San Antonio","48","013",935,143500,136537.5,137000,125900,129900,125000,125000,125000,125000,133400,120000,119950,119900,120000,123950,125750,125000,125000,124900,125000,129425,139900,149700,147000,145000,145000,137700,140000,149750,165000,168000,167500,161000,155000,152000,150000,160000,177500,172000,177925,163500,169000,175475,165000,159000,154500,140000,149500,145000,149500,145000,159900,160950,156700,155000,167500,171500,179900,193250,185000,182250,182500,178900,174400,178900,169000,166000,180000,175000,167500,174900,175000,187500,175000,174750,180000,174500,191200,170000,162800,159950,147999.5,147999.5,157875,169975,169975,170000,199900,199899,218000,212500,199900,189000
"Siskiyou","CA",,"06","093",936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212500,199802.5,199900,199500,210000,219500,210000,214950,209750,210000,219900,222375,224850,219500,212500,209000,214000,202000,212500,207500,199000,208500,224950,244000,234950,236500,229500,245000,237000,219475,234900,232450,224950,241250,236500,239900,239000,229500,235000,239000,239000,225000,230000,249000,229450,244000,249500,248000,239000,235000,235000
"Brown","OH","Cincinnati","39","015",937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99900,110000,119700,114900,112000,114000,117900,115450,108450,105000,107500,99900,102500,107500,107750,115500,114950,114900,124900,117500,119000,119200,109900,115000,108400,99900,105700,109900,118200,124900,124900,124900,125000,125000,125000,123500,114000,119900,124900,129900,125950,129900,129900,127250,129000,129000,125950,120000,109900,115950,125000,120000,124950,129900,138000,147450,139450,139950
"Lincoln","SD","Sioux Falls","46","083",938,172400,169900,170000,165900,168900,168900,173700,164900,164900,159900,162800,151000,154900,152900,155900,154900,154900,149900,149900,156450,169900,172500,172750,168900,166400,154500,162625,157000,150000,156700,159900,155900,152450,162200,164500,155900,157900,168900,164900,162900,164900,171400,169900,184900,186700,179500,175750,179900,169900,169950,174800,184900,179900,190000,192500,186450,192825,185643.5,183750,174900,177400,174947.5,178900,184950,174995,197500,194900,192300,204900,194900,209900,209900,209900,214300,204900,209900,219900,224900,219900,219900,216000,218900,227257,224900,224900,234950,224450,219900,220000,229000,235000,246350,246200
"Whitman","WA","Pullman","53","075",939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193000,189000,191250,197500,197250,192250,192500,195000,220000,215495,220000,189250,215000,226750,229900,229000,225000,216500,199900,189500,199900,189700,204000,219900,225000,252445,234900,252500,242000,249995,247250
