"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Carroll","IL",,1523,1130,0,0.0152740341419587,-0.0559732664995823,7188
2017-09-30,"Gunnison","CO",,1524,1681,0.00960960960960961,0.0325552825552826,0.0572327044025157,12865
2017-09-30,"Floyd","VA","Blacksburg",1525,1142,0,-0.00609225413402959,-0.0499168053244592,5569
2017-09-30,"Brown","IN","Indianapolis",1526,1181,-0.000846023688663283,-0.00337552742616034,0.00425170068027211,8396
2017-09-30,"Sibley","MN","Minneapolis-St Paul",1527,1199,0.00671704450041982,0,0,3413
2017-09-30,"Nolan","TX","Sweetwater",1528,982,-0.0100806451612903,-0.0130653266331658,-0.017017017017017,5345
2017-09-30,"Mills","IA","Omaha",1529,1164,0.00172117039586919,0.00954032957502168,0.0467625899280576,5504
2017-09-30,"Morgan","OH",,1530,870,0.00115074798619102,0.0104529616724739,0.0780669144981413,2338
2017-09-30,"Nelson","VA","Charlottesville",1531,1319,0.00687022900763359,0.0177469135802469,0.0161787365177196,9592
2017-09-30,"Appomattox","VA","Lynchburg",1532,1137,0.00353045013239188,0.00530503978779841,-0.000878734622144112,3474
2017-09-30,"Oglethorpe","GA","Athens",1533,1135,0.00176522506619594,0.00531443755535872,0.0374771480804388,4043
2017-09-30,"Moultrie","IL",,1534,1069,0.00849056603773585,0.0123106060606061,-0.0156537753222836,5348
2017-09-30,"Grand","CO",,1535,1669,0.00481637567730283,0.0214198286413709,0.0366459627329193,7044
2017-09-30,"Karnes","TX",,1536,1075,-0.00278293135435993,-0.00646950092421442,-0.0209471766848816,2673
2017-09-30,"Chowan","NC",,1537,1062,0.0114285714285714,0.0182166826462128,0.0133587786259542,4615
2017-09-30,"Andrews","TX","Andrews",1538,1274,0,0.00157232704402516,-0.0348484848484849,3761
2017-09-30,"Jefferson","FL","Tallahassee",1539,1142,-0.000874890638670166,0.00794351279788173,0.00705467372134039,3053
2017-09-30,"Macon","GA",,1540,896,-0.00333704115684093,-0.00994475138121547,0.00900900900900901,1907
2017-09-30,"Washington","IL",,1541,1100,0.00364963503649635,0.0128913443830571,-0.0107913669064748,4298
2017-09-30,"Noble","OH",,1542,1305,0.00616808018504241,0.0251374705420267,0.00307455803228286,2700
2017-09-30,"Monroe","OH",,1543,854,0.00470588235294118,0.00826446280991736,-0.0138568129330254,4434
2017-09-30,"Screven","GA",,1544,964,0,0.00731452455590387,0.0233545647558386,2979
2017-09-30,"Trinity","TX","Huntsville",1545,1149,0.000871080139372822,0.00261780104712042,-0.0270956816257409,2849
2017-09-30,"Faribault","MN",,1546,1042,-0.00191570881226054,-0.0141911069063387,-0.0387453874538745,5448
2017-09-30,"Long","GA","Hinesville",1547,1167,0.00516795865633075,0.00690250215703192,0.0183246073298429,3324
2017-09-30,"Trigg","KY","Clarksville",1548,971,0.0178197064989518,0.0520043336944745,0.0812917594654788,3930
2017-09-30,"McIntosh","GA","Brunswick",1549,1142,0.00263388937664618,0.00351493848857645,0.0457875457875458,3188
2017-09-30,"Allamakee","IA",,1550,982,0.0123711340206186,0.0261233019853709,0.0720524017467249,5750
2017-09-30,"Manassas Park City","VA","Washington",1551,1661,-0.00479328939484721,-0.0113095238095238,0.00483968542044767,4761
2017-09-30,"Newton","IN","Chicago",1552,1047,0.00964320154291225,0.0264705882352941,0.0194741966893866,4869
2017-09-30,"Mono","CA",,1553,2051,0.0053921568627451,0.0203980099502488,0.0296184738955823,14544
2017-09-30,"Saline","NE",,1554,1030,0.0137795275590551,0.0383064516129032,-0.017175572519084,3255
2017-09-30,"Larue","KY","Elizabethtown",1555,865,0.00348027842227378,0.0116959064327485,0.0164512338425382,3059
2017-09-30,"Ford","IL","Champaign-Urbana",1556,1143,0.00263157894736842,0.0088261253309797,0,5523
2017-09-30,"Williamsburg City","VA","Virginia Beach",1557,1505,-0.0013271400132714,-0.0233614536015574,-0.00856389986824769,3847
2017-09-30,"Clarke","VA","Washington",1558,1684,0.00717703349282297,0.00838323353293413,0.00898741761533853,4288
2017-09-30,"Hughes","OK",,1559,745,-0.00134048257372654,-0.00134048257372654,-0.00666666666666667,4697
2017-09-30,"Swain","NC",,1560,1061,0.00951474785918173,0.01434034416826,-0.0166821130676552,3374
2017-09-30,"Lamb","TX",,1561,985,-0.00202634245187437,0.00510204081632653,0.0144181256436663,4481
2017-09-30,"Morgan","KY",,1562,837,-0.00119331742243437,-0.0106382978723404,0.021978021978022,1014
2017-09-30,"Jasper","GA","Atlanta",1563,1089,0.00461254612546125,0.00276243093922652,0.0302743614001892,3916
2017-09-30,"Greene","IL",,1564,911,-0.00109649122807018,0.00662983425414365,-0.0329087048832272,3824
2017-09-30,"Osage","MO","Jefferson City",1565,796,0.00887198986058302,0.0257731958762887,0.0205128205128205,3199
2017-09-30,"Martinsville City","VA","Martinsville",1566,839,0.002389486260454,-0.00710059171597633,0.0358024691358025,4202
2017-09-30,"Cannon","TN","Nashville",1567,1125,0.00446428571428571,0.0190217391304348,0.0349586016559338,4932
2017-09-30,"Moffat","CO","Craig",1568,1248,0.0113452188006483,0.0237899917965546,0.0121654501216545,4215
2017-09-30,"Howard","AR",,1569,786,0.00769230769230769,0.0102827763496144,-0.039119804400978,3911
2017-09-30,"Reeves","TX","Pecos",1570,972,-0.00102774922918808,0.0062111801242236,-0.00511770726714432,2373
2017-09-30,"Colfax","NM",,1571,1032,-0.00769230769230769,-0.0282485875706215,-0.0417827298050139,5264
2017-09-30,"Izard","AR",,1572,769,-0.0012987012987013,-0.0038860103626943,-0.0191326530612245,2295
2017-09-30,"Madison","TX",,1573,1185,-0.000843170320404722,0.0145547945205479,0.00679694137638063,1404
2017-09-30,"Buffalo","WI",,1574,1070,0.0113421550094518,0.00753295668549906,0.0113421550094518,3688
2017-09-30,"Callahan","TX","Abilene",1575,1184,-0.00168634064080944,0.00254022015241321,-0.0182421227197347,2444
2017-09-30,"Wilbarger","TX","Vernon",1576,1052,-0.00378787878787879,0.010566762728146,0.0154440154440154,4101
2017-09-30,"Jackson","KS","Topeka",1577,920,-0.001085776330076,0.00436681222707424,-0.00325027085590466,2822
2017-09-30,"Perquimans","NC","Elizabeth City",1578,1119,0.0135869565217391,0.0284926470588235,0.0556603773584906,3942
2017-09-30,"Stewart","TN",,1579,820,0.00985221674876847,0.0262828535669587,-0.0108564535585042,11088
2017-09-30,"Madison","VA",,1580,1313,0.00535987748851455,0.0123361603700848,-0.00980392156862745,5173
2017-09-30,"Goshen","WY",,1581,947,-0.011482254697286,-0.0206825232678387,-0.0742913000977517,3372
2017-09-30,"Fremont","ID","Rexburg",1582,1145,0.00526777875329236,0.0287511230907457,0.149598393574297,7634
2017-09-30,"Pamlico","NC","New Bern",1583,1053,0.00381315538608198,0.0076555023923445,0.0263157894736842,4685
2017-09-30,"Bleckley","GA",,1584,963,0.00521920668058455,0.0136842105263158,0.0277481323372465,2929
