"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,188.899065109308,183.792820502742,185.446009389671,187.870159453303,187.781828952658,183.837429111531,184.017491717014,185.636153435703,186.875,184.855474481899,183.329259349792,176.174496644295,174.297606659729,172.257659151481,172.204409427903,174.17866577371,178.27380952381,175.647668393782,174.12567128192,175.06966252269,172.916666666667,175.05067256311,172.425598034077,170.009513919089,168.606462449121,168.655941878568,169.604153438973,171.001461627141,175.279120166795,179.117777632971,180.934664246824,177.750089909667,177.857984471379,184.659090909091,185.10158013544,188.429098048644,192.368503720929,195.035460992908,203.665987780041,208.815426997245,213.082981625954,217.538759689922,223.298906306457,222.744088434002,223.356601515756,225.707727620505,236.799702793909,232.876712328767,229.020618474928,231.295059916475,234.447553004365,238.095238095238,243.397815797983,248.983739837398,249.933404368673,256.342415363402,256.521739130435,257.479857938192,258.397932816537,253.841145833333,255.771539384985,259.621656881931,260.848261655247,263.504432483415,273.392375818252,277.777777777778,278.850278850279,280.692549842602,287.668989885833,285.874439461883,284.951422410666,283.428728859302,285.659509202454,287.026406429391,287.020724988251,289.384528514963,294.69696969697,299.621531552172,300,302.132701421801,305.851063829787,307.691085444893,309.20556481702,307.217165149545,308.459316392217,311.176999167908,316.50521609538,320.217664294684,321.970673227117,325.173007098814,327.755905511811,330.154472670617,332.753451676529
"Harris","TX","Houston","48","201",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5915492957746,94.5769117923849,95.3340402969247,97.3783203078885,109.066095608703,100.506756756757,97.9747762408462,97.9747762408462,97.5,104.272634791455,99.8288648031945,100.269274046622,107.821637426901,105.444697833523,106.77808727948,108.373934226553,108.295324971494,108.25130283729,108.373934226553,108.153946853382,108.292416608114,107.933081489477,122.812920592194,122.812920592194,119.990298679935,109.988419224088,110.40902911806,108.531865966336,107.536706125487
"Maricopa","AZ","Phoenix","04","013",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4450402144772,80.4188507086003,79.5918367346939,80.7569951985619,83.2407407407407,86.4197530864197,89.5862068965517,89.875,88.8235294117647,91.7832167832168,94.0285204991087,96.081588835212,94.969512195122,93.0981254442075,91.7598016818655,92.5438596491228,92.8086444174218,94.4613821138211,98.9583333333333,100.245645377401,95.3389830508475,100.245645377401,106.666666666667,105.693727048568,106.666666666667,105.444785276074,103.522565742715,98.0392156862745,104.48319957193,108.263367211666,114.942528735632,120.900122570009,114.678899082569,109.620738671176,114.8107139091,119.967793880837,114.942528735632,126.156433978133,120.090965036165,122.395833333333,117.641509433962,119.43539630836,124.157240541922,129.460592444062,135.200237108944,142.592499503449,133.854166666667
"San Diego","CA","San Diego","06","073",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.212086659065,270.75,285.714285714286,298.909395973154,322.808874060057,339.772727272727,322.279108414012,345.028554017585,347.368421052632,329.320211783811,297.19240297275,280,314.179796107507,300.100452034154,314.179796107507,297.845691382766,283.192810457516,286.354581673307,312.406576980568,334.547059472581,321.634613761526,323.992119089317,296.637658227848,299.564270152505,298.100964190177,311.805555555556,338.323687871881,316.568449274841,328.739839741742,351.5625,394.036119520255,377.184832955481,392.064309504099,352.205882352941,348.391941491094,343.791007757923,366.933584550165,373.247169811321,379.756468797565,362.866122743642,336.567024558122,362.4375,378.720918215459,415.432579890881,416.076923429603
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",5,276.77821726283,275.807722616233,263.636363636364,258.580601899431,267.882689556509,262.187088274045,273.403779069767,268.300931954551,261.526152832675,257.544761706257,257.066326719176,248.456437555288,250.045775893234,243.650592216582,245.780525502318,243.164637476522,245.726495726496,242.080610543402,244.321089558399,244.321089558399,255.327536231884,256.913367756741,258.748151798916,235.594449043453,235.249892113497,261.17289229074,252.738183645713,254.207787672429,254.95652173913,256.485849056604,261.55143853531,256.542056074766,262.866629773105,286.592629405918,280.408653846154,285.772192946899,282.096218814969,287.769784172662,289.473684210526,289.995166747221,296.376811594203,302.731624894396,317.810086324398,314.827828531272,317.019027484144,316.995741525655,310.907749077491,311.712483433797,309.963099630996,316.826182618262,327.305110996386,317.732761944246,326.923076923077,322.592873388931,333.333333333333,337.642963699652,337.859088740085,386.153846153846,337.542327001044,330.602770356053,347.963948422936,349.485949280329,349.94068801898,350.421348314607,350.421348314607,389.366272824919,357.142857142857,374.339724680433,356.140386599338,340.255867871313,358.32414553473,366.846361185984,337.918918918919,337.837837837838,337.7079002079,347.847290665403,355.335968379447,349.533954727031,361.110869565217,382.690609361201,402.740462117141,429.09715407262,426.852678571429,427.142857142857,468.240053944707,479.53399792034,454.502369668246,452.668360864041,432.666666666667,419.067802564059,397.757698650012,425.081454972759,418.900804289544
"Kings","NY","New York","36","047",6,256.056668983627,256.913183279743,256.913183279743,256.661991584853,253.663191823071,253.863134657837,255.571360834519,253.710249202886,255.77485380117,246.22969837587,243.781094527363,240.342219508886,236.781609195402,233.357186659658,234.382808595702,231.903485254692,232.44759818319,233.780443822132,233.88671875,227.996894409938,227.680489671597,228.684352836879,230.384615384615,230.98544973545,231.006335282651,232.529704834736,229.761904761905,233.245149911817,234.805137579894,239.2,236.996644295302,235.345499690022,238.746268656716,237.931780762105,249.5,249.5,251.970184941199,253.759398496241,260.204081632653,264.768746018746,266.760306329006,272.399588053553,278.125,283.018867924528,288.025889967638,297.5,312.5,311.875,314.322491010134,314.150943396226,315.602836879433,318.456375838926,324.390243902439,330.026455026455,338.145896656535,347.19540969541,350.825222175201,358.716475095785,357.015040149893,360.067680462417,376.296059410866,380.289326672575,380.617679645457,392.27493710478,412.504556673445,416.25,413.490877511952,417.964193660745,431.159979423868,442.216391509434,450.180072028812,453.520725548165,455.555555555556,465.722801788376,477.626445449975,490.195588235294,495,501.166407465008,495.329940057875,496.260162601626,505.514705882353,513.127853881278,513.194444444444,515.740298348994,499.537037037037,500,499.472222222222,512.164439723255,517.567567567568,530.625,521.420949016577,516.491754122939,521.08843537415
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.075024679171,146.571428571429,152.24075980207,167.032967032967,168.811506434519,149.754522907923,149.636596836255,162.528249831235,170.091926458833,171.259426847662,181.439393939394,186.781609195402,186.700663752631,182.906151598472,193.327422970125,197.267759562842,195.590327169275,198.144466534129,196.90576652602,200.408527062318,204.090789193845,205.387441221064,206.623526086254,204.640176311425,208.664647885535,212.555619954961,208.138304077759,209.157598199097,207.736389684814,206.611570247934,207.267053053946,212.820512820513,209.928481278923,212.820512820513
"Queens","NY","New York","36","081",8,,,,,,282.122899476956,280.087148676352,281.54533844189,279.356519305497,277.222222222222,278.265935363074,278.317758865075,276.818181818182,270.27027027027,271.013354281225,270.150089605735,274.267399267399,272.94921875,270.470328282828,268.47278891596,268.151340996169,265.425531914894,264.029977375566,263,262.5,261.437908496732,261.363636363636,263.636363636364,264.362657091562,264.423076923077,267.939143939394,262.858669108669,260.199652777778,254.733102918587,272.00874192887,268.736233480176,272.118298368298,275.36231884058,279.865269915236,283.307533539732,291.111111111111,291.666666666667,292.588495575221,293.913213581003,299.5,297.80701754386,293.094072865688,296.916335978836,297.619047619048,298.434442270059,303.43425747447,303.289189189189,309.047619047619,310.219366786299,315.789473684211,319.448187633262,320.233188392668,322.059767051624,318.125,318.080983110261,325.059101654846,326.069742278182,330.913578431373,338.235294117647,342.5,345.009213600838,347.222222222222,353.479030501089,361.05577689243,364.674678093819,373.831191588785,371.355060034305,370.323426573427,374.603174603175,378.156565656566,386.514910598107,390.86117196057,394.551845342706,400.401069518717,400.51247771836,404.545454545455,408.311345646438,405.339805825243,402.451982325889,405.339805825243,408.333333333333,421.539177525808,431.769885358208,440.563725490196,446.398266002583,448.543570188024,453.333333333333,452.811515969411
"Riverside","CA","Riverside","06","065",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.85989010989,136.81738109219,132.928571428571,139.748784440843,129.772579860548,142.96875,145.299145299145,141.678759449244,145.299145299145,144.444444444444,141.518987341772,141.678759449244,128.599656357388,135.908602150538,135.483870967742,140.916808149406,133.30303030303,124.412171507607,141.428571428571,148.131012368301,144.847294938918,135.84328845003,133.707865168539,148.306788931789,144.444444444444,148.4375,162.475,163.793103448276,153.081597222222,153.909203178694,159.952606635071,144.444444444444,135.941644562334,144.444444444444,156.21875,158.021133525456,156.875701325776,165.248940677966,159.604427136708,170,158.021133525456,162.89898989899,177.885837782863,179.810789049919,179.070048309179,190,190.833333333333,185.135135135135,188.810198300283,187.881286266925,198.589199029126
"San Bernardino","CA","Riverside","06","071",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.854988399072,124.583333333333,124.643518518519,125.947405486062,121.722016746289,126.054323725055,135.205737279335,136.163426433005,137.909640643288,139.616055846422,143.586532914288,139.616055846422,145.708333333333,142.286570144783,146.324233042499,145.945945945946,151.906280141464,161.057692307692,143.425267907501,143.111111111111,139.751552795031,143.00903774588,144.834428024083,139.976589990403,145.447421782404,144.75374732334,141.887062187277,142.577944784007,139.465271723336,140.485312899106,140.664961636829,140.770252324037,140.664961636829,146.034509129843,148.04317138033,153.194765204003,162.721893491124,155.917867146859,146.938521086626,149.973888314374,162.720486054526,162.609539308963,155.91749611688,162.488361266294,161.542610571737,173.151232511659,167.102629212004,163.882926855753
