"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Sacramento","CA","Sacramento","06","067",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682.5,1695,1695,1697.5,1695,1697.5,1725,1695,1750,1697.5,1695,1695,1695,1722.5,1695,1675,1697.5,1762.5,1795,1795,1750,1795,1795,1797.5,1795,1822.5,1800,1800,1795,1695,1895,1920,1910,1850,1800,1895,1850,1797.5,1895,1895,1995,1935,1950,1995,1950,1895,1895,1895,1995,1845,1995,2112.5,1885,2047.5,2200,2100,2200,2200
"Hillsborough","FL","Tampa","12","057",17,,,,,,,,,,,,,2200,2050,2000,2200,2200,2200,2200,2200,2100,2000,2000,1950,1900,1995,1900,2000,2095,1999.5,2200,2200,2150,2150,2000,2000,2100,2000,2100,2000,1995,1995,2100,2000,2000,1995,2000,1995,1995,1995,1995,2100,2075,2100,2100,2095,2012.5,2000,2000,2000,2095,2072.5,2150,2150,2195,2112.5,2195,2195,2150,2012.5,2050,2180,2125,2150,2120,2100,2250,2195,2300,2225,2049,2325,2172.5,2247.5,2200,2227.5,2200,2300,2200,2195,2200,2200
"Allegheny","PA","Pittsburgh","42","003",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1200,1295,1252.5,1200,1372.5,1200,1050,1100,1200,1060,1200,1120,1197.5,1250,1200,1150,1197.5,1250,1100,1100,1195,1200,1180,1195,1200,1224.5,1272.5,1200,1197.5,1192.5,1195
"Orange","FL","Orlando","12","095",19,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1850,1850,1975,2000,1975,2000,1950,1950,1950,1850,1900,1900,1949,1999,1999,1995,1975,1995,1962.5,1900,1985,1962.5,1900,1895,1900,2000,2000,1999,2000,2000,2000,2000,2000,1937.5,1972.5,2000,1995,2000,2100,2100,2095,2050,2050,2050,2100,2100,2150,2150,2175,2195,2150,2150,2250,2200,2250,2050,2125,2250,2297,2267,2300,2300,2300,2385,2300,2203
"Fairfax","VA","Washington","51","059",20,,,,,,,,,,,,,3200,3100,3549.5,3499.5,3500,3500,3849.5,3350,3200,3100,3250,3200,3200,3200,3200,3500,3495,3500,3550,3500,3400,3100,3400,3250,3450,3400,3274.5,3600,3650,3462.5,3800,3500,3300,3200,3000,3150,3400,3400,3497,3500,3500,3500,3500,3400,3350,3491.5,3350,3300,3225,3250,3450,3300,3400,3500,3500,3495,3300,3300,3600,3500,3300,3450,3400,3400,3500,3400,3450,3450,3350,3450,3250,3450,3450,3500,3500,3495,3500,3500,3500,3500
"Salt Lake","UT","Salt Lake City","49","035",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1695,1700,1700,1785,1800,1810,1850,1897.5,1995,1897.5,1895
"Honolulu","HI","Urban Honolulu","15","003",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150,3200,3200,3200,2950,2897.5,3250,3000,3100,3000,2985,2997.5,2800,2500,2597.5,2900,2900,2600,2690,3000,2950,3050,2700,2700,2650,2664,2675,2675,2850,2800,2800,2750,2595,2700
"Erie","NY","Buffalo","36","029",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.5,775,795,750,750,800,850,800,750,777.5,800,800,800,785,800,875,825,800,885,850,895,882.5,872.5,900,900,900,995,950,1000,975,1000,975,937.5,900,900,900,900,937.5,950,950,995,1000,1000,962.5,992.5
"Hartford","CT","Hartford","09","003",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,1300,1300,1400,1300,1225,1275,1275,1285,1300,1300,1375,1375,1395
"New Haven","CT","New Haven","09","009",25,900,875,925,925,950,975,1100,1050,1025,995,975,950,950,950,1000,995,950,1000,1000,1050,1100,1100,975,1000,1000,1000,1000,1000,1100,1100,1100,1100,1050,1075,1100,1000,1000,1037.5,1000,1000,1000,1050,1050,1037.5,1037.5,1050,1012.5,1065,1050,1050,1097.5,1000,1100,1100,1100,1050,1050,1050,1075,1112.5,1100,1137.5,1100,1100,1100,1100,1100,1075,1100,1100,1100,1100,1100,1112.5,1200,1100,1150,1100,1200,1100,1100,1100,1100,1100,1200,1200,1200,1250,1250,1250,1250,1250
