"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Ocean","NJ","New York","34","029",102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,172000,174990,176450,172700,179000,174900,170000,169000,174900,169900,169900,169900,179900,179900,181250,179900,179900,184000,181250,179999.5,190000,192000,199000,189999.5,189000,185000,189000,181450,179950,182250,178000,187900,183600,185250,180000,184949.5,189900,182000,185000,178500,179000,179000,179900,184700,178950,169995,169900,169900,165000,169900,174900,172250,175000,172500,180500,189900,195000,194900,205000,199949.5,199000,190000,189900
"Arapahoe","CO","Denver","08","005",103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129000,128000,130000,135900,134900,135000,142000,149900,150000,149997.5,145500,140000,145000,149000,149900,150000,155000,160000,164750,165000,167000,175000,175000,179900,175000,177000,178000,179900,180000,195000,204500,199900,199999,199000,2e+05,205000,2e+05,205000,205000,204777.5,209000,210000,219900,219900,222450,229000,225000
"Delaware","PA","Philadelphia","42","045",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163450,159900,165000,139900,139500,139900,133000,139900,149900,143250,151200,156900,165000,167000,169000,164900,154900,164750,172950,173450,167900,159900,159900,174900,172500,175000,164950,159900,168950,154950,150000,164000,160950,169000,164977,159900,158000,157200,164950,172400,168000,164950
"Bristol","MA","Providence","25","005",105,179450,184900,179900,180625,179900,179900,180000,184900,189900,184900,179900,169900,169450,164947.5,159900,159900,162500,169900,169200,169900,169000,173400,159900,159800,164500,164900,165000,164900,169900,168750,169900,169250,169900,169900,179450,179900,185000,185000,185000,185000,189900,190000,196250,195000,199900,198000,199900,199900,189900,206400,189000,194900,199900,199450,194800,194800,189950,189900,189900,189950,195000,199900,199900,199900,199000,199900,199900,194900,195000,194900,189000,184949.5,182000,189700,195450,197700,202450,209000,209900,209900,214900,208000,199000,191850,189000,183000,189900,209800,214900,214900,205000,214400,224900
"Brevard","FL","Melbourne","12","009",106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135000,130000,139900,134500,129900,129900,125000,125000,129949.5,141450,143900,149000,143000,142900,139200,142900,145950,142500,149900,139900,155000,155000,159900,149000,149500,149900,159900,162250,160000,154900,149000,154000,154700,155000,159900,154900,160000,175000,184900,189000,189900,190000,195000,189900,185000,184450,181247.5,184900,179900,179991,189000,209825,209900,199450,199900,214900,189900,199900
"Summit","OH","Akron","39","153",107,135000,129900,125900,124900,127500,125000,124950,124900,124900,120000,117000,114900,114900,116450,114450,114900,115000,112000,109900,109999.5,109900,109900,108500,107450,109200,104900,107000,103350,102000,105000,99900,95000,92500,92900,109000,109900,109900,110000,110000,109900,108900,106900,103975,1e+05,103900,104900,104000,105000,109949.5,110000,111775,113900,114949.5,112900,110000,109999,106900,108499.5,109500,104900,99999,99900,1e+05,104900,105250,105000,109900,109900,104000,103000,99650,97500,1e+05,109900,108000,109900,113000,112500,114900,105900,109000,109900,109000,109900,109900,111250,116250,114000,119000,119900,109900,103000,112000
"New Castle","DE","Philadelphia","10","003",108,158500,154950,150000,140000,139900,139900,139700,139900,139900,139900,139900,139900,139450,138900,139900,143200,144000,138500,134900,134900,131900,129900,133450,134900,130000,129900,134900,129950,130000,129900,127000,129900,129900,125000,135900,134400,129900,129900,133700,139980,164900,150949,134950,143499.5,142499.5,135900,134950,148450,145000,142900,149900,140900,139900,135950,139900,136900,144200,145000,143500,137450,136450,145000,135900,139900,134900,130950,129900,139000,141250,139900,134500,144474,139900,143500,139900,139000,140499.5,150000,152450,145000,145000,129900,129900,129900,139900,140000,141000,140500,132250,130000,149900,135000,139900
"Anne Arundel","MD","Baltimore","24","003",109,246995,249950,249900,246495,239900,240000,240000,232500,239000,235170,233000,232000,231000,234900,229950,231995,231995,234900,230000,225000,225000,222500,218041.5,218083,215000,214400,215000,215000,209900,217324,217000,217162,206450,195000,210950,209000,215900,205000,219755,220000,229900,229900,229994.5,229900,235900,234950,229999,229000,234500,232700,232000,234000,234900,230950,234900,232750,232000,232500,226750,227950,225000,225000,226500,240000,247500,247500,239900,244900,240000,241000,245000,249700,245000,249700,255000,239900,234900,237950,229950,229700,225000,230000,230000,244000,245000,250000,249900,249900,245000,252000,254900,251000,249900
"Union","NJ","New York","34","039",110,245000,249900,249900,249900,239900,246950,243525,249950,243525,239000,235900,231950,219900,232900,225000,229000,245000,230000,227000,225000,219000,212400,214900,214950,219000,220000,234500,229000,245000,225000,219450,214950,217000,219000,219000,202500,217000,199000,199900,194950,214800,199900,199950,199000,189950,189900,194900,164900,172500,175000,179999,189450,199949.5,209900,199000,199900,216250,199950,2e+05,199450,199450,199000,219250,195000,219000,249500,249000,255000,266750,255500,242000,217450,199900,199000,208400,216000,214900,215000,217500,210950,215000,215000,199900,199000,209900,225000,232900,224200,229504,229900,249900,264950,287450
"Montgomery","OH","Dayton","39","113",111,84961,84961,89000,89250,89900,85000,80000,80000,83400,80000,79000,75450,72000,70450,74900,77400,78000,79900,79900,79900,79900,79900,79500,78700,79500,78499,79000,74900,74900,74900,72900,67900,64995,65250,74900,78200,74900,75000,78000,79900,84900,83000,79900,79900,79900,79900,79900,79900,79900,79900,79000,77950,76950,74900,77450,78100,79900,78950,78900,72700,74950,79900,83400,79900,82400,81700,79400,75250,84450,79900,82000,76900,75000,74900,80487.5,84950,83900,82000,87000,87550,85000,88500,84750,89900,85400,85900,90000,97950,99884.5,99869,1e+05,1e+05,99950
"Jefferson","CO","Denver","08","059",112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143000,140000,138700,133115,134415,135250,134900,143000,145000,145000,144975,142000,145000,147950,154900,162500,150000,159900,164950,165000,165900,169950,170000,170000,175000,177000,187500,189900,189450,182500,192500,2e+05,204900,209500,215000,214975,207500,215000,215000,215000,210000,212000,215000,213650,216500,225000,237750,251250,249900
