"RegionID","RegionName","State","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
3101,"Los Angeles","CA",1,5,4.90196078431373,4.90554056199397,5.26315789473685,5.12820512820513,5.10003923107101,4.9079754601227,4.71933100823139,4.49975073819841,4.76266073979997,4.41517563721061,4.44469138546258,4.68362500742918,4.97621238533421,4.76417341591234,5.16635055450185,4.76303881876637,4.8,4.63124274099884,4.31082273474925,4.13793103448276,4.1041041041041,3.77568134171908,4.1095890410959,3.86100386100386,3.92928825073336,3.84615384615384,4.00973867505786,4.17538354253835,3.85026737967914,4.17536534446764,3.90625,3.85449311697658,3.9363710503853,3.32259139904434,3.33444481493831,3.125,3.25905307989512,3.33416689821761,3.30110036678893,3.05555555555556,2.94985250737463,2.98730562434464,3.02677942212826,2.89151015309518,2.9857430934438,2.83102354316246,2.85714285714286,2.81818181818182,2.90178571428571,3.14315569487983,3.13479623824452,2.94985250737463,2.70199467859527,2.74010143518397,3.0188679245283,2.94481228629913,2.81188552322573,2.78212493197074,2.53939706412732,2.78551532033426,2.65486725663717,2.86327992096774,2.54893088765909,2.72095211057486,2.5706940874036,2.81381244954237,2.65585370763204,2.75482093663911,2.73972602739726,2.71002710027101,2.65193693957687,2.6829268292683,2.66039106264442,2.79340782122905,2.40481927710843,2.73630853119458,2.56640612907709,2.7027027027027,2.77777777777778,2.65734265734265,2.82685512367491,2.56579961159936,2.53858267716536,2.44897959183673
139,"Cook","IL",2,4.82093361567331,4.67699862738772,5.01462686817378,5.26592943654555,5.66037735849056,5.13083632632119,4.92070111336166,4.70219435736677,4.76417341591234,4.78468899521531,5.00250125062531,4.79365079365079,5,5.26315789473685,5.55555555555556,6.19136960600375,5.80740960474355,5.40686672073534,5,4.86772486772487,5.00250125062531,4.9436707760132,5.00597305220832,5.07293143138615,5,5.26066350710901,5.49527476373819,6.28930817610063,5.1064754454585,5.26592943654555,4.97076023391813,4.5475216007276,4.44642063139173,4.34782608695652,4.26666666666666,4.03846153846153,3.87096774193548,4.06149069183959,4.62249614791987,5.8679706601467,5.0035739814153,4.88215488215489,4.34782608695652,4,3.74677525656718,3.61663652802894,3.71747211895911,3.73453485337916,3.61656987780322,3.68521412941544,4.00008000160004,4.90196078431373,4.61538461538461,4.23313505475192,3.75234668335419,3.70277731458322,3.59402384127617,3.37472414631553,3.46020761245674,3.41463414634147,3.57142857142857,3.4494653328734,3.63636363636364,4.17457305502846,3.70507595405706,3.57142857142857,3.3781512605042,3.34328358208955,3.24587527129441,3.27868852459017,3.22667384638471,3.18840579710145,3.10679611650485,3.12597686777117,3.1518017049932,3.44827586206896,3.33333333333333,3.23206745765615,3.11180262280507,3.03030303030303,3.13882669055083,3.02861906085024,3.07692307692308,2.98507462686567,2.9219492991351
1090,"Harris","TX",3,4.52347760359981,4.54545454545454,4.83091787439613,5,4.58333333333333,4.67206863679694,4.56818181818182,4.54752254115312,4.59524375115475,4.53809944101206,5.02121333310149,5,5.54089709762533,4.54284071305348,4.82965931863727,5.05945143412986,4.89432703003337,4.82758620689655,4.80952380952381,4,4.52173913043479,4.60922666392979,4.76190476190477,4.90433461448843,4.63327370304114,5.18322139743136,4.79481344270971,4.78389511884134,4.61580932306352,4.78468899521531,4.61215932914046,4.44444444444444,3.82452193475815,4.40562833575934,4.25531914893616,4.36681222707423,4.16666666666666,4.07999999999999,3.45681119836121,4.28571428571428,4.30555555555555,3.57398141529665,4.16736122687115,3.62584525621055,3.6979969183359,3.87596899224806,3.55420157400356,4.32801822323462,3.82728164867517,4,3.70644922164566,4.34782608695652,3.34621183948071,4.13793103448276,3.29004329004329,4.19354838709678,4.08204081632653,3.62005477585145,3.50877192982456,3.57142857142857,3.55644444444444,3.63636363636364,3.59272361356776,3.23232323232323,3.57142857142857,3.72593148287071,3.84615384615384,3.62650008219629,3.17460317460317,3.584229390681,3.37711069418386,3.00166759310728,3.49294142167952,3.05857957490928,2.94247468484741,3.27868852459017,3.63636363636364,3.73662875802275,3.55296553566658,3.23241935483871,3.45065562456867,2.98111259904029,3.125,3.2258064516129,3.22754168908015
2402,"Maricopa","AZ",4,7.30337078651685,6.31808278867102,6.66666666666667,6.99300699300699,7.12987012987013,6.968764249886,6.77966101694916,6.67556742323098,6.66666666666667,6.03305232169142,5.12820512820513,5.55555555555556,5.31529113311122,5.3072625698324,5.08379888268157,4.54752460632921,5.17225629648963,4.59770114942529,4.004004004004,3.84763370527126,3.7940379403794,4.03225806451613,3.86100386100386,3.84911470361817,4.34782608695652,4.18411873093403,4.36573416733822,4.67708333333333,4.00320256204964,3.40145026220524,3.70370370370371,3.75234521575984,3.34905660377358,3.24324324324324,3.38573651027594,3.17829457364341,3.13953488372093,3.17561130517625,3.00970873786408,3.07066916823014,3.2258064516129,3.22754168908015,3.03780947609882,2.89017341040463,2.88404944084756,2.52707581227437,2.7939502358107,2.72411396803336,2.70636490148685,2.82121307088102,2.69436408579279,3.07929176289453,2.80898876404494,2.78751674723391,2.7027027027027,2.60473794312206,2.5062656641604,2.32666356444858,2.38151954445427,2.43932190480724,2.32221098752949,2.3393836590597,2.66666666666666,2.51099446730033,2.7027027027027,2.63852242744064,2.51256281407035,2.23526142066196,2.21276595744681,2.04081632653061,2.08248299319728,2.04583884415128,1.89873417721519,2.12690522054842,2.12142117971714,1.80723109304951,2.22358054876393,2.52100840336135,2.18181818181818,2.22222222222223,1.96078431372549,2.08550573514077,1.88714858579599,1.89873417721519,1.96226415094339
2841,"San Diego","CA",5,4.67266380188405,4.44642063139173,4.54355981659025,4.71653168175321,4.76341695776437,4.54545454545454,4.34782608695652,4.44642063139173,4.07407407407407,4.34298979542487,4.03980807923232,4,4.03598705501618,4.05863124965698,4.19392073874567,4.01606425702812,4.41682600382409,4.1095890410959,4.27505330490405,3.92156862745098,3.58620689655172,3.46020761245674,3.51123595505618,3.70370370370371,3.5263353342618,3.6684503836542,3.69351129469522,3.84615384615384,3.75469336670838,3.2,3.34065934065934,3.33518724508713,3.36134453781513,3.22632682690757,3.12597686777117,3.14226828227472,2.77831802558038,2.71002710027101,2.80724773877564,3.07889799545769,2.70636490148685,2.80228868825484,2.98507462686567,2.69865674057291,2.80601870679138,2.8989708653428,2.59361689272215,2.54408107033554,2.53164556962026,2.57014084507042,2.82131661442007,2.7027027027027,2.79233149793015,2.71281571562207,2.68710099852676,2.88194011876584,3.02279787871166,2.84888703822336,2.56476019492178,2.66666666666666,2.55319148936171,2.55319148936171,2.6829268292683,2.63852242744064,2.66666666666666,2.92742865548691,2.62254912687987,2.66702226963595,2.61617959071932,2.57252653088129,2.44498777506112,2.51889168765743,2.56371714481465,2.70343336036767,2.79759406910057,2.17864923747276,2.66076696165192,2.94117647058824,2.5974025974026,2.72157969388246,2.7972027972028,2.50200369225727,2.66540642722117,2.57474532450409,2.17391304347826
1286,"Orange","CA",6,4.28571428571428,3.88368558772334,4.08163265306123,4.38137813735405,4.34782608695652,4.09836065573771,4.00494017918842,4.01271146181811,4.16394335511983,4.25531914893616,4.24822990420658,4.20098261038206,4.16376635738338,4.25194877505568,4.38144452363982,4.33839479392625,4.0016006402561,3.86100386100386,4.09034934033395,4.00080032012805,3.68671423717296,3.64000608158264,3.84615384615384,3.77777777777778,3.36842105263158,3.17894736842105,3.47274156080796,3.69072094167547,3.96249855146502,3.86100386100386,3.77358490566038,3.42250146113384,3.55603448275862,2.80083947929764,2.59810554803789,2.70343336036767,2.6890756302521,2.77893572129001,2.5706940874036,2.44498777506112,2.58503401360545,2.53570215367892,2.6890756302521,2.60516083421704,2.50174238146777,2.48484493888964,2.41255287066784,2.44444444444445,2.45934959349594,2.47561890472618,2.50138409920155,2.51256281407035,2.33467544140425,2.10526537396355,2.60027210884354,2.60869565217391,2.58559483917509,2.26130653266332,2.36227869081487,2.29379148453942,2.45672160280768,2.29885057471264,2.36694677871149,2.05608733199915,2.22222222222223,2.21749408983452,2.25563909774437,2.24116649149705,2.20440881763527,2.36766329645587,2.27501557219933,2.17391304347826,2.29228243021347,2.32758620689655,2.21749408983452,2.00575822453578,1.97158158417552,2.17539125247228,2.30215827338129,2.28187335618431,2.12819872114192,2.22619532128789,2.10526315789473,2.08768267223383,2.17438573602957
581,"Kings","NY",7,4.76947535771065,4.34782608695652,4.76190476190477,4.34782608695652,5.06329113924051,5.44143832940606,4.86322188449848,4.34782608695652,4.78468899521531,5.25547445255474,5.21739130434783,5.14138817480719,4.4526503871352,5.40540540540541,4.5662100456621,4.78468899521531,5.29100529100529,4.4543429844098,4.77326968973747,5.18991973847918,4.1139552922925,4.57286432160804,4.08163265306123,4.27545632274214,4.13386227240362,5.0335712174317,5,5.0561797752809,5.33069399161621,4.46450809464508,5.05224535375289,4.58333333333333,4.9049049049049,5.31801354930279,5.00834724540902,4.89655172413793,4.76947535771065,4.44939371442712,4.28571428571428,5.64788380463271,4.77793919269482,4.62973960712654,4.33815350389322,4.51937104879235,4.16333333333333,4.76947535771065,4.09638554216868,4.004004004004,4.19289054533947,4.38340611353712,3.48448977114065,3.70909090909091,4.78260869565217,4.01923156923108,3.14083204930662,4.54545454545454,4.49486271793221,4.52173913043479,3.89105058365758,4.20856237713027,4.21052631578948,4.08040651159917,3.78544061302682,4.61538461538461,3.76569037656904,4.51804827256269,3.95809080325961,3.67136706750947,4.00683017327155,4.37016241463887,4.28273379645551,3.70370370370371,4.02803212851406,4.13745866792631,3.80447996279031,4.76644423260247,3.35483870967742,3.68098159509203,3.33555555555556,3.23101777059773,3.5483870967742,3.49604053675553,3.77604166666666,3.47530450430865,4.00835073068894
2964,"Miami-Dade","FL",8,7.75193798449613,7.28571428571428,6.95162773154805,6.98487558952675,6.92041522491349,6.87707736389684,6.58878504672897,6.15384615384615,6.31578947368421,6.52339956572501,7.05171272343869,6.00462249614792,6.25880159275777,6.14358974358974,5.625,5.56173526140156,5.72246065808297,5.40540540540541,6.00000000000001,5.36757367479522,4.74119182253153,5.49760356565009,5.51750380517504,5.13106684981685,5.07254268809192,5.26315789473685,4.76644423260247,5.55555555555556,4.85714285714286,5.29411764705883,4.76417341591234,5.00029131870266,4.94968870940602,4.54545454545454,4.95238095238095,5.00250125062531,4.50125022804589,4.51652015762353,4.89154430091294,5.13083632632119,4.95283614206056,4.65332712889717,4.4,4.54545454545454,4.43478260869565,4.44444444444444,4.26439232409381,4.52261306532663,4.27203886269467,4.01606425702812,3.87722132471728,4.00520713020713,4,3.71841738294637,3.89198357855265,3.96349655842411,3.84622781349578,3.7369749704587,3.88919582565991,3.76175548589341,3.63636363636364,3.72431199944688,3.58864505001725,3.91374954889931,3.85356454720617,4.03928807582102,4,3.74764334515265,3.63636363636364,3.63855421686747,3.58682542137003,3.78583017847485,3.77358490566038,3.63636363636364,3.5733429763157,3.79310344827586,3.57206655438166,3.50877192982456,3.68367691787767,3.57144132662172,3.65853658536586,3.57270453733476,3.584229390681,3.48837209302325,3.84874466784256
978,"Dallas","TX",9,5.25147959393366,5.0000500005,5.15669515669516,5.85026737967915,5.20363236103468,4.80053124843382,4.96632996632996,4.4901185770751,4.23843749042204,4.33792215509557,4.0016006402561,4.76467331118494,4.36170212765957,4.36170212765957,5.07936507936508,4.35550323719835,5,4.47298074728448,4.03828274343095,4.36681222707423,4.00320256204964,4.41826215022091,4.54545454545454,4.55056179775281,4.41176470588235,4.03616144645785,4.77326968973747,3.33565136764024,4.65116279069767,3.78181298255648,3.51006177968857,3.57398141529665,3.79746835443038,4,3.71747211895911,3.84911470361817,3.29218106995884,3.50951262353713,2.90887715204361,3.71747211895911,3.46798909092025,3.60185558409135,3.89972144846796,3.57398141529665,3.24437926291857,3.29032258064517,3.66265060240963,3.34448160535117,3.34346504559271,3.71153461527473,3.63636363636364,4.45613338626439,5.92592592592592,3.61029651352232,3.48596033719449,3.54374746440508,2.85714285714286,3.11994577113116,3.06128468923333,3.60587002096436,3.59649122807018,3.50041771094403,3.8582506983916,3.82149269043345,3.40048871685913,4.1095890410959,4.11522633744856,3.44684200365327,3.16455696202531,3.45065562456867,3.31303823158356,2.75075659316905,3.24297673837439,2.61538461538462,2.78551532033426,3.01003344481605,2.73224043715847,2.77779320996228,3.05569889617749,3.11804008908686,2.92682926829269,3.12963328104721,2.68849754666968,3.01295434210356,3.11804008908686
1347,"Queens","NY",10,4.36681222707423,4.65116279069767,5.00834724540902,4.71591458260899,4.85088197854155,5.90322580645162,6.25307580813699,6.28930817610063,5.57107386716326,5.78034682080925,7.00920805143033,5.66100628930818,5.420054200542,5.23809523809524,5.57261793485518,6.032182420959,5.58659217877095,5.73065902578796,4.61538461538461,4.21052631578948,4.01606425702812,4.14524172502003,4.18410041841004,4.43105756358768,4.01606425702812,4.36681222707423,4.36681222707423,4.36681222707423,4.59770114942529,4.54549586814426,4.42810457516339,4.10447761194029,3.92156862745098,3.86100386100386,4.1132480977023,4.16975881261595,4.18410041841004,3.82181110029211,3.88353581901969,3.78923798998149,4.03818842072846,3.79412485861854,3.86100386100386,4.16666666666666,4,4.37373843982111,3.5483870967742,4.03225806451613,4.01606425702812,3.86100386100386,4.18097594427786,4,3.95348837209303,3.58058608058608,3.78787878787878,4.80963855421687,4.000016000128,3.43693111546532,4.04254499209988,3.6036036036036,3.78334417696812,3.70116011156474,4.3691984632639,3.47621924428823,4.0004,3.59934361100315,3.79899496466736,3.53460972017673,3.85542168674698,4.01606425702812,4.12979351032449,3.62177566415725,4.48599698138521,3.86911259286057,3.80753138075314,3.5483870967742,4.72727272727272,3.45224395857308,3.28009035172636,3.47222222222222,3.48847926267281,3.33301111003703,3.65879435222501,3.63967544295413,3.50877192982456
