"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"60657","Chicago","IL","Chicago","Cook",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75089073634204,1.74719101123595,1.70454545454545,1.75,1.77931034482759,1.62280701754386,1.8,1.83229166666667,1.88535353535354,1.86,1.8,1.72307692307692,1.7,1.675,1.70714285714286,1.71464285714286,1.76,1.79857142857143,1.80277777777778,1.88181818181818,1.95833333333333,1.93333333333333,1.87096774193548,1.80982142857143,1.81428571428571,1.79,1.83,1.864375,1.89,1.99375,1.97936170212766,1.97029411764706,1.99,1.99,1.88535714285714,1.85
"60614","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34375,2.2,2.36026615969582,2.10526315789474,2.09761904761905,2.1263775971093,2.14807692307692,2.2,2.14688466470544,2.06412825651303,2.08523302938197,1.99833333333333,2.0625,2.08456393793472,2.14142857142857,2.12829605963791,2.12,2.11602564102564,2.11819852941176,2.11180555555556,2.07692307692308,2.10285132382892
"94109","San Francisco","CA","San Francisco","San Francisco",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51879521750552,4.66666666666667,4.46969696969697,4.44074074074074,4.44444444444444,4.54632447887844,4.58762886597938,4.65616045845272,4.5644978862271,4.37249678094032,4.44388014220416,4.44444444444444,4.51815820071216,4.58793208004851,4.79807692307692,4.58957219251337,4.58762886597938,4.82456140350877,4.89788823074942,4.95750708215297,4.8365617433414,4.95750708215297,4.95750708215297,4.91468948107503,4.51943345323741,4.63542096219931,4.99107142857143,4.95750708215297,4.72222222222222,4.77564102564103,4.74652777777778,4.85714285714286,4.82638888888889,4.40375825292026,4.36151079136691,4.4441622933243,4.53735011990408,4.4441622933243,4.5,4.695,4.77547619047619,4.66024340770791,4.55248691099476,4.83822115384615,4.58135860979463,4.60317930489731,4.58647292692162
"11375","New York","NY","New York","Queens",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40909090909091,2.395,2.36363636363636,2.4375,2.43478260869565,2.41788321167883,2.44722222222222,2.45643939393939,2.38194444444444,2.34741379310345,2.33333333333333,2.28812741312741,2.38709677419355,2.29431909750201,2.33125,2.28846153846154,2.33333333333333,2.35714285714286,2.33333333333333,2.33333333333333,2.37883333333333,2.375,2.37883333333333,2.43027777777778,2.42928571428571,2.375,2.4,2.43303571428571,2.45833333333333,2.40909090909091,2.44222222222222,2.44994438264739,2.46428571428571,2.45454545454545
"60618","Chicago","IL","Chicago","Cook",5,,,,,,,,,,,,,,,,,1.2,1.32843137254902,1.28571428571429,1.29943609022556,1.32122807017544,1.32324561403509,1.25925925925926,1.24375,1.325,1.10731907894737,1.2,1.26090909090909,1.2975,1.30769230769231,1.3,1.32647228637413,1.28392857142857,1.29705882352941,1.3,1.28,1.3,1.3,1.31742424242424,1.5,1.38888888888889,1.42857142857143,1.44444444444444,1.33333333333333,1.3217039800995,1.24038461538462,1.25,1.33333333333333,1.35357142857143,1.2,1.39087301587302,1.4,1.4,1.44444444444444,1.43944444444444,1.4,1.40208333333333,1.4,1.4,1.40625,1.4,1.45,1.476,1.44,1.46842105263158,1.55,1.50980392156863,1.5125,1.454375,1.36363636363636,1.45,1.46875,1.48204761904762,1.5,1.5,1.5,1.475,1.47171052631579,1.45,1.40625
"10029","New York","NY","New York","New York",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28165217977225,5.21246358718269,5.29411764705882,5.17567427102139,5.38000738616615,5.49019607843137,5.52558782849239,5.49019607843137,5.52558782849239,5.1698670605613,5.15463917525773,5.02599653379549,5.02599653379549,4.625,4.57559681697613,4.59823254455156,4.92124061178714,4.92124061178714
"60613","Chicago","IL","Chicago","Cook",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65771715721464,1.65357142857143,1.65714285714286,1.50454545454545,1.58823529411765,1.65,1.7,1.7,1.68798076923077,1.63,1.64365717821782,1.64791666666667,1.66055555555556,1.746875,1.77272727272727,1.7,1.7,1.7257053291536,1.78620689655172,1.785960591133,1.74375,1.694375,1.658125,1.67427701674277,1.67776350837139,1.695,1.88611111111111,1.88888888888889,1.82916666666667,1.86875,1.82554347826087,1.8375,1.73952205882353,1.71661676646707
"20009","Washington","DC","Washington","District of Columbia",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.60555555555556,3.33333333333333,3.42857142857143,3.40714285714286,3.42142857142857,3.42142857142857,3.5,3.56428571428571,3.77777777777778,4.07142857142857,4.02439024390244,3.96666666666667,3.97745098039216,4.23529411764706,4.14162895927602,4.2,4.16666666666667,4.16666666666667,4.16666666666667,4.17178542178542,4.21160560138116,4.27058823529412,4.43076923076923,4.43076923076923,4.42669683257919,4.40361990950226,4.47692307692308,4.37647058823529,4.42241586538462,4.47692307692308,4.62818181818182,4.8,4.88894736842105,4.61818181818182,4.47692307692308,4.54916666666667,4.47692307692308,4.47692307692308,4.68923007109363,4.47692307692308,4.43312655086849,4.29579831932773,4.08834586466165,4.18865546218487,4.07142857142857,3.88945578231293,3.97350993377483,4.23177083333333,4.13636363636364
"60625","Chicago","IL","Chicago","Cook",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3921188630491,1.41666666666667,1.3875,1.37041742286751,1.36363636363636,1.42053571428571,1.45,1.41666666666667,1.49375,1.52,1.50602409638554,1.50273224043716,1.55277777777778,1.65,1.61111111111111,1.425,1.44166666666667,1.41741071428571,1.45138888888889,1.57008547008547,1.5625,1.58442546583851,1.621875,1.64861111111111,1.73781702898551,1.7,1.7
"11209","New York","NY","New York","Kings",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93333333333333,1.96428571428571,2,2.11860613810742,2.16391233005157,2.07746478873239,1.971875,1.99857142857143,2.04827586206897,2.06206896551724,2.05555555555556,2.1252688172043,2.06666666666667,2.10526315789474,2.2,2.07317073170732,2.2,2.0625,2.02173913043478,2.14334085778781,2.08333333333333,2.16910966340934,2.3617389922111,2.33333333333333,2.32352941176471,2.33333333333333,2.30769230769231,2.27073863636364,2.26666666666667,2.3
