"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"60601","Chicago","IL","Chicago","Cook",191,,,,,1638,1822,1749.5,1743.5,1884,1882,1929,1960,1939.5,1888,1925,1900,1895,1972,2101,1920,1953.5,1957,1925,1962,1949,1910,1915,1940,1965,1988,2059,1965,1950,1948.5,1918.5,1945,1950,1934,2000,2071.5,2012,2100,2076,2069,2067,2096,2100.5,2125,2088,2125,2031,1968.5,2215.5,2257.5,2197,2256,2285.5,2211,2107,2283.5,2504,2380,2355,2165,2146,2153,2326,2326,2295,2266,2370,1947,1948,2099,1948.5,2015,1945,1980,1980,2002,2048,2163.5,2199,2174
"33301","Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1799.5,1850,2099.5,1950,1950,1800,1800,1800,1750,1700,1675,1675,1785,1719,1650,1675,1900,1950,1800,1700,1897.5,1725,1668,1700,1675,1650,1650,1650,1650,1662.5,1800,1737.5,1725,1700,1650,1787.5,1725,1685,1787.5,1662.5,1725,1787.5,1797,1685,1762.5,1850,1850,1850,1800,1825,1847,1750
"02215","Boston","MA","Boston","Suffolk",193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,1795,1800,1800,1795,1795,1800,1825,1850,1850,1885,1945,1975,1950,1950,1900,1900,1900,1900,1900,1900,1950,1925,2050,2100,2000,2000,1962.5,1950,1950,1970,1960,1950,2060,2087.5,2100,2150,2075,2000,2000,1900,1975,1937.5,1925,1950,1975,1995,2150,2030,2000,2050,1950,1925,1850,1995,2062.5
"60642","Chicago","IL","Chicago","Cook",194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2100,2100,1997.5,2100,2000,2100,2100,2050,2250,1995,1810,1850,2100,1950,2100,1900,1937.5,2135,2017,1988.5,1895,1800,1785,1849,2000,2082.5,2100,2050
"02134","Boston","MA","Boston","Suffolk",195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,1850,1800,1800,1800,1895,1895,1950,2050,2200,2200,2400,2375,2295,2299,2050,2000,1995,1995,1900,1800,1850,1975,2300,2200,1995,1995,1950,1950,1950,2000,2095,2100,2100,2400,2395,2400,2400,2350,2300,2500,2150,2200,2400,2300,2095,2300,2600,2550,2650,2595,2600,2600,2552.5,2550,2550
"11361","New York","NY","New York","Queens",196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1750,1700,1750,1750,1750,1800,1800,1800,1987.5,2050,1850,1950,1900,1900,1900,1950,2000,1980,1965,1980,1980,2000,1950,1900,2000,1995,2000,2000,2047.5,2100,2100,1895,1900,2095,2150,1900,1850,1995,1850,2100,1995,1995,2100,2163,2145,2000,2100,2000,2145
"10471","New York","NY","New York","Bronx",197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1999,2030,2197.5,1999,1795,1700,1700,1700,1700,1712.5,1762.5,1830,1850,1900,2000,2000,1950,1995,1912.5,1895,1762.5,1820.5,1995,1995,2095,1900,2000,2100,2095,1996,1912,1912.5,1975,1825,2100,1895,2000,2000,2145,2295,2000,1862.5,1800,1872.5,1900,1897.5,1850,1950,1900,1900
"11378","New York","NY","New York","Queens",198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1600,1600,1674,1600,1600,1600,1600,1625,1600,1600,1675,1750,1774.5,1750,1750,1699,1912.5,1825,1800,1800,2000,1900,1862.5,1875,1900,1900,1900,1887.5,1850,2000,2100,2150,2000,2000,2100,1800,2000,2100,2099.5,2097,2200,2100,2000,2125,2100,2197,2100
"02140","Cambridge","MA","Boston","Middlesex",199,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2500,2500,2250,2500,2200,2100,2200,2200,2300,2300,2437,2600,2507.5,2400,2400,2500,2530,2540,2600,2700,2580,2450,2600,2450,2545,2600,2547.5,2597.5,2850,2750,2600,2600,2700,2600,2600,2525,2600,2650,2700,2612.5,2800,2700,2800,2700,2850,2600,2650,2500,2606,2850,2800,3000,2900,2840,2950,2931,2894.5
"78751","Austin","TX","Austin","Travis",200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,1145,1322,1269.5,1412.5,1415,1500,1432.5,1400,1354.5,1292.5,1195
"11415","New York","NY","New York","Queens",201,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1550,1550,1550,1525,1528,1500,1550,1550,1625,1650,1650,1625,1650,1650,1650,1650,1675,1675,1650,1650,1700,1690,1725,1695,1700,1700,1725,1700,1750,1800,1800,1800,1900,1850,1850,1850,1800,1950,1900,1925,1850,1800,1800,1837.5,2000,1800,1972.5,2000,2000,1900,1850,1800,1895,1850,1825,1800,1900,1862.5
"02445","Brookline","MA","Boston","Norfolk",202,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2400,2425,2300,2500,2500,2600,2600,2600,2600,2550,2550,2650,2674.5,2700,2700,2674.5,2650,2650,2600,2600,2500,2487.5,2600,2500,2500,2575,2550,2700,2650,2600,2600,2595,2599.5,2595,2550,2600,2600,2800,2800,2900,2650,3000,2850,2599.5,2850,2600,2600,2699.5,2700,2795,2850,2950,2790,2950,2900,2790,2782.5
"02129","Boston","MA","Boston","Suffolk",203,,,,,,,,,,,,,,,,,,,,,,,,2300,2300,2300,2350,2400,2384.5,2430,2397.5,2720,2799,2600,2500,2550,2617.5,2600,2745,2600,2600,2600,2600,2674,2600,2699,2600,2547,2500,2475,2505,2502.5,2505,2555,2800,2600,2625,2715,2600,2572.5,2600,2600,2600,2605,2600,2570,2515,2460,2600,2600,2625,2630,2460,2600,2600,2800,2950,2850,2950,3000,3187.5,3300,2900,2700
"02114","Boston","MA","Boston","Suffolk",204,,,,,,,,,,,,,,,,,,,,1850,1975,2210,2375,2300,2350,2400,2400,2500,2590,2575,2515,2550,2500,2695,2740,2822.5,2800,2825,2752.5,2725,2800,2847.5,2880,2800,2700,2800,2520,2690,2720,2650,2700,2675,2740,2600,2700,2497,2400,2500,2600,2650,2600,2600,2600,2695,2700,2700,2700,2900,2800,2800,2750,2645,2752.5,2800,2700,2547.5,2775,2795,2750,2795,2700,2600,2735,2720
"33129","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2312.5,2300,2300,2500,2450,2200,2499.5,2400,2400,2500,2509,2500,2500
"60661","Chicago","IL","Chicago","Cook",206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2187.5,2180,2165,2085,2052,2070,2000,2035,1840,2035,2054,2054,1935,1738,1634,1713,1789.5,1875.5,1883,1946,1796,2052,1950,1955,1958,2018,2050,2047,2079,1990,2185,2280,2276.5,2166,2264.5,2122,2094,2035,1997.5,2045,2005,2051,2047.5,2104.5,2177,2051,2100,2075,2051,2075,1950,1997.5,2019,2058,2052
"10543","Town of Mamaroneck","NY","New York","Westchester",207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2100,2000,2000,2000,2000,2050,2000,2000,2000,1950,2100,1925,1825,2000,2000,1895,2125,2350,2350,2250,2350,2350,2350,2350
"33132","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2499,2400,2497.5,2500,2525,2550,2550,2325,2400,2375,2475,2525,2400,2200,2250,2250,2200,2300,2500,2400,2500,2500,2400,2500,2500,2400,2400,2500,2500,2325,2350,2400,2500,2450,2450,2400,2300,2350,2350,2300,2350,2350,2450,2425,2300,2400,2500
"11232","New York","NY","New York","Kings",209,,,,,,,,,,,,,,,,,,,,,1750,1700,1725,1850,1800,1800,1700,1650,1625,1650,1800,1850,1975,1925,1850,1875,1900,1850,1840,1800,1800,1800,1800,1900,1900,1975,1950,1900,1950,1975,1975,2000,2300,2100,2000,1912.5,1890.5,1900,2000,2000,2100,2150,2195,2100,2099.5,2100,2147.5,2200,2150,2100,2225,2000,2000,2100,1985,2000,2000,2100,2175,2250,2200,2200,2200,2200
