"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,82038,"55012","MN","Minneapolis-St Paul","Chisago","Center City",14414,232000,0.00825727944372012,0.0153172866520788,0.0265486725663717,0.087108586774778,0.00209285545309368,"2006-06","2006-Q2",242500,-0.0432989690721649,"2005-04"
2017-09-30,87467,"67117","KS","Wichita","Harvey","North Newton",14415,129600,-0.0023094688221709,-0.00154083204930663,0.0062111801242236,0.0069319807705388,0.0136216018606488,"2009-11","2009-Q4",149000,-0.130201342281879,"2009-01"
2017-09-30,82790,"56331","MN","St. Cloud","Stearns","Freeport",14416,159700,-0.00560398505603985,-0.0232415902140673,0.0397135416666667,0.0259488721448673,0.00157906293157661,"2017-04","2017-Q2",167300,-0.045427375971309,"2016-11"
2017-09-30,81584,"54149","WI","Green Bay","Oconto","Mountain",14417,136200,0,-0.00365764447695684,0.011887072808321,0.0331627741270741,-0.00753424316596674,"2007-11","2007-Q4",147700,-0.0778605280974949,
2017-09-30,59157,"03588","NH","Berlin","Coos","Milan",14418,127500,0.0143198090692124,0.0323886639676113,0.0616153205661948,0.00221066424849248,-0.0122330464440088,"2007-11","2007-Q4",145100,-0.121295658166782,"2005-07"
2017-09-30,64194,"15622","PA","Pittsburgh","Fayette","Saltlick Township",14419,168500,-0.0146198830409357,-0.0772179627601314,-0.0442427680090754,0.0307806769817009,0.0425300563586477,"2017-05","2017-Q2",182900,-0.0787315472936031,"2017-02"
2017-09-30,79343,"48733","MI",,"Tuscola","Fairgrove",14420,70300,-0.015406162464986,-0.0263157894736842,0.0100574712643678,0.0522326282965975,,"2017-04","2017-Q2",72800,-0.0343406593406593,"2016-11"
2017-09-30,70617,"29635","SC","Greenville","Greenville","Cleveland",14421,197600,0.00355510411376333,0.00559796437659033,0.0762527233115468,0.0527681007773517,0.0399154922721809,"2017-09","2017-Q3",197600,0,"2017-09"
2017-09-30,62367,"12062","NY","Albany","Rensselaer","Town of Nassau",14422,187100,0.00862533692722372,0.0212882096069869,0.0382907880133185,0.0250857275125265,0.00499841892293929,"2009-11","2009-Q4",189500,-0.012664907651715,"2009-10"
2017-09-30,89898,"73067","OK","Oklahoma City","Grady","Ninnekah",14423,122200,0,0.0174854288093256,0.0462328767123288,0.069820570365118,0.0563957625588489,"2017-09","2017-Q3",122200,0,"2017-09"
2017-09-30,75037,"38856","MS","Tupelo","Itawamba","Marietta",14424,88600,-0.00449438202247191,-0.012263099219621,0.0585424133811231,0.0133881889265732,0.0295740154550697,"2017-06","2017-Q2",89700,-0.012263099219621,"2017-05"
2017-09-30,77618,"45359","OH","Dayton","Miami","Pleasant Hill",14425,131900,0.0161787365177196,0.0435126582278481,0.0900826446280992,0.0317800805745792,0.0098371920005933,"2017-09","2017-Q3",131900,0,"2017-09"
2017-09-30,62381,"12076","NY","Albany","Schoharie","Conesville",14426,126800,0.0119712689545092,0.0514096185737977,0.176252319109462,0.063964802239149,0.0140383364197272,"2009-02","2009-Q1",128600,-0.0139968895800933,"2009-01"
2017-09-30,81921,"54838","WI","Duluth","Douglas","Gordon",14427,164300,0.00305250305250305,-0.00604960677555959,-0.0132132132132132,-0.00923344316422892,,"2012-08","2012-Q3",172600,-0.0480880648899189,
2017-09-30,64369,"15928","PA","Somerset","Somerset","Davidsville",14428,115300,0,0.00173761946133797,-0.10965250965251,0.00121866657023029,,"2010-10","2010-Q4",135100,-0.146558105107328,
2017-09-30,82795,"56336","MN",,"Todd","Grey Eagle",14429,233800,0.00732442912537699,0.0423539901917075,0.0955951265229616,0.0200576794516962,,"2017-09","2017-Q3",233800,0,"2017-09"
2017-09-30,64079,"15423","PA","Pittsburgh","Washington","Long Branch",14430,121200,0.00497512437810945,0.00248138957816377,-0.0106122448979592,0.025044287768835,,"2016-11","2016-Q4",122500,-0.0106122448979592,"2016-07"
2017-09-30,90558,"74854","OK","Shawnee","Pottawatomie","Maud",14431,81500,0.00991325898389095,0.0421994884910486,0.0954301075268817,0.0745065530972857,,"2017-09","2017-Q3",81500,0,"2017-09"
2017-09-30,81875,"54754","WI",,"Jackson","Merrillan",14432,128700,-0.00617760617760618,-0.0345086271567892,0.00390015600624025,0.032839611241017,0.00552558597894537,"2009-06","2009-Q2",135400,-0.0494830132939439,"2009-01"
2017-09-30,77828,"45812","OH",,"Hardin","Alger",14433,103900,0.00386473429951691,0.0126705653021443,0.176670441676104,0.0620325842517699,-0.00404703542080564,"2007-01","2007-Q1",110900,-0.0631199278629396,"2006-03"
2017-09-30,64052,"15360","PA","Pittsburgh","Washington","North Bethlehem Township",14434,155700,-0.00638162093171666,-0.00764818355640535,0.00711513583441138,0.0164530943256285,0.0332154355757108,"2016-07","2016-Q3",158100,-0.015180265654649,"2016-05"
2017-09-30,98221,"95462","CA","Santa Rosa","Sonoma","Monte Rio",14435,422700,0.00907137741704464,0.0165945165945166,0.0102772466539197,0.11781934642082,0.0079291393487575,"2006-06","2006-Q2",426500,-0.00890973036342321,"2006-05"
2017-09-30,60423,"06754","CT","Torrington","Litchfield","Warren",14436,317300,0.000630715862503942,0.000630715862503942,-0.00688575899843505,-0.00150593643336128,-0.0232125046036505,"2005-12","2005-Q4",407700,-0.221731665440275,"2003-08"
2017-09-30,64083,"15428","PA","Pittsburgh","Fayette","Lower Tyrone Township",14437,109900,-0.0239786856127886,-0.0204991087344028,0.243212669683258,0.0712529896237353,0.0471923134836776,"2017-07","2017-Q3",114100,-0.0368098159509202,"2017-06"
2017-09-30,63374,"14034","NY","Buffalo","Erie","Collins",14438,129500,0.00856697819314642,0.0164835164835165,0.310728744939271,0.094632936043141,,"2017-09","2017-Q3",129500,0,"2017-09"
2017-09-30,82053,"55031","MN","Minneapolis-St Paul","Dakota","Hampton",14439,291800,0.0128427629295384,0.0303672316384181,0.0557163531114327,0.0623981510757992,0.00805654431564284,"2017-09","2017-Q3",291800,0,"2017-09"
2017-09-30,66626,"20778","MD","Baltimore","Anne Arundel","West River",14440,510400,0.00432900432900433,0,0.0804403048264183,0.0319175553615758,,"2017-09","2017-Q3",510400,0,"2017-09"
2017-09-30,79930,"49769","MI",,"Emmet","Pellston",14441,124100,0.00567260940032415,0.0428571428571429,0.0499153976311337,0.0788791949125516,-0.00904203558677785,"2005-06","2005-Q2",146600,-0.153478854024557,"2004-03"
2017-09-30,64019,"15321","PA","Pittsburgh","Washington","Cecil",14442,177700,-0.00615212527964206,-0.0268346111719606,-0.0410145709660011,0.00997067507375338,0.0116275573847935,"2016-12","2016-Q4",185700,-0.0430802369413032,"2016-04"
2017-09-30,65127,"17582","PA","Lancaster","Lancaster","Manor Township",14443,207300,0.000965717044905842,0.0191740412979351,0.0881889763779528,0.0344565424990513,0.00644559676736711,"2017-09","2017-Q3",207300,0,"2017-09"
2017-09-30,95260,"87025","NM","Albuquerque","Sandoval","Jemez Springs",14444,182700,0.0010958904109589,0.015,0.00883489784649365,0.0107369249340104,-0.0197792364963344,"2007-04","2007-Q2",224000,-0.184375,
2017-09-30,62676,"12577","NY","New York","Orange","Beaverdam Lake-Salisbury Mills",14445,270900,-0.00184229918938836,0.000369276218611521,0.0836,0.0228188607613402,-0.0232363478034168,"2007-03","2007-Q1",355800,-0.238617200674536,"2003-10"
2017-09-30,86567,"64734","MO","Kansas City","Cass","Cleveland",14446,227200,0.0124777183600713,0.0165548098434004,0.0508788159111933,0.0426282358597523,0.00920850653800409,"2017-09","2017-Q3",227200,0,"2017-09"
2017-09-30,58335,"01340","MA","Greenfield Town","Franklin","Colrain",14447,199100,0.00504795557799091,0.0111731843575419,0.0647058823529412,0.0246222666547802,0.00548591323234748,"2006-11","2006-Q4",203100,-0.0196947316592811,"2006-09"
2017-09-30,78498,"47235","IN","Seymour","Jackson","Freetown",14448,116900,-0.00764006791171477,-0.0109983079526227,-0.0495934959349593,0.0436827448816597,0.0234661364982083,"2016-02","2016-Q1",136800,-0.14546783625731,"2015-06"
2017-09-30,63866,"15055","PA","Pittsburgh","Washington","Cecil Township",14449,172600,0.00232288037166086,0.012316715542522,0.017688679245283,0.0297045447919349,0.0124581828534658,"2017-09","2017-Q3",172600,0,"2017-09"
2017-09-30,66952,"21654","MD","Easton","Talbot","Oxford",14450,585000,-0.00729679280502291,0.0074048562080248,0.0310186817060275,0.0354436492872288,-0.0193170460588369,"2006-03","2006-Q1",746300,-0.216132922417258,"2005-02"
2017-09-30,62418,"12137","NY","Albany","Schenectady","Mariaville",14451,150500,0.0168918918918919,0.0245064669843431,0.0436893203883495,0.00608976014766016,-0.005102974878194,"2008-04","2008-Q2",169200,-0.110520094562648,"2006-02"
2017-09-30,81808,"54635","WI",,"Jackson","Hixton",14452,122300,-0.00891410048622366,-0.04453125,0.00907590759075908,0.0278597278268107,,"2017-05","2017-Q2",128300,-0.0467653936087295,"2017-03"
2017-09-30,83663,"58436","ND",,"Dickey","Ellendale",14453,75500,-0.00132275132275132,-0.00264200792602378,0.0161507402422611,0.00675737172421509,,"2017-01","2017-Q1",75900,-0.00527009222661397,"2016-11"
2017-09-30,63074,"13343","NY",,"Lewis","Watson",14454,113100,-0.00176522506619594,0.000884955752212389,0.0272479564032698,0.0486234129312777,0.0389257977810082,"2017-04","2017-Q2",114100,-0.00876424189307625,"2017-03"
2017-09-30,69172,"27016","NC","Winston-Salem","Stokes","Danbury",14455,113000,0.0161870503597122,0.0319634703196347,0.0357470210815765,0.0096539485139302,-0.0021858786051715,"2008-07","2008-Q3",126500,-0.106719367588933,"2007-05"
2017-09-30,61067,"08349","NJ","Vineland","Cumberland","Port Norris",14456,124300,0.00485044462409054,0.0138662316476346,-0.0489671002295333,-0.00677868302678331,0.00615678859102831,"2016-09","2016-Q3",130700,-0.0489671002295333,"2016-04"
2017-09-30,62961,"13112","NY","Syracuse","Onondaga","Lysander",14457,135900,-0.0014695077149155,-0.0014695077149155,0.0592361652377241,0.0037203408866886,0.0159589177009742,"2017-07","2017-Q3",136600,-0.00512445095168375,"2017-06"
