"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","08865","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",4520,66,17.4904942965779,113,7.71428571428571,7.8957528957529
"Zip","07840","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",4531,66,14.7465437788018,117.5,6.57142857142857,7.8957528957529
"Zip","18015","PA","""Allentown-Bethlehem-Easton, PA-NJ""",4742,66,13.9240506329114,88,2.85714285714286,7.8957528957529
"Zip","18052","PA","""Allentown-Bethlehem-Easton, PA-NJ""",4849,66,23.2142857142857,77,3.71428571428571,7.8957528957529
"Zip","18045","PA","""Allentown-Bethlehem-Easton, PA-NJ""",5101,66,23.7837837837838,84,9.42857142857143,7.8957528957529
"Zip","18062","PA","""Allentown-Bethlehem-Easton, PA-NJ""",5802,66,21.4285714285714,82.5,4.85714285714286,7.8957528957529
"Zip","18064","PA","""Allentown-Bethlehem-Easton, PA-NJ""",5846,66,22.2972972972973,75,2.57142857142857,7.8957528957529
"Zip","18067","PA","""Allentown-Bethlehem-Easton, PA-NJ""",6583,66,23.3644859813084,87,9.71428571428571,7.8957528957529
"Zip","18235","PA","""Allentown-Bethlehem-Easton, PA-NJ""",6684,66,12.8205128205128,114,4,7.8957528957529
"Zip","18049","PA","""Allentown-Bethlehem-Easton, PA-NJ""",6773,66,20.9302325581395,74,0.857142857142857,7.8957528957529
"Zip","18020","PA","""Allentown-Bethlehem-Easton, PA-NJ""",6810,66,26.8292682926829,82.5,9.14285714285714,7.8957528957529
"Zip","18109","PA","""Allentown-Bethlehem-Easton, PA-NJ""",6977,66,21.4285714285714,78,3.42857142857143,7.8957528957529
"Zip","18013","PA","""Allentown-Bethlehem-Easton, PA-NJ""",7067,66,18.796992481203,113,8,7.8957528957529
"Zip","18040","PA","""Allentown-Bethlehem-Easton, PA-NJ""",7475,66,26.25,94,10,7.8957528957529
