Region,Year,Month,MonthId,Zip_Listings_PriceCut_SeasAdj_AllHomes,Zip_Listings_PriceCut_SeasAdj_Condominum,Zip_Listings_PriceCut_SeasAdj_SingleFamilyResidence,Zip_MedianListingPricePerSqft_1Bedroom,Zip_MedianListingPricePerSqft_2Bedroom,Zip_MedianListingPricePerSqft_3Bedroom,Zip_MedianListingPricePerSqft_4Bedroom,Zip_MedianListingPricePerSqft_5BedroomOrMore,Zip_MedianListingPricePerSqft_AllHomes,Zip_MedianListingPricePerSqft_CondoCoop,Zip_MedianListingPricePerSqft_DuplexTriplex,Zip_MedianListingPricePerSqft_Sfr,Zip_MedianListingPrice_1Bedroom,Zip_MedianListingPrice_2Bedroom,Zip_MedianListingPrice_3Bedroom,Zip_MedianListingPrice_4Bedroom,Zip_MedianListingPrice_5BedroomOrMore,Zip_MedianListingPrice_AllHomes,Zip_MedianListingPrice_CondoCoop,Zip_MedianListingPrice_DuplexTriplex,Zip_MedianListingPrice_Sfr,Zip_MedianPctOfPriceReduction_AllHomes,Zip_MedianPctOfPriceReduction_Condominum,Zip_MedianPctOfPriceReduction_SingleFamilyResidence,Zip_MedianRentalPricePerSqft_1Bedroom,Zip_MedianRentalPricePerSqft_2Bedroom,Zip_MedianRentalPricePerSqft_3Bedroom,Zip_MedianRentalPricePerSqft_4Bedroom,Zip_MedianRentalPricePerSqft_5BedroomOrMore,Zip_MedianRentalPricePerSqft_AllHomes,Zip_MedianRentalPricePerSqft_CondoCoop,Zip_MedianRentalPricePerSqft_DuplexTriplex,Zip_MedianRentalPricePerSqft_Mfr5Plus,Zip_MedianRentalPricePerSqft_Sfr,Zip_MedianRentalPricePerSqft_Studio,Zip_MedianRentalPrice_1Bedroom,Zip_MedianRentalPrice_2Bedroom,Zip_MedianRentalPrice_3Bedroom,Zip_MedianRentalPrice_4Bedroom,Zip_MedianRentalPrice_5BedroomOrMore,Zip_MedianRentalPrice_AllHomes,Zip_MedianRentalPrice_CondoCoop,Zip_MedianRentalPrice_DuplexTriplex,Zip_MedianRentalPrice_Mfr5Plus,Zip_MedianRentalPrice_Sfr,Zip_MedianRentalPrice_Studio,Zip_MedianValuePerSqft_AllHomes,Zip_Median_PriceCut_Dollar_AllHomes,Zip_Median_PriceCut_Dollar_Condominum,Zip_Median_PriceCut_Dollar_SingleFamilyResidence,Zip_PctOfHomesDecreasingInValues_AllHomes,Zip_PctOfHomesIncreasingInValues_AllHomes,Zip_PctOfListingsWithPriceReductions_AllHomes,Zip_PctOfListingsWithPriceReductions_Condominum,Zip_PctOfListingsWithPriceReductions_SingleFamilyResidence,Zip_PriceToRentRatio_AllHomes,Zip_Zhvi_1bedroom,Zip_Zhvi_2bedroom,Zip_Zhvi_3bedroom,Zip_Zhvi_4bedroom,Zip_Zhvi_5BedroomOrMore,Zip_Zhvi_AllHomes,Zip_Zhvi_BottomTier,Zip_Zhvi_BottomTier_yoy,Zip_Zhvi_Condominum,Zip_Zhvi_MiddleTier,Zip_Zhvi_MiddleTier_yoy,Zip_Zhvi_SingleFamilyResidence,Zip_Zhvi_Summary_AllHomes,Zip_Zhvi_TopTier,Zip_Zhvi_TopTier_yoy,Zip_ZriPerSqft_AllHomes,Zip_Zri_AllHomes,Zip_Zri_AllHomesPlusMultifamily,Zip_Zri_AllHomesPlusMultifamily_Summary,Zip_Zri_AllHomes_Summary,Zip_Zri_MultiFamilyResidenceRental,Zip_Zri_MultiFamilyResidenceRental_Summary,Zip_Zri_SingleFamilyResidenceRental,Zip_Zri_SingleFamilyResidenceRental_Summary
94505-CA,2010,9,24129,9.71060012570672,,9.76087293195543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,,,,68.82,25.25,13.6363636363636,,13.953488372093,,,298100.0,415800.0,358800.0,363200.0,363900.0,266600.0,-0.0730180806675939,,363900.0,-0.0592037228541882,368300.0,,576400.0,-0.0428429093324477,,,,,,,,,
94505-CA,2010,10,24130,5.64670606197934,,5.80670677401835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,,,,68.66,24.77,7.80141843971631,,8.2089552238806,13.49,,297100.0,412500.0,354300.0,355600.0,359500.0,267200.0,-0.0558303886925795,,359500.0,-0.0676867219917012,363500.0,,568800.0,-0.0502588078143263,,,,,,,,,
94505-CA,2010,11,24131,11.448875421614,,11.8263221333518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,,,,69.45,23.84,10.9375,,11.4754098360656,13.53,,296400.0,406400.0,349600.0,349600.0,354800.0,267800.0,-0.0335618910140743,,354800.0,-0.0726607422895975,357900.0,,560600.0,-0.0592381272025508,0.972,2232.0,2217.0,,,1607.0,,2232.0,
94505-CA,2010,12,24132,16.7730961516756,,16.2868847321764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,,,,73.16,21.03,14.0350877192982,,13.5135135135135,13.38,,298000.0,402300.0,347500.0,348200.0,352100.0,268300.0,-0.0282506338283231,,352100.0,-0.0882962195753496,354400.0,,554700.0,-0.086161449752883,0.972,2226.0,2208.0,,,1624.0,,2225.0,
94505-CA,2010,1,24121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,,,,92.7,4.84,,,,,,289200.0,413200.0,391300.0,387900.0,392300.0,277800.0,-0.245723594895466,,392300.0,-0.165141519472228,397700.0,,628700.0,-0.0785578191411403,,,,,,,,,
94505-CA,2010,2,24122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.0,,,,91.76,5.67,,,,,,284100.0,417700.0,383800.0,377200.0,388000.0,274800.0,-0.230036424768843,,388000.0,-0.154131240462176,393200.0,,636200.0,-0.0585972181118674,,,,,,,,,
94505-CA,2010,3,24123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,,,90.64,6.56,,,,,,272800.0,411500.0,374900.0,374000.0,377700.0,268600.0,-0.217365967365967,,377700.0,-0.152759084791386,382900.0,,623000.0,-0.0552016985138004,,,,,,,,,
94505-CA,2010,4,24124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,,,,86.27,9.45,,,,,,273600.0,413800.0,370200.0,372100.0,375400.0,267100.0,-0.191341204965183,,375400.0,-0.130414639796155,381200.0,,610000.0,-0.0523535808606494,,,,,,,,,
94505-CA,2010,5,24125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,,,,81.01,14.12,,,,,,281700.0,417300.0,368300.0,372800.0,375900.0,267900.0,-0.161764705882353,,375900.0,-0.100932791198278,381800.0,,602400.0,-0.0412223460130511,,,,,,,,,
94505-CA,2010,6,24126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,,,,77.05,18.04,,,,,,291200.0,419400.0,368000.0,373800.0,375700.0,269600.0,-0.12891760904685,,375700.0,-0.0739462657135815,381100.0,,602900.0,-0.0220600162206002,,,,,,,,,
94505-CA,2010,7,24127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,,,,73.66,20.77,,,,,,297000.0,418800.0,365800.0,372800.0,371700.0,268900.0,-0.104562104562105,,371700.0,-0.0634920634920635,376300.0,,597200.0,-0.0238640078457012,,,,,,,,,
94505-CA,2010,8,24128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.0,,,,71.73,22.9,,,,,,298000.0,417000.0,361900.0,369200.0,367000.0,267000.0,-0.0884260839877091,,367000.0,-0.0606603532121833,371200.0,,584700.0,-0.0384805130735076,,,,,,,,,
94505-CA,2011,1,24133,11.3820296227977,,11.4133322795163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,,,,72.88,21.58,9.1743119266055,,9.1743119266055,13.37,,297900.0,395500.0,344200.0,346300.0,347700.0,266700.0,-0.0399568034557235,,347700.0,-0.113688503696151,350200.0,,544700.0,-0.133609034515667,0.968,2229.0,2214.0,,,1615.0,,2227.0,
94505-CA,2011,2,24134,10.5044826205678,,10.4518342244029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,,,,75.31,20.3,6.71641791044776,,6.71641791044776,13.21,,297100.0,386500.0,339200.0,342000.0,342000.0,265000.0,-0.0356622998544396,,342000.0,-0.118556701030928,344600.0,,534800.0,-0.159383841559258,0.966,2243.0,2228.0,,,1594.0,,2241.0,
94505-CA,2011,3,24135,8.92175379643455,,8.95338514412758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,,,,75.08,19.79,6.62251655629139,,6.66666666666667,13.04,,298200.0,379400.0,336000.0,337900.0,338500.0,266200.0,-0.00893521965748325,,338500.0,-0.103786073603389,341200.0,,533100.0,-0.14430176565008,0.962,2258.0,2240.0,,,1555.0,,2255.0,
94505-CA,2011,4,24136,8.46924384152585,,8.90150298510445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,,,,79.08,15.21,7.75193798449612,,7.8125,12.84,,295200.0,375600.0,334000.0,333500.0,336000.0,266300.0,-0.00299513290902284,,336000.0,-0.104954714970698,338300.0,,532400.0,-0.127213114754098,0.962,2252.0,2236.0,,,1535.0,,2250.0,
94505-CA,2011,5,24137,10.6405779976973,,10.7284254000969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,,,,80.38,14.21,9.48275862068965,,9.64912280701754,12.66,,285700.0,374000.0,331800.0,329100.0,333800.0,264600.0,-0.0123180291153415,,333800.0,-0.111997871774408,336000.0,,535100.0,-0.1117197875166,0.962,2238.0,2224.0,,,1528.0,,2238.0,
94505-CA,2011,6,24138,6.31545851576271,,5.84867965154179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,,,,81.03,13.47,6.50406504065041,,5.88235294117647,12.7,,277000.0,371900.0,328600.0,325300.0,331300.0,263000.0,-0.0244807121661721,,331300.0,-0.118179398456215,333700.0,,538200.0,-0.107314645878255,0.964,2225.0,2214.0,,,1526.0,,2226.0,
94505-CA,2011,7,24139,0.325367715383243,,0.730230139129305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,,,,82.09,11.78,4.91803278688525,,5.04201680672269,12.57,,274000.0,366900.0,323800.0,321100.0,328300.0,261600.0,-0.0271476385273336,,328300.0,-0.116760828625235,331000.0,,537300.0,-0.100301406563965,0.966,2217.0,2208.0,,,1522.0,,2220.0,
94505-CA,2011,8,24140,9.34697884309542,,9.48335171542456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,,,,81.22,13.39,11.9047619047619,,12.0967741935484,12.51,,273400.0,360700.0,320500.0,318700.0,325600.0,258900.0,-0.0303370786516854,,325600.0,-0.112806539509537,328200.0,,534600.0,-0.0856849666495639,0.97,2214.0,2206.0,,,1513.0,,2218.0,
94505-CA,2011,9,24141,5.00280791791451,,4.81639356887141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,80.36,14.3,8.92857142857143,,9.00900900900901,12.5,,271100.0,354700.0,320400.0,319800.0,324400.0,256100.0,-0.0393848462115529,,324400.0,-0.108546303929651,326800.0,,535500.0,-0.0709576682859126,0.972,2210.0,2203.0,,,1512.0,,2215.0,
