"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Palmetto Dunes","Hilton Head Island","SC","Hilton Head Island","Beaufort",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399700,399000,425000,444444,517000,499000,505000,495000,524500,529995,5e+05,497000,449900,492000,475000,495500,502000,449500,425000,437000,475000,529999.5,507000,509000,520000,492250,469000,469000,499450,479000,479000,462250,499900,499900,499900,515000,519250,540000,535000,519500,535000,549000,549000,510000,505000,532500,537000,535000,537000
"Port Royal","Hilton Head Island","SC","Hilton Head Island","Beaufort",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149450,148500,148950,145950,163000,164000,166950,166950,143900,147400,159450,144900,159900,162500,152500,152500,155750,175000,186900,155750,138000,151200,174500,174500,174900,168000,168700,169900,169900
"Sea Pines","Hilton Head Island","SC","Hilton Head Island","Beaufort",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e+05,3e+05,312000,319000,326950,319000,317000,319000,319000,314900,320000,324950,325000,319000,320000,319000,314000,329000,335000,335000,327000,332000,335000,349000,354500,359000,359900,354000,359900,379000,374000,379450,369450,364000,372250,379000,379000,379000,362450,376950,379000,380500,379500,376250,369000,359000,362500,361000,369000
"Shipyard","Hilton Head Island","SC","Hilton Head Island","Beaufort",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294000,299450,307000,314900,314900,318900,299000,299900,299450,314950,317950,315950,309450,312400,309900,309900,298750,307400,299900,299900,301000,309500,309000,309000,309000,315000,309900,309450,309900,310000
"Highland Village","North Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150000,1162000,1174000,1150000,1180000,1179000,1200000,1205000,1210000,1196888.5,1199388.5,1200000,1199500
"East Ocean View","Norfolk","VA","Virginia Beach","Norfolk City",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259000,259900,249900,249990,249990,239900,233995,234900,233945,221945,226990,234900,239900,246000,239900,249350,246000,244250,234950,239900,237450,262450,239900,247450,252500,237450,229900,239900,248000,229995,242990,274900,294000,274950,259900,239900,239900,239900,239900,245000,249900,247000,254400,239900,249000,246950,219900
"Pinebrook","Venice","FL","North Port-Sarasota-Bradenton","Sarasota",345,133000,129900,144000,145000,147000,149450,153950,147000,135450,124450,123000,124900,124900,122350,119900,119000,117900,115000,119000,120000,121000,119900,120000,119900,120000,122450,122400,119900,119450,119450,111000,113000,110000,109950,115000,119000,114950,112500,112000,114900,119000,113500,119900,124900,125000,129999.5,130000,129950,133950,129900,131000,128900,129900,124000,127950,133900,139450,139900,143450,149000,161950,154900,149000,151950,149900,151950,159900,154450,159900,159450,165700,171500,166500,164900,161450,158000,164900,169000,174900,169000,171950,179450,177900,176338.5,175000,175883.5,168450,169900,169900,169900,168000,169900,170000
"City Center","North Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72000,74959,72500,72500,79000,76000,79950,79450,79900,79900,79900,79900,80000,80000,82444,85000,85500,80000,80000,80000,79900,80000,80000,82944,95000,98000,98500,99000,99750,98000,99400,99000,104950,98500,98850,99950,105000,101500,99950,104900,110000,110000,110000,110000,110300,110000,111050
"Snacks-Guion Creek","Indianapolis","IN","Indianapolis","Marion",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49900,54900,56200,60000,62250,62500,61500,63000,66250,67750,66700,60500,60000,61250,64950,67900,68250,69950,69900
"Washington Square","Philadelphia","PA","Philadelphia","Philadelphia",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389450,369900,365000,349000,299000,321000,327500,299900,339900,374900,384450,349000,374950,349000,327400
