"RegionID","RegionName","City","County","State","Metro","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
274772,"Northeast Dallas","Dallas","Dallas","TX","Dallas-Fort Worth",1,4.08921933085502,4.14696226134505,3.65370560103591,4.44938820912124,3.86598580146967,4.01808237977034,3.60638399981876,3.84689377571255,3.71057513914657,3.76470588235294,3.71196067030238,3.84704171608666,3.84911470361817,3.84763370527126,3.87096774193548,4.00701453333032,4,3.75856807556061,3.32688802951505,3.30615110069809,3.14285714285715,3.03582718456981,3.33890746934225,3.42271396029938,3.61215015965868,3.50877192982456,3.68980612883052,3.77777777777778,3.7200967783499,3.23292625503627,3.0690737833595,3.03951367781155,3.54683137541378,3.2357700361698,3.56202619976528,3.49640451730668,3.25179715525314,3.17460317460317,2.8399470137649,3.37480829950383,2.9614127401738,3.03951367781155,3.003003003003,3.13356883172993,2.65690567414706,3.2669729453803,3.22653505426863,3.1578947368421,3.12548843388559,3.08722380188394,3.15334183208887,3.41880341880342,3.59600612876339,3.27161161299203,3.10679611650485,3.44916791389316,3.27074489268495,3.54073823357966,3.06086258239368,3.19446457632022,3.0557533361398,3.10144997234713,3.22171497480512,2.85795941697627,2.60923927349302,2.67857142857143,2.93704030597234,2.66272189349113,2.85795941697627,3.05973773676542,2.7875574407918,2.70918274353225,3.03015610629713,2.78551532033426,2.78551532033426,2.33488372093024,2.5706940874036,2.50344541022474,2.69242749042672,2.33722871452421,3.04149596934056,2.80561122244489,2.78028788067353,2.66992994738257,2.82133460894523
192689,"Paradise","Las Vegas","Clark","NV","Las Vegas",2,6.78489223686964,6.04960677555959,6.06428138265616,6.75376344086022,6.40990403254907,6.51893408134642,6.12244897959183,6.25,5.82293178519594,6.00000000000001,5.7428681360963,5.29115341545353,5.55555555555556,5.55866084066305,5.55555555555556,6.31578947368421,5.1,5.86628750017597,6.46356433433768,5.63076470588236,5.2915707270998,5.26315789473685,5.36742492026232,5.11296076099881,5.5244195356285,4.25531914893616,4.86858747721818,5.52825552825553,5.79533213644524,5.79304874415159,4.75984422327996,6.14760748788329,5.91715976331361,5.03953823953824,3.57945571694324,4.48016831430671,4.25015805839774,4.11240575736807,4.68935496636328,4.80952380952381,4.76190476190477,4.81927710843374,3.93080386080772,4.36521739130434,3.64901401413502,4.25531914893616,3.57142857142857,3.77358490566038,3.75871476204911,3.03030762168517,3.03214069132808,3.89154431007551,3.84810126582279,3.125,3.82804385458742,3.77122093023256,3.47826086956522,3.33444481493831,3.2175899298309,3.03030303030303,3.04637337596707,2.37386336203428,3.06441525953721,3.28006728343145,3.00035628395832,2.73972602739726,2.65692640692641,2.86359233790588,2.78462363576446,2.98552022689954,2.56411571341392,2.63192529890137,2.40361348604614,2.55967995508142,2.44334895966258,2.79171489364985,2.86123618501842,2.38095238095238,2.32558139534884,2.2231160533553,2.5706940874036,2.10526315789473,2.54178674351585,2.17391776938646,2.17528355400366
112345,"Maryvale","Phoenix","Maricopa","AZ","Phoenix",3,8.68494342906875,7.61872151702661,6.75917740999093,9.01735314950382,9.10746812386156,9.93517231309652,9.68871124031008,7.15307582260372,10,6.83839366866275,7.48192771084337,6.03030303030303,5.17523290848808,6.4760056137019,6.88524590163935,3.75004687558594,7.02821869488536,5.4320987654321,5.84876748834111,7.375743133846,2.76509126901173,3.6671146953405,3.97805212620027,3.84615384615384,2.13675213675214,3.125,4,4.72152477148648,3.68462735585204,5,4.21099290780141,6.60326086956522,4.67884465602457,4.17393194723433,3.22688172043011,3.3457249070632,3.11013773372137,2.74434688273384,3.33333333333333,2.14673516560309,2.66076696165192,2.22469410456062,2.16606498194946,2.32221653051504,2.49129381012648,3.03214069132808,2.44100895036615,2.75675675675676,2.29508196721312,2.60869565217391,2.99272816019661,3.1324004305705,3.05361305361305,3.06122448979592,2.32558139534884,1.7885674030822,2.36748548542727,3.14884302689181,2.7027027027027,2.87769784172662,2.42216350231618,2.45398773006135,2.35432607416127,1.6025641025641,1.5985633537447,2.31818181818182,1.84757505773672,2.18295841161834,2.41951219512195,2.7972027972028,2.37467018469657,2.5069067196915,2.36826524570752,2.50125062531266,2.05277445061725,1.25748502994012,1.76459787944806,1.96206671026815,2.2510036876619,2.51256281407035,2.51572327044025,1.79382396626369,2.29050279329609,1.85253797702853,1.79190751445086
270958,"Upper West Side","New York","New York","NY","New York",4,5,4.45647085526222,3.79717608464358,4.16,4.3010752688172,3.86331969808734,3.57142857142857,4.4543429844098,3.96659707724426,4.28571428571428,4.23797295598614,4.47761194029851,4.20084033613445,4.34782608695652,4.55583229555832,4.95238095238095,4.54545454545454,4.37757317164459,4.00160128102482,4.00534045393859,4.26439232409381,3.62694300518135,4.29549549549549,3.58974358974359,4.3630017452007,4.54545454545454,4.54545454545454,5.23809523809524,4.88449823213772,4.84553613604157,4.07999999999999,6.45161290322581,4.8497973942996,4.83908729732119,4.13793103448276,4.53731343283582,4.10404624277456,4.51127819548872,4.68227424749164,5.46507815701657,4.54545454545454,4.94719288493608,5.08266597778352,5.03968253968254,5.1948051948052,3.68278929029892,4.1566481894752,4.48116850665576,4.59079733052335,5.18844859317166,4.17536534446764,4.5020266357846,5.65811939752424,3.77827215424545,4.08205769030511,4.18410041841004,4.13793103448276,4.54545454545454,4.4,3.35195530726257,4.68105333206579,5.29253481894151,4.92148616806223,5.12820512820513,4.17536534446764,4.2,4.53913043478261,3.70434417334687,4.20841683366734,4.08589743589743,3.92315384615385,4.65098966335748,4.80961923847696,4.11522633744856,4.54656104443613,4.00400801603207,5.25062656641604,4.28106820576245,4,4.04040404040404,4.2,4.40060698027314,3.98329853862213,4.78379022646007,4.16663472221157
27080,"Sherman Oaks","Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim",5,4.36871996505024,4.48667196568514,4.37158469945356,4.76644423260247,4.65657741559954,4.99998845705452,4.5662100456621,4.26448510895726,3.67777752854355,4.31714832393211,3.78071833648393,4.20047031158142,4.76514635806671,4.2035359155054,3.98933214801644,5.08474576271186,4.50000696007826,3.61370434152089,3.85552308702847,3.91254315304949,3.84245799591502,4.44444444444444,3.77777777777778,3.85542168674698,4.35413642960812,4.42869796279893,3.94789579158317,4.16152816141277,3.4989262148238,5.72550838452881,4.21792618629174,3.56083086053413,4.41939479145745,3.39756861495992,4.4520155222038,4.00534045393859,3.96078431372549,2.90261669465413,3.5778175313059,3.6781288182929,4.32960166623275,3.1492162051697,3.12989811912226,3.17965023847376,2.56772714116269,3.66177140255009,2.91036088474971,3.04242424242425,3.31961973026717,3.34448160535117,3.23126757272092,3.55541211227998,3.7721324095458,3.58620689655172,3.19355435175046,3.43593414459556,4.47761194029851,3.43818580833943,3.44827586206896,2.77678665212298,3.65365365365365,3.51724137931034,4.26372012988311,4.12979351032449,2.94658281031625,3.48164972909296,3.85356454720617,2.86162988532206,3.49474918763046,4.05410032528677,3.56455366350698,3.14419595314164,3.17195325542571,3.90117035110533,3.88349514563107,3.01197813699268,3.70397807244981,2.92682926829269,3.43347639484979,3.51493848857645,3.44946574331881,3.16561335480871,3.20816645986773,3.06537909434947,2.89855072463768
118208,"South Los Angeles","Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim",6,6.00000000000001,4.2571306939123,6.07597270883275,6.93333333333334,6.03197674418605,5.12820512820513,5.26500526500526,5.4248750367539,4.43458980044346,5.22959183673469,5.00250125062531,5,5.23809523809524,3.71747211895911,4.12595005428882,4.0016006402561,4.16840350145894,3.71747211895911,3.50175087543771,4.19958636611408,5.04901960784314,3.83546414674819,3.2828727668627,3.96371083940554,4.01606425702812,4.19161676646707,4.44630689144241,5.82677165354331,4.42881246801979,4.76190476190477,4.78311752289355,4.53914989331478,3.92213916781624,3.17192327034988,2.77854959711031,2.60744985673352,2.94985250737463,3.44827586206896,3.6774628879892,4.00106695118698,3.42160837238144,3.33304040315273,3.57270453733476,4.08163265306123,3.03490835405729,2.66737796745798,3.03030303030303,3.48702994957779,3.125,3.46020761245674,2.92029625081546,3.28064609252885,2.87784679089027,3.34448160535117,4.28571428571428,3.85542168674698,4.28544081554518,4.62601788053072,4.12979351032449,2.85714285714286,3.37727064069775,3.84714029238267,3.57270453733476,5.58375634517766,4.34782608695652,4.12686908147996,3.1470536762357,3.84208104165793,3.63855421686747,2.33834762441754,2.5,4.28693912546442,2.82163009404389,2.59961810012837,3.51493848857645,5.75422135873256,2.7027027027027,4.30202540781109,2.58125008057558,3.2258064516129,2.56926433872813,2.23781676413255,3.23452484742807,2.35294117647059,2.85715102043149
270957,"Upper East Side","New York","New York","NY","New York",7,4.95238095238095,5.07936507936508,4.40108453568316,5.40540540540541,4.57430240103829,4.25724637681159,4.34782608695652,4.94309252217997,4.76190476190477,4.76852790531539,4.92957746478874,4.66666666666666,4.79869514637628,5.00312891113893,4.76190476190477,5.07936507936508,5.20833333333334,5.0251256281407,5.05050505050505,4.60979384016373,4.2289703555953,5.00939457529932,4.14078674948241,3.81196581196581,5.07401845097619,5.10204081632653,5.27740189445196,4.65116279069767,4.45652173913044,4.70392823457709,5.03239806834159,4.5859872611465,5.89970501474927,5.36842105263158,4.94505494505495,4.99499973682825,4.8,5.27704485488126,4.8,4.16666666666666,4.56852791878173,5.49109182275012,4.79144446410721,5.09810196203924,5.93576409027053,4.77137252372406,4.76758045292014,4.00667779632721,5.0713281093028,5.42252402509729,5.53289138194799,4.32445067788686,5.44802867383513,5.47368421052632,5.23809523809524,5.01030859271083,5.24193548387096,5.36082474226804,5.36340852130326,4.73389355742297,4.62311557788945,4.23496003814702,5.17852805440855,6.11764705882353,5.6,5.01792114695341,5.55555555555556,5.3030303030303,5.00312891113893,4.78980526405405,4.48614051039147,3.84615384615384,4.34782608695652,4.80952380952381,3.84985919668001,4.96198479391756,6.05744290504207,5.37679741022359,4.54545454545454,4.84353741496599,4.84494359285678,5,4.12414965986395,3.53889943074004,4.23728813559322
192820,"Sunrise Manor","Las Vegas","Clark","NV","Las Vegas",8,6.89655172413793,7.15990453460621,7.06213662790698,8.84092046023012,7.74010500662582,7.88252538252538,9.09918107370337,6.55913978494624,8.35654596100278,6.74725274725275,7.20961281708945,6.9498850255948,7.01001430615165,7.67201136594276,6.28930817610063,6.75844806007509,7.19116022099447,7.14796283059328,6.19133291614518,7.73598296664301,7.08542713567839,6.22555865921788,4,5.21739130434783,4.52234877246266,6.72316384180791,6.12032355915066,4.64719101123596,5.27704485488126,5.73693226993663,5.27018012008005,5.17948717948717,5.63492063492064,4,4.92352635209778,5.73986308583465,4.73118279569893,5.00863557858376,5.1490514905149,5.40540540540541,4.63519437911912,4.58547008547008,4.41717791411043,4.52508361204013,4.62495887706985,3.55029585798816,3.86047190454607,3.45065562456867,3.76107994531582,4.02792275222182,3.28156640461909,4.40562833575934,2.9919971527354,3.51724137931034,3.83382484933966,3.2269220368793,3.98423941416337,3.50877192982456,3.84615384615384,3.51724137931034,3.28087167070218,2.97928994082841,3.11894493405838,3.33444518567934,3.11409038013964,2.91428571428571,3.29032258064517,3.05361305361305,3.25469427058257,2.87769784172662,2.89932781146275,3.33889816360601,2.78551532033426,2.58716283716284,2.49951249756248,2.86617924915797,2.77932184546971,2.22222222222223,2.27272727272727,2.50062515628907,2.51290845465282,2.2737608003638,2.6795722854198,2.63157894736842,2.17462082212568
194430,"East New York","New York","Kings","NY","New York",9,10.4545542393727,5.85894341646554,5.92939636526167,6.80468921780791,3.01003344481605,6.80851063829787,5.28476198175818,4.07063316128375,4.84429065743944,6.25782227784731,7.65893878020052,5.26315789473685,5.73065902578796,3.69781651924967,10.8416145991702,6.28201881683776,5.84482333851551,5.73065902578796,6.47249190938511,5.01516290726817,9.30815474449045,7.7120822622108,6.42809029246362,7.26842105263158,2.47562511474206,3.15457413249212,4.70588235294118,4.28178875254084,4.83870967741935,3.07692307692308,5.98936618518619,3.35630688477521,2.30965079458882,3.75557413600892,6.10877646678519,0.0019232988421769,2.94126297832289,6.23691746068958,12.2887864823349,6.8287037037037,2.78551532033426,7.48423355785319,4.66883116883117,4.92063492063493,4.27790432801822,5.5026455026455,3.1425804073726,8.00001600003199,2.74577179185623,3.2258064516129,2.09652936345146,2.11640211640212,5.23809523809524,4.06945805909537,4.17168338907469,8.1145584725537,3.53495052455889,8,4.31050482553823,0.995670995670994,3.2306203545715,4.80961923847696,4.78095238095239,3.75,5.12820512820513,2.29697416819711,2.18642350557244,1.99049316696376,7.29783037475346,4.90196078431373,4.04040404040404,4.4543429844098,2.71966527196653,5.62852242097525,5.37154120583031,5.8055152394775,4.26439232409381,3.0196164866652,2.02249388753056,4.76947535771065,1.16893518843839,3.84616124261777,3.05199340452203,4.80961923847696,4.16
192796,"Spring Valley","Las Vegas","Clark","NV","Las Vegas",10,5.50000000000001,5.56173526140156,6.25390869293309,6.6390731686512,6.39658848614072,5.86916905571482,6.45369541223266,5.79124579124579,5.73065902578796,5.10269166985585,5.07743221253177,4.78313936985524,4.79495923419135,5.55709962324749,5.07699597251836,5.20363236103468,5,5.02152338754706,5,5.01396648044693,4.83981368637206,4.35023102310231,5.0131266408301,6.00603872542567,4.55373406193078,4.81481481481482,5.005005005005,5.78291814946619,5.0991298310227,5.45015831469647,4.72942246475671,5.12658227848102,5.04340155639497,3.8971161340608,4.08580183861083,3.98005070868658,4.39414114513982,4.69263344688796,4.32015825028925,5,5,3.80986937590711,3.20859140513903,3.36732894057173,4.17536534446764,3.40744189987787,3.73493975903615,3.584229390681,3.07692307692308,3.584229390681,3.57142857142857,3.38709677419354,3.42372881355932,3.3520654806677,3.07692307692308,2.94351279788173,3.01156861559546,3.03214069132808,2.78300293760916,2.88636003731095,2.79069767441861,2.63157894736842,2.61538461538462,2.7027027027027,3.05970149253731,2.93004437483686,2.55859724458758,2.35321802565007,2.86457411149847,2.85714285714286,2.59169677874244,2.77749925960592,2.45122561280641,2.38663484486874,2.47264287637683,2.11105411265007,1.8875047187618,2.09344790547798,2.44221051033466,2.28571428571429,2.19385026737968,2.20620679511693,2.1745748706128,2.12070105820106,2.53545850957543
