"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Midtown","Atlanta","GA","Atlanta","Fulton",130,245000,249900,249900,249900,249900,248000,249900,264500,250000,249000,240000,232450,229000,249000,245000,239900,232900,222500,235450,229000,226500,229000,235000,244950,262400,229000,224900,224950,239900,265000,234400,232350,234900,249900,259900,264850,269900,299000,298500,299900,3e+05,299900,309000,317000,299499.5,315000,309900,309900,309900,299000,309900,316950,316950,307500,315000,3e+05,299950,3e+05,284450,319450,319450,359000,329900,323000,324900,309450,304000,305000,339900,329900,333450,339450,358700,396950,407500,410000,414850,364950,375000,375000,379900,362500,375000,399900,399950,362450,375000,419450,429900,418450,418450,449900,449950
"Hollywood Lakes","Hollywood","FL","Miami-Fort Lauderdale","Broward",131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289900,294500,279000,269900,275000,269000,269450,285000,279000,279450,295000,289000,289000,288000,269945,274999,309900,282000,295000,292000,281500,281500,309900,276500,3e+05,318000,318000,299000,299000,319500,329450,339500,342250,348950,351000,355000,354000,345000,322500,320000,325000,325000,327000,329000,334950,357500,358250
"Seatack","Virginia Beach","VA","Virginia Beach","Virginia Beach City",132,179900,183900,187900,209900,204450,197000,198000,188700,189500,192500,190000,190900,190500,189750,189900,186200,183250,169999.5,185700,182000,188450,175450,174250,178700,171000,174250,177500,175000,169900,170750,164000,168500,163450,164900,169450,194900,194900,183000,187900,184900,182500,177000,175000,179883,194499.5,199999,199999,199999,190000,180000,185000,180000,179900,184789,184789,184894.5,185000,198350,189500,189500,204500,2e+05,199900,184950,199900,2e+05,2e+05,209450,194950,207000,224950,205750,205000,186950,199000,199950,219999,219999,2e+05,215000,237450,249000,219900,218500,211950,214900,219900,218000,217450,237400,225000,242000,246500
"Hyannis","Barnstable","MA","Cape Cod","Barnstable",133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188450,186400,188900,207900,199000,193450,199000,224000,221500,219000,234000,225000,209900,199900,219900,199900,219900,216000,204900,189900,204900,219900,227450,225000,222950
"Montavilla","Portland","OR","Portland","Multnomah",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259925,259000,250000,249999,249999,249999,247950,246000,247950,289000,304900,289000,314950,299900,299950,314000,309000,302000,299000,314900,314495,319994.5,325000,325000,305000,327950,349900,328500
"Tribeca","New York","NY","New York","New York",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4025000,4125000,4200000,4315000,4350000,4332500,4200000,4137500,4137500,4225000,4200000,4175000,4112500,4137500,4350000,4350000,4230000,4307500,4175000,4162500,4210000,3861000,3987000,3780000,3775000,3815000,3861000,3675000,3599500,4010000,3847500,3800000,3920000,3945000,3947500
"Logan Circle","Washington","DC","Washington","District of Columbia",136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649900,674950,745000,769000,819925,754450,764450,769450,752450,759900,750000,797000,787450,799000,787400,894900
"Ala Moana-Kakaako","Honolulu","HI","Urban Honolulu","Honolulu",137,645000,608500,642000,649000,655000,644000,620000,618900,656000,655000,621950,606000,618900,597000,644000,628950,610000,631000,636500,643000,631000,638000,599999,585000,624500,599000,599000,593500,628888,599900,628000,623000,629194,668000,695000,635444,648000,648000,687000,715000,689000,649250,689536,698000,699800,707500,735000,797000,763500,799000,779000,749500,765000,658500,657000,675000,739000,795000,866500,881500,865000,840000,829500,888000,858000,866500,880000,852500,850000,847750,858800,889000,914000,871900,904000,910000,974500,974500,969000,975000,969000,972000,969000,996500,999444,990000,988000,945000,915000,899000,888000,930000,928000
"Kenmore","Akron","OH","Akron","Summit",138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29900,34900,35000,29900,35000,40950,47000,44900,49900,44900,39900,39900,37000,39900,42000,42500,44900,46681,42450,44900,39900,39900,46450,46450,46675,44900,44900,47000,47400,49000,48500,46000
"Spuyten Duyvil","New York","NY","New York","Bronx",139,,,,,,,,,,,,,,,,,,,,,,,,,,,430000,359000,349000,349000,339000,367000,327000,319000,320000,315000,320000,315000,315000,307500,299700,299900,299900,325000,315000,3e+05,299700,3e+05,319000,319000,319000,324949.5,309000,313500,305000,299450,299000,299000,297000,299000,285000,299000,309000,295000,289900,299000,289900,290000,284500,280000,290000,287500,309000,299000,329000,329999,349000,349000,339000,329499.5,329999,349450,339500,349000,329500,347000,349000,375000,359000,359000,375000,379000,365000
