"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Hunters Creek","Orlando","FL","Orlando","Orange",642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274900,279900,279000,285000,269900,266650,264900,269450,279450,279950,269900,278000,281000,284900,284900,279900,281450,279900,282995,290000,294949,291900,289000,299900,295000,299897,294450,310000,314900,313000,315000,315000,305000,308000,306725,307450,309900,313400,319900,319950,314900,325500,329900,336400,330000,340000,339450
"Thalia","Virginia Beach","VA","Virginia Beach","Virginia Beach City",643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000,259900,275000,269900,269900,269900,275000,272500,272500,254950,263700,266500,268750,289500,279500,255000,250000,241400,229000,228900,245550,243900,240000,259950,255000,262500,272500,290000,285000,252852,291500,272500,244900,270450,259900,269700,279900,294900,272500,272500,280000
"Highland, Stoner Hill","Shreveport","LA","Shreveport","Caddo",644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107500,112500,112500,115000,119000,119000,116450,109900,109900,113900,108500,103500,105900,102900,105950,99900,94000,95000,105000,99900,88250,89000,91200,88750,92750,99949.5,97000,95900,98900,95900,91000,91000,84900,84900,79900,79900,89500,89998,99900,104600,99900,99900,99900,113900,104900,109900,109950,112000,97000,104900,101750,99900,99000,99000,89900,88950,90000
"South Raleigh","Raleigh","NC","Raleigh","Wake",645,125000,130850,130000,134450,134450,131700,125000,125950,135000,129900,128222.5,125000,122900,113750,109990,108750,109995,116200,114900,109900,109250,106500,99900,99911.5,109900,109900,109900,1e+05,90000,1e+05,99990,99995,102950,103000,119900,119900,119900,121000,123450,123500,106990,105995,112450,114000,114450,113900,109950,109900,108240,109900,112500,120000,123990,128200,127900,128500,121495,126500,127750,127495,129900,141400,129900,129000,115500,129900,135000,136870,132450,146900,129900,129900,126000,127000,134900,136900,134950,139900,132000,145000,138900,149900,149292.5,146450,145900,145900,148685,154900,154292.5,155000,155948.5,155000,156891
"Del Rio","Jacksonville","FL","Jacksonville","Duval",646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177000,175655,175655,169990,171250,162000,164700,169445,162000,170745,171045,179900,181500,183830,182900,182110,183400,182900,187900,190000,185990,185000,185000,184900,189900,199900,197250,198750,209050,205495,203000,222500,219995,223700,224400,219995,219990,221000,248995,239945,239900,239900,242900,230000,234950,229900,232585
"Dentsville","Columbia","SC","Columbia","Richland",647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81390,79900,86500,83000,84900,89900,95000,95500,97500,109900,118450,119000,116999,110000,107450,99900,89900,84900,89950,89000,95000,91000,89000,93500,109900,1e+05,96000,91500,96975,99000,99000,110000,102450,110000,99450,97000,99000,94900,1e+05,97900,89900,97900,98615,105000,104500,98615,87900
"Villages of Woodland Springs","Fort Worth","TX","Dallas-Fort Worth","Tarrant",648,166791.5,169900,172485,170612.5,170795,169450,165000,168005.5,172430,169685,168805.5,165990,169700,170000,169700,165760,169500,175000,172945,174990,176166,178800,176166,175000,169995,173511,171000,173990,173995,171500,171500,169850,168700,170000,174995,174000,174995,176870,179700,185732.5,194995,192995,182900,191695,199900,195295,194672.5,197000,192500,197020,198995,202990,199900,202990,195500,197682.5,210000,211990,215000,215000,219450,204495,222155,219990,224949.5,225995,220000,219000,219900,217500,221247.5,219900,239900,239450,235000,235000,237000,245500,249900,249900,249949.5,239900,237400,239900,250000,250000,249950,249900,259900,259800,255000,254900,250000
"Great Northwest","San Antonio","TX","San Antonio","Bexar",649,110000,112450,112000,114450,115450,115900,116500,117000,118444,116000,112900,114425,113450,114450,110000,115000,118900,118250,118000,114900,109450,107500,106700,103886,104393,101000,103000,104900,104900,104900,104970,99999,99925,104000,107000,109900,113900,115950,119900,125000,125000,126000,127400,124900,118500,119500,118000,119900,124443.5,124888,129700,119900,131250,139700,134950,135000,134449.5,134900,137500,142050,128950,144200,143000,138000,139950,144950,139000,140000,140000,139900,139950,139000,149450,149900,155000,160000,152000,159900,156000,150000,149500,159497.5,171250,163900,159900,160500,154900,157450,163750,155500,159450,149927,164950
"East Islip","Town of Islip","NY","New York","Suffolk",650,434900,429000,429000,4e+05,421000,429000,424995,415495,419000,399061.5,389495,399123,399990,399999.5,429999,429000,429000,429000,429500,422449.5,425000,424999,415000,4e+05,399990,399000,399000,399000,389000,399000,399000,389000,385000,389000,412500,408750,419000,425000,419000,417000,414990,409000,419000,399900,409495,409000,409000,399999,419000,399999,428000,429000,429000,429000,429000,419000,429900,419000,399999,399990,414000,399000,389000,392499.5,419000,429990,429000,429000,429000,409500,399990,399495,404500,399000,399000,398995,399994.5,419000,419000,419000,409450,399000,399990,397250,395000,389000,369945,399000,399990,425000,429000,429949.5,439000
"North Central","Hollywood","FL","Miami-Fort Lauderdale","Broward",651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229500,215000,211500,226950,222450,214000,220000,232450,239000,250000,242000,229000,229900,239000,239900
