"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"East Elmhurst","New York","NY","New York","Queens",32,649000,649000,650000,650000,649000,649000,639500,629000,629000,629000,619000,599000,599000,599000,599000,599000,599900,599000,599000,599000,595000,595000,599000,599000,6e+05,599000,599000,599000,619000,599000,609000,599000,599000,599000,6e+05,604500,599000,599499.5,599999,622000,659000,659000,667000,650000,659000,670000,670000,697000,722222,729000,749999,749000,749999.5,749000,750000,750000,749000,739000,729000,739000,775000,779000,799000,849500,875000,875000,875000,875000,875000,880000,870000,850000,875000,899000,859000,850000,875000,875000,899000,929000,943500,949000,969000,969000,949000,949000,943500,949999,969000,993500,998000,1027000,989000
"Flatlands","New York","NY","New York","Kings",33,529000,529000,529000,5e+05,499900,5e+05,527000,519000,499000,499000,499000,499000,494500,494500,499000,499000,499000,499000,499000,499000,499000,520000,499000,509000,547000,569000,567000,567000,545000,539000,510000,510000,494499.5,497000,515000,520000,529000,529000,549000,540000,544500,514499.5,574000,579000,584000,579000,569000,579000,569000,572000,569000,572000,569000,572000,575000,575000,569000,559000,559499.5,549000,549000,534750,549000,549000,550000,575000,589000,599000,562000,589500,562000,615000,629000,649000,644000,649000,650000,675000,649500,650000,659000,645000,599000,599000,617500,649000,609500,649000,650000,649500,650000,649000,649500
"Ozone Park","New York","NY","New York","Queens",34,519000,507000,514000,499000,499000,499000,499000,499000,498000,489000,479000,472449.5,469999,479000,479000,469000,469000,469000,474950,469000,469000,469000,459000,459000,464000,469000,459000,459000,469000,469000,479000,459000,458500,459500,472000,484500,489000,494000,499000,499500,525000,520000,537000,549000,549000,549000,544000,549000,534495,549000,499000,499000,499000,513000,527000,539000,539000,539000,549000,549000,549000,550000,559000,569000,589000,598900,594000,599000,6e+05,625000,689000,689000,649999,649000,649999.5,650000,650000,669000,649000,649000,649000,650000,650000,654995,689000,699000,699000,699999,699000,699000,719000,744449,735000
"Park Slope","New York","NY","New York","Kings",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2675000,2700000,2687500,2949000,2995000,3e+06,3e+06,2995000,3195500,2822500,2790000,2800000,2897500,2875000,2937500,3e+06,3e+06,3100000,2925000,2999000,2999000,3e+06,3195000,3e+06,2995000,2900000,2925000,2895000,2825000,2825000,2825000,2825000,2795000,2800000,2820000,2800000,2850000,2825000,2900000
"Albany Park","Chicago","IL","Chicago","Cook",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359000,337500,329000,342000,339000,347500,375000,389999.5,382000,389499.5,391949.5,379900,399000,406000,407950,409950,414770,424000,429800,444000,439000,429000,434450,439000,439000,429000,439000,442450,447000,485000,470000
"Richmond Hill","New York","NY","New York","Queens",37,549000,529999,535900,520000,519000,510000,499450,499000,504950,499900,520000,515000,499990,499500,515000,499000,499000,499000,499000,499000,499000,499000,499000,499000,499000,489000,489000,489900,495000,499000,497000,489000,487000,465000,499000,525000,525000,512500,529500,539000,540000,559000,579000,594500,599000,599000,579000,569000,559500,569000,589000,589000,589000,599000,619000,629000,629000,639000,645000,645000,639000,645000,649000,643500,632000,635000,644000,664500,669000,675000,675000,672000,689000,699000,695000,695000,695000,724000,699000,709450,699000,699000,699000,727000,728000,729000,729500,729000,779000,782000,769500,749949.5,749950
"Bay Ridge","New York","NY","New York","Kings",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299500,1225000,1275000,1224000,1300000,1200000,1169000,1150000,1029000,1120000,1180000,1090000,1120000,1200000,1262500,1297000,1295000,1280000,1325000,1350000,1375000,1380000,1450000,1450000,1450000,1480000,1398000,1396500,1379000,1300000,1387499.5,1398000,1444000,1454000,1548000,1448000,1418000,1418000,1418000,1464500,1480000
"Kensington","New York","NY","New York","Kings",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595000,1595000,1595000,1595000,1547500,1499925,1499425,1499500,1499000,1474500,1394499.5,1399499.5,1450000
"Bath Beach","New York","NY","New York","Kings",40,794000,799000,799000,799000,779000,779000,762000,768000,749000,728000,728000,738000,699000,739000,734000,739000,729000,749000,778000,799500,799000,799000,829000,839000,839000,839000,740000,799000,729499.5,699000,717500,763500,749000,768000,808900,818000,854000,838500,759000,788000,767000,749000,858500,829000,899000,894500,778000,828000,888000,949000,914000,949000,914495,948500,874500,949500,925000,950000,998000,1080000,1080000,1049000,1125000,1094000,1150000,1115000,1115000,1150000,1088000,1150000,1190000,1195000,1200000,1199000,1230000,1220000,1200000,1200000,1199000,1198000,1199000,1219000,1298000,1298000,1313500,1398500,1389000,1368000,1358000,1400000,1474000,1439000,1450000
"Central City","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455000,450000,440000,440000,449950,449900,427500,448950,449950,428000,450000,465000,497450,485000,492500,490000,525000,535000,525000,525000,525000,529500,541500,536500
"Maspeth","New York","NY","New York","Queens",42,618000,625000,634000,639000,649000,643000,639000,629000,621500,602694,618500,629000,630000,628888,628944,599000,595000,609000,599000,599000,595000,599000,585000,580000,598000,590000,579000,589000,589000,599000,599000,599000,609500,623000,679000,649000,679000,677000,665000,659000,639000,599000,594500,589500,623500,649000,649000,649000,649000,699000,694000,699000,769000,769000,747000,747000,742000,750000,769000,799000,821500,799000,826500,849000,799000,799000,839000,799000,798000,789000,789000,797000,849000,899000,899000,932000,889000,899000,935000,950000,923999.5,949000,997000,988000,995000,980000,995000,965000,996500,1095000,1087500,1019499.5,1065000
"Englewood","Chicago","IL","Chicago","Cook",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000,69900,69900,69900,69900,70000,66625,62950,69900,77000,79900,79900
"Brighton Park","Chicago","IL","Chicago","Cook",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189450,179450,170000,168000,175000,172450,179950,185000,185000,184900,179450,174900,179900,195000,199000,191950,189466,189900,177500,175000
"Jefferson Park","Chicago","IL","Chicago","Cook",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375000,377000,384000,377450,389000,389250,385900,382900,399000,414900,414900,415000,427000,419000,424950,424450,419900,416950,431500,426950,449000,429000,409500,399450,399900,418000,424900,399900,399700,421400
"Coney Island","New York","NY","New York","Kings",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977000,879000,839500,849000,849000,849000,849000,824000,799000,824000,827706,854000,888000,908500,924000
"Coral Way","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396500,399500,399000,410000,417500,425000,399000,429000,427000,434000,427000,425000,439900,445000,445000,485000,475000,485000,534500,509950,520000,527949.5,529999,529999,525000,530450,545000,547500,545000,528950
"Woodhaven","New York","NY","New York","Queens",48,509499.5,509450,499994.5,499000,498350,490000,479000,489000,479000,469000,459900,469000,480000,477000,472000,459000,449000,449450,435000,429000,427000,429500,439000,439888,434999.5,440000,440000,443500,435000,440000,459500,450000,457500,484499.5,497000,499000,499999,499999,529000,499994.5,499999,499949.5,539000,548000,550000,572000,575000,532000,519000,519500,525000,529000,539000,540000,549000,594000,589000,597000,599000,599000,572000,599000,589000,599000,625000,629499.5,639000,639000,639000,639000,659000,650000,663950,679000,689500,689000,690000,679450,715000,692500,713500,730000,759500,749500,828000,799000,799000,818000,808500,774999.5,789000,808500,780000
"Dyker Heights","New York","NY","New York","Kings",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094000,1173500,1240000,1128000,1088000,1188000,1200000,1288000,1380000,1375000,1288000,1300000,1300000,1337500,1379000,1299000,1299000,1288500,1288000,1280000,1281500,1294500,1350000,1358000,1388500,1397000,1398000,1399000,1399500,1475000,1400000,1442500,1449500,1499000,1499000,1544000,1499000,1544000,1499500,1593000,1500000
"Wakefield","New York","NY","New York","Bronx",50,452000,425000,440250,442750,465000,459500,465000,475000,475000,458000,454000,449000,439000,434500,439000,430000,429000,429500,429500,437000,402499.5,405000,4e+05,399499.5,405000,427500,419000,437000,410000,409000,442000,465000,450000,450000,489000,484000,495000,484000,475000,472000,479000,499000,475000,499000,519000,499000,499499.5,489000,479000,479000,479000,479000,479000,479000,479000,479000,475000,479000,469000,479000,459000,459000,459000,459000,459000,485000,549000,529000,529000,529000,492499.5,499000,499000,525000,519000,519000,525000,525000,525000,529000,549000,569000,579000,579000,579000,579000,565000,549000,552500,549000,547000,515000,512500
"Cragin","Chicago","IL","Chicago","Cook",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292450,289900,298950,298950,315000,317000,309900,310500,325000,332400,319000,310000,304900,302425,299950,317450,319900,339000,349000
