"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Powers","Colorado Springs","CO","Colorado Springs","El Paso",49,290950,286250,279900,279900,279900,281705,285000,289900,289900,287000,284650,279650,275300,275250,275000,269900,269900,265450,269900,269900,274900,269900,263497.5,259947.5,263447.5,269950,271500,272000,270000,269900,275450,279900,268500,268500,284700,274450,269900,275000,275000,270500,270500,275000,276449.5,286200,290000,292199.5,289900,277450,295000,299900,298950,299974.5,299949.5,299949.5,299900,297900,294000,292450,289500,284900,284900,284995,294950,305000,299999.5,305000,299999,292872.5,295000,295000,299000,299000,306845,312000,337900,329000,329500,325000,324000,319900,318900,316949.5,319400,319400,325000,332000,338900,355000,344450,345400,337949.5,347400,340400
"North Center","Chicago","IL","Chicago","Cook",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350000,1312000,1325000,1424999.5,1295000,1350000,1299500,1277450,1227000,1194900,1199000,1199949.5,1279000,1150000
"Southwest Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso",51,650000,639500,624500,627000,6e+05,578728,592000,624500,612000,612000,612000,630000,604997.5,604997.5,585000,581864,609700,632000,627450,599500,607500,578728,575000,572950,607500,597450,625000,598000,6e+05,567500,598950,598950,649900,650000,692500,649950,747450,711875,686500,711500,677450,635000,659000,618500,615000,615000,616750,599995,615000,598000,599950,615000,625000,650000,654500,557000,550000,549000,561000,589500,617500,599000,625000,6e+05,6e+05,625000,624950,625000,627500,634500,672450,682500,699950,687250,650000,669500,699900,697000,699250,699000,699500,739000,779250,787250,752000,789000,777000,789000,795000,782000,784000,697000,699900
"South Corona","Corona","CA","Riverside","Riverside",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639950,710000,710000,729000,699900,624950,620000,699000,729000,696500,686500,680500,659950,664900,711750,713995,775000,659000,689000,694950,669950,769400,811950,774990,729000,729000,689000,737000,699900,774000,814450,799000,839450,782400,775000,760000,699900,724444,699990,749900,634000,650000,729450,719900,729450,744000,719000
"Bronzeville","Chicago","IL","Chicago","Cook",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397750,396800,334900,312950,312950,369000,370000,428950,397950,370000,398450,442500,454500,435000,399000
"La Jolla","San Diego","CA","San Diego","San Diego",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3844000,4350000,4495000,4695000,4550000,4500000,4500000,4549997.5,4499995,3999990,3999000,3996500,3880000,3975000,3998997.5,4270000,4270000,4347000,4395000,4519500,3999995,4047500,3499995,3695000,3972500,3850000,3700000,3749000
"Laurelton","New York","NY","New York","Queens",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699000,619000,699000,649000,589000,599000,649499.5,699000,674500,649999,707499.5,729000,729000,729000,749000,749999,729000,729000,7e+05,709500,699999,759000,769000,769000,759000,699000,759499.5,769000,769000,769000,769000
"South Chicago","Chicago","IL","Chicago","Cook",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,89450,89000,99900,99450,90000,90000,99000,94500,1e+05,105500,105500,110450,105000,109000,100450,105250
"Rosedale","New York","NY","New York","Queens",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550000,599000,629000,625000,669000,699000,699000,639000,639000,639000,652000,639499.5,634999,629000,644000,650000,684000,7e+05,7e+05,702500,705000,705000,759000,759000,759000,759000,734000,739000,729000,729000,729000,729000
"Ravenswood","Chicago","IL","Chicago","Cook",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937459,985000,949900,930000,905000,965000,867450,859900,892450,834499.5,827000,799000,799000,769900,794450
