"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Downtown","Stamford","CT","Stamford","Fairfield",98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1900,2000,1850,1872.5,2100,1850,1837.5,1850,1900,1850,1825,1900,2000,2000
"Turtle Bay","New York","NY","New York","New York",99,,,,,,,,,,3250,2999.5,3075,3000,2897.5,2900,2995,2925,2995,3100,3000,3200,3150,3125,3000,3000,3000,3000,3100,3125,3000,3095,3100,3200,3200,3050,3000,3000,3000,3095,3100,3050,3000,3200,3150,3300,3300,3300,3300,3400,3375,3400,3400,3400,3350,3300,3400,3362.5,3350,3375,3400,3350,3375,3300,3300,3350,3447.5,3400,3425,3300,3275,3200,3250,3300,3350,3300,3350,3300,3350,3250,3200,3200,3300,3150,3350,3350,3300,3400,3400,3350,3300,3362.5,3400
"Midtown","New York","NY","New York","New York",100,,,,,,,,,4150,3900,3850,3400,2800,3022.5,3262.5,3347.5,3600,3500,3500,3637.5,3612.5,3300,3460,3300,3500,3395,3372.5,3400,3450,3350,3350,3400,3495,3500,3400,3425,3400,3400,3446,3500,3500,3500,3450,3400,3650,4000,3900,3900,3900,3947,4000,3839.5,3900,3800,3839.5,3800,3916,3900,3900,4000,4000,4000,3900,4100,4200,4200,4000,4000,4000,3970,4100,4200,4200,4250,4200,4200,3900,3916,3900,3609.5,3800,3800,3599,3900,3800,3814.5,3950,4000,4000,4000,3695,3700
"Astrodome Area","Houston","TX","Houston","Harris",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1200,1177.5,1200,1200,1200,1200,1200,1275,1300,1300,1310,1292.5,1200,1275,1250,1200,1200,1162,1097.5,1195,1200,1200,1200,1200,1200,1200,1150,1150
"Desert Shores","Las Vegas","NV","Las Vegas","Clark",102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.5,967.5,884,872,971,978,885,950,981,948.5,959.5,953.5,991.5,966,918
"Charlestown","Boston","MA","Boston","Suffolk",103,,,,,,,,,,,,,,,,2525,2560,2532.5,2350,2515,2700,2875,2900,2942.5,2800,2800,2455,2600,2600,2500,2500,2600,2625,2800,2800,2899,2790,2700,2900,2800,2800,2925,2750,2775,2850,2699,2700,2962.5,2790,2700,2700,2650,2850,2850,2545,2500,2650,2600,2600,2550,2500,2550,2699,2700,2790,2600,2600,2650,2600,2500,2800,2800,2790,2790,2795,2699,2700,2900,2900,2800,2800,2950,3000,3000,3000,2900,2900,2850,2790,3000,3000,3000
"Metro West","Orlando","FL","Orlando","Orange",104,,,,,,,,,,,,775,800,850,872.5,800,850,850,895,850,895,850,825,850,850,899.5,925,895,885,895,950,900,900,895,862.5,900,900,895,909.5,900,895,900,900,925,925,900,900,900,900,912.5,900,937.5,950,950,975,950,925,950,975,980,985,1000,1037.5,1025,975,1000,1050,1100,1100,1112.5,1100,1100,1097,1062.5,1025,1000,1100,1100,1100,1150,1125,1100,1150,1100,1150,1195,1250,1200,1237.5,1250,1225,1200
"Midtown","Atlanta","GA","Atlanta","Fulton",105,,,,,,,,,,,,,,,,,,,,,,1800,1700,1650,1722.5,1650,1650,1637.5,1650,1650,1795,1600,1575,1797.5,1797.5,1825,1795,1850,1800,1800,1975,1977.5,1725,1950,2000,1925,1772.5,1675,1600,1700,1797.5,1750,1950,1775,1892.5,1797.5,1700,1797.5,1750,1980,2000,2000,2000,2000,2000,2195,1987.5,1965,1950,1950,1850,1825,1800,1895,1900,1900,1900,1795,1850,1965,2000,1900,1850,1775,1797.5,1850,1995,1995,1995,1995,1900,1862.5
"Tribeca","New York","NY","New York","New York",106,,,,,,,,,,,,,,,,,,,5595,6200,6200,5450,5041.5,5500,5500,4988,4995,4695,5195,5097.5,5295,5100,4969,4750,4950,4995,4995,5000,5150,5100,5295,5295,5000,5200,5400,5987.5,5695,5547.5,5595,5895,6000,5900,5987.5,5897.5,5997.5,5845,5795,5645,5895,6000,5722.5,6300,6184,6347.5,6000,6000,5897.5,5750,5595,5547.5,5500,5895,6000,5800,5725,5750,5500,5500,5800,5500,5595,5595,5447.5,6000,6000,6400,6400,6497.5,6400,6400,5997.5,5900
"Logan Circle","Washington","DC","Washington","District of Columbia",107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2600,2500,2700,2725,2445,2700,3000,2900,2769,2527.5,2950,3000,2825,2800,2950,2700,2800,2750,2795,2795,2750,2800,2910,3175,2875,2800,2700,2700,2750,2750,2750,2750,2800,2825,2850,2900,2900,2890,2900,2900,2890,2775,2900,2905,2850,2800,2750,2800,2950,2800,2900,2900,2850,2700,2750,2750,2750,2600,2900,2950,2920,2850,2850
