"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,0.874764002517306,0.764720709820528,0.80954518669251,0.846740050804403,0.841779279279279,0.852116547553601,0.841350210970464,0.849184782608696,0.834542815674891,0.799598618669656,0.822090349631433,0.892983699503898,0.767134930248916,0.766326361596724,0.771938367629976,0.760172715868918,0.79393843891165,0.847553566538883,0.854391818238445,0.825726141078838,0.825209913140739,0.795908183632735,0.819672131147541,0.837653332452824,0.832692307692308,0.820744068209127,0.79433684549866,0.790945993423264,0.858255810093532,0.860244763169441,0.884303610906411,0.862815884476534,0.910722621548369,0.873362445414847,0.891940193921355,0.908383283383283,0.871733292480715,0.889248181083266,0.895378690629012,0.939518496770405,1.00190839694656,1.01039260969977,1.01570366467627,1.02678571428571,0.990752972258917,0.939069693061105,0.930372148859544,0.932400932400932,0.997474803679171,1.02657528321946,1.00739365675645,0.985975742610211,0.988313944306996,0.935619004227099,1.01974183750949,1.06655290102389,1.0263203379028,1.04407007150052,1.04942528735632,1.04875414641672,1.07402721755542,1.06022052586938,1.19096509240246,1.1186796783323,1.10773240660295,1.05082358390968,1.06604513828725,1.13422802019293,1.14550477307567,1.04257167680278,1.12298195631529,1.10061369509044,1.10022990123631,1.15434083601286,1.17782152230971,1.24448967140106,1.29450242973773,1.31909755924339,1.25383133846215,1.19558359621451,1.21307072515667
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,0.774793388429752,0.772607764877617,0.760634363762876,0.743871704453421,0.744047619047619,0.740866035182679,0.749293119698398,0.731638418079096,0.728058510638298,0.735667462871872,0.752436714708056,0.747663551401869,0.740693681098449,0.741950045455117,0.739938080495356,0.739592559787422,0.738396624472574,0.736531986531986,0.728951932453617,0.734779566130161,0.747653103081899,0.754005655042413,0.754005655042413,0.756302521008403,0.764627659574468,0.756302521008403,0.747181856482058,0.747643905470183,0.752299605781866,0.753367003367003,0.749318801089918,0.749318801089918,0.751406865405516,0.750724637681159,0.744416873449132,0.75693913929208,0.755336698869632,0.760724980089615,0.766270118964311,0.766270118964311,0.766340721162007,0.766270340656844,0.777649769585253,0.761770130163345,0.749138471177945,0.768321513002364,0.773471926083866,0.786878024085594,0.798319327731092,0.803848541278709,0.808525033829499,0.800865229395169,0.7996632996633,0.799375028827084,0.798095834078312,0.81453634085213,0.824175824175824,0.831916763784116,0.832530507385999,0.818452380952381,0.811505366395263,0.834938985228003,0.814793244030285,0.831404320987654,0.808297556787136,0.798319327731092,0.831686706230523,0.84913073611667,0.840250034440005,0.833333333333333,0.84573748308525,0.846394984326019,0.879043600562588,0.874737578726382,0.875486381322957
"Upper West Side","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.104,5.35607420706164,5.52832512315271,5.41146947018294,5.24893424608881,5.26951743648332,5.31440073989446,5.19067693474618,5.36238380469511,5.3645134670964,5.37555228276878,5.33333333333333,5.30901856763926,5.23076923076923,5.26630760023938,5.07400144147768,5.29020979020979,5.39587852494577,5.479145392698,5.43052236337633,5.37882622318631,5.29967948717949,5.2485384155043,5.11764705882353,4.98208333333333,4.72857142857143,4.76028616749215,5.15942028985507,5.21071428571429,5,4.9,4.83333333333333,5.23611111111111,5.06000171015562,5.11037037037037,4.91256157635468,4.73608250782065,4.75120878653977,4.98333333333333,4.96666666666667
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,,,,,,,,,,,,,,,,1.85693586517197,1.8413597733711,1.79310344827586,1.89167120304845,1.93628235335065,1.91748983149332,1.88529022436853,1.81203833418237,1.78926441351889,1.82967398536261,1.8506682161534,1.75,1.73333333333333,1.73984976009631,1.78125771654529,1.82967398536261,1.72158187599364,1.72158187599364,1.82589320021682,1.78457688808007,1.7477366856399,1.82967398536261,1.92852336774955,1.8320133388912,1.8869998503026,1.9,1.89871794871795,1.88380281690141,1.8463225264925,1.90243902439024,1.85048353771459,1.86022203632667,1.90135812291501,1.95979899497487,2.05761316872428,1.96029165435018,1.9502353732347,1.94510035419126,1.99346405228758,1.96591691679985,2.05298013245033,1.94359823399558,1.9205298013245,2.02947592840498,2.09580838323353,2.04151177199504,2.07064297800338,2.08823529411765,2.0332564858441,2.05399061032864,2.22410454985479,2.37206823027719,2.28739332494725,2.17146080090243,2.17146080090243,2.17951669348751,2.26917057902973,2.30797912005966,2.45559759685726,2.48831775700935,2.12765957446809,2.40826712019346,2.27631578947368,2.38797319199843,2.35452542497286,2.24284306753979,2.34614076844611,2.39885183160197,2.29121871663229,2.46816479400749,2.43506493506493,2.4390243902439,2.44547275596191,2.35355648535565,2.421875
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",5,,,,,,,,,,,,,,,,0.694702766073727,0.683728036669213,0.689468404926681,0.687668772721959,0.673207036535859,0.67971023122776,0.669440599178579,0.677144718069599,0.670320404721754,0.679442508710801,0.688816855753647,0.695249130938586,0.686760778328882,0.676305970149254,0.676425635370986,0.670640834575261,0.670168577570257,0.667813587908405,0.667556742323097,0.674001924001924,0.676905186695552,0.675675675675676,0.668906536346976,0.669409124906507,0.667364807505221,0.675698560541914,0.675675675675676,0.672436874812299,0.664184691067562,0.66212578882986,0.668857754631058,0.665054413542926,0.67077239468876,0.66747572815534,0.666666666666667,0.666193927724647,0.664715719063545,0.687743360150296,0.693527080581242,0.678726640591047,0.676545300592718,0.684380032206119,0.677966101694915,0.687547746371276,0.685255920550038,0.686549171963821,0.674715909090909,0.678884001674012,0.702868852459016,0.706355699874697,0.703595052555274,0.704656862745098,0.692307692307692,0.687689217100982,0.692182410423453,0.707964601769911,0.719987220978374,0.701892258382643,0.734367781474962,0.72909085427706,0.712579617834395,0.735340729001585,0.725446428571429,0.725446428571429,0.724907063197026,0.731617647058823,0.745963970003586,0.765382719255357,0.776652075380652,0.791433891992551,0.775465955173594,0.782387807840785,0.792894935752079,0.807111111111111,0.796170163401942
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,0.721947194719472,0.74585635359116,0.722456351595424,0.721055901886485,0.745031727440053,0.73932789252469,0.726845451652897,0.7351890790904,0.742372881355932,0.74422621282677,0.736124794745484,0.724242424242424,0.730423832720284,0.724242424242424,0.72463768115942,0.724313979816231,0.72463768115942,0.728976234003656,0.720164609053498,0.721003134796238,0.720480320213476,0.72265625,0.723094170403587,0.719616669086685,0.717967599410898,0.71488645920942,0.719004495524304,0.728175891748806,0.730778689480987,0.727392977392977,0.731334149326805,0.729285428715766,0.725661966587556,0.73336262811976,0.728890854931514,0.723970944309927,0.726527570789866,0.731512220368398,0.73015873015873,0.732847299675176,0.742738589211618,0.74580484773151,0.747879193640709,0.74487895716946,0.735294117647059,0.729736070381232,0.73988272705409,0.744203440538519,0.740901213171577,0.745942571785268,0.755652070442646,0.772071054200797,0.77292817679558,0.774517679550675,0.766947055912914,0.765027322404372,0.76271186440678,0.753465943339361,0.765462339252909,0.783378746594005,0.783699059561129,0.812354817556378,0.817685807376904,0.8193315266486,0.816326530612245,0.820120284308365,0.816326530612245,0.82267059577578,0.820748522652659,0.811798147725076,0.798852929127407,0.805,0.816543104365204,0.808025626694558,0.837081459270365,0.862422997946612,0.861126298523784,0.870477603460005,0.87026792155763,0.861741180344292,0.851636037651277
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",7,,,,,,,,,,,0.904799370574351,0.796178343949045,0.835131885728246,0.829445308449974,0.868580060422961,0.910766961651917,0.90217619493566,0.913571428571429,0.874285714285714,0.879755434782609,0.873836940902618,0.878741366078281,0.855479452054794,0.874716981132076,0.881090008257638,0.909189980481457,0.927492447129909,0.920257234726688,0.927205450081267,0.930289641629848,0.884815883879334,0.867184761847266,0.902334152334152,0.950133680222521,0.932765151515151,0.960429305982534,0.979827267270411,0.983493810178817,0.966792452830189,0.958219178082192,0.944560218161097,0.920714285714286,0.920323071306887,0.960725075528701,0.992857142857143,0.981646592062588,1.01572024884249,1.00157944714116,1.00439422473321,0.998832849678891,0.975383186251742,0.990990990990991,1.00225225225225,1.00822122571001,1.03262288863155,0.980029585798817,1.00575746671465,1.00154083204931,1,1.00667419267284,0.980885311871227,0.989766081871345,0.995879120879121,0.967741935483871,0.983899821109123,0.980029585798817,0.997268178725862,1.03291139240506,1.04935298785326,1.08040201005025,1.06652046783626,1.0518102372035,1.03782287822878,1.05748373101952,1.01476014760148,1.04213663005467,1.04166666666667,1.06412502550364,1.04761904761905,1.03291139240506,1.06366473011878,1.07231742146063,1.08025897499582,1.10424469413233,1.10483042137718,1.10852000554771,1.12462908011869,1.12836723474437,1.11907730673317,1.09633350314376
"East Side","El Paso","TX","El Paso","El Paso",8,,,,,,,,,,,,,,0.755026420224079,0.77210621294148,0.749131910385687,0.756143667296786,0.748502994011976,0.770191507077435,0.778102664067576,0.776478232618584,0.773014757554462,0.761421319796954,0.768292682926829,0.791208791208791,0.783066032431238,0.784077201447527,0.776880049720323,0.787810055431636,0.781155503195568,0.76219512195122,0.742111312343271,0.73471908297865,0.738924183665963,0.743284062200882,0.741442674375692,0.739034342223784,0.750428816466552,0.754584780276167,0.757575757575758,0.749464668094218,0.742649866361207,0.735430157261795,0.738585496866607,0.738592684207228,0.735430157261795,0.733418367346939,0.734463244890066,0.733496332518337,0.755555555555556,0.745648461813875,0.747581354441513,0.74468085106383,0.766871165644172,0.752895752895753,0.745212323064113,0.739587913083187,0.727252201801264,0.744714331355885,0.749735383663955,0.753778361504492,0.746975627112613,0.755450067571446,0.743136502383035,0.747658145165571,0.755590534085975,0.770745977753964,0.755762633846469,0.761054421768708,0.756400310318076,0.745290423861853,0.744925112813861,0.764462809917355,0.752009872440682,0.746872387322338,0.763591936469151,0.734753857457752,0.730912589863001,0.722299812518965,0.719106808721885,0.773615635179153,0.74002574002574,0.742942050520059,0.732468864381966,0.745682888540031,0.752427184466019,0.719658383254985,0.73542600896861,0.735865256125392,0.736040609137056
"Southeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",9,,,,,,,,,,,0.693802035152636,0.74364673894041,0.684956482207271,0.6681767812289,0.651135805774981,0.660951327433628,0.638457686529795,0.653542041574601,0.706174591909155,0.710702341137124,0.686206896551724,0.707253962621244,0.714285714285714,0.715333822450477,0.729182879377432,0.728013977868375,0.710284642485145,0.710445468509985,0.7192618195063,0.738187776348431,0.707269155206287,0.726604013859802,0.713589384902334,0.707269155206287,0.707269155206287,0.699523876934031,0.721442885771543,0.727936484013856,0.697955890263583,0.703275529865125,0.715827338129496,0.708780789374974,0.704887256960058,0.700932953826692,0.675828774393729,0.692997685185185,0.716434300993125,0.727149952976485,0.725415046661426,0.745988728705424,0.742350670739562,0.733604218559802,0.741213663848423,0.74812030075188,0.742249748798017,0.76106258134251,0.753110674525213,0.752292151052655,0.777964676198486,0.745967741935484,0.728508445106806,0.749211356466877,0.722727272727273,0.737847222222222,0.712373279522689,0.744315320379935,0.78125,0.795107120210164,0.801809210526316,0.803865131578947,0.801809210526316,0.801809210526316,0.782414307004471,0.783582089552239,0.807916937053861,0.788261160500908,0.810703470475323,0.812291675562866,0.774754346182918,0.797966401414677,0.80842980184721,0.852998969616459,0.857339247394237,0.863715277777778,0.882407407407407,0.870799824366796,0.868680999418943,0.889756944444444,0.889756944444444,0.899122807017544
"North Scottsdale","Scottsdale","AZ","Phoenix","Maricopa",10,,,,,,,,,,,,,,1.24411647118805,1.16375545851528,1.07628270633357,1.07705053852527,1.07663628831814,1.08374785413368,0.98730414797463,0.98730414797463,1.0221465076661,0.996739358062369,1.01366901724795,0.994827391696751,1.02768409913439,1.00262597975216,0.971615720524017,1.01555061885116,0.996928501418565,1.00436681222707,0.944846292947559,0.975743903305753,0.997215592680986,0.998408910103421,1.01979456879597,1.02891310024776,1.0485602995218,1.02431124723916,1.02125919869174,1.05353075170843,1.06275902901125,1.11942075616179,1.09520123839009,1.08218125960061,1.09261940649837,1.09625934741142,1.111253237179,1.14296636085627,1.15089157060519,1.14260869565217,1.14427860696517,1.16943359375,1.17051969143048,1.10951008645533,1.10967184801382,1.18818380743982,1.10959096723457,1.16889312977099,1.23089288774721,1.24968890836254,1.17058550325113,1.17160578911096,1.14372855508959,1.16949940557065,1.17160578911096,1.16943359375,1.25187781672509,1.24417201285188,1.23957737564836,1.17717357910906,1.18590461378953,1.17434715821813,1.21360470238251,1.22998219220359,1.21157383317049,1.17160578911096,1.18869937361486,1.21919078460097,1.18602761982128,1.22664500406174,1.17160578911096,1.2548718768988,1.26740391396466,1.22756933115824,1.23194748358862,1.30234169827838,1.30203784570597,1.25238818372486,1.2253829321663
