"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,1395,1400,1395,1395,1375,1375,1350,1350,1350,1350,1350,1350,1395,1400,1400,1400,1400,1377.5,1396.5,1475,1497.5,1495,1450,1475,1445,1449.5,1450,1450,1450,1400,1400,1400,1450,1395,1450,1399,1375,1400,1450,1495,1450,1500,1495,1492.5,1500,1445,1450,1450,1400,1450,1515,1550,1530,1499,1497.5,1498,1500,1425,1550,1450,1595,1550,1550,1617.5,1650,1600,1600,1600,1650
"Upper West Side","New York","NY","New York","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6975,7500,6975,8125,9300,10250,9000,7800,7850,7850,7850,8997.5,7850,7650,6725,5625,6500,5687.5,6122.5,5800,6200,5800,6200,5975,6122.5,6950,6400,5800,5650,5800
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",3,,,,,,,1050,1000,975,1000,1000,1000,1000,950,977.5,1050,1067.5,1100,1100,1100,1095,1050,995,999.5,995,1085,1099.5,1097,1087,1050,1067.5,1060,1125,1150,1100,1100,1095,1095,1100,1100,1150,1150,1150,1137.5,1100,1100,1150,1150,1100,1125,1100,1100,1149,1200,1200,1192.5,1192.5,1175,1150,1150,1100,1150,1197.5,1195,1200,1177.5,1195,1195,1150,1200,1200,1175,1235,1200,1200,1275,1260,1260,1295,1300,1300
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",4,,,,,1437.5,1400,1495,1500,1495,1497.5,1495,1450,1450,1362.5,1350,1395,1395,1400,1395,1385,1362.5,1350,1300,1300,1350,1350,1362.5,1450,1475,1400,1392.5,1375,1395,1395,1395,1397.5,1395,1400,1400,1400,1450,1442.5,1400,1400,1450,1400,1400,1450,1495,1497.5,1450,1497,1490,1475,1495,1498.5,1450,1450,1495,1450,1495,1500,1550,1499.5,1550,1600,1550,1495,1497,1550,1500,1495,1495,1500,1600,1650,1600,1650,1650,1695,1650
"Washington Heights","New York","NY","New York","New York",5,,,,,,,,,,,,,,,2500,2600,2650,2695,2650,2750,2700,2650,2600,2695,2650,2750,2700,2700,2700,2672.5,2800,2800,2800,2750,2800,2750,2897.5,2900,2900,2950,3000,3095,3000,3000,2949.5,3100,2995,2995,3000,3000,3000,3000,3000,2999.5,3100,3195,3195,3050,3050,3000,3100,3150,3150,3250,3200,3150,3300,3250,3097.5,2999.5,3100,3040,3083,3083,3091.5,3108,3170,3295,3300,3400,3350
"Williamsburg","New York","NY","New York","Kings",6,,,,,,,,,,,,,,,,,,,,,,3999,3495,3495,3495,3600,4000,4000,4000,4000,4000,4200,4000,4000,4000,3800,3800,3800,3900,4000,4250,4397.5,4800,4800,4600,4550,4650,4500,4474.5,4474.5,4600,4795,4500,4775,4750,4750,4800,4200,4200,4250,4400,4500,4640,4995,4995,4750,4250,4650,4997,4899,4675,4475,4645,4444,4495,4620,4800,4850,4872.5,5000,4995
"Bedford Stuyvesant","New York","NY","New York","Kings",7,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3200,3200,3250,3300,3200,3200,3200,3200,3200,3100,3100,3100,3149,3200,3299.5,3395,3395,3350,3300,3300,3300,3200,3250,3200,3200,3200,3350,3499,3500,3450,3499,3400,3450,3400,3300,3330,3500,3600,3600,3665,3600,3800,3650,3395,3350,3499,3499,3499,3470,3475,3500,3580,3499
"Crown Heights","New York","NY","New York","Kings",8,,,,,,,,,,,,,,,,,,,,,,,,,2600,2600,2700,2850,3000,3200,3200,3299.5,3499.5,3299,3150,3000,3100,3199,3199,3199,3299,3500,3250,3297,3299,3800,3725,3474.5,3250,3350,3299,3399,3199,3300,3389,3397,3595,3800,3700,3499,3500,3500,3500,3599,3500,3500,3600,3650,3600,3784,3500,3700,3700,3649,3490,3498.5,3550,3692,3600,3550,3499
"Bushwick","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,2800,2800,2800,2800,2800,2499,2525,2700,2700,2500,2500,2650,2850,2850,3100,3099.5,3000,3199,3399.5,3599,3500,3450,3250,3300,3300,3399,3400,3599,3300,3300,3399,3400,3300,3200,3200,3375,3300,3272.5,3395,3499,3600,3599,3600,3599,3551,3597.5,3597.5,3500,3600,3600,3599,3595,3500,3500,3598,3700,3682.5,3600,3625,3399,3500,3545.5,3500,3600,3600,3681,3600
"Enterprise","Las Vegas","NV","Las Vegas","Clark",10,1500,1500,1500,1450,1549.5,1425,1395,1395,1450,1375,1350,1395,1395,1377.5,1395,1490,1400,1397.5,1395,1425,1395,1397.5,1400,1395,1350,1395,1395,1395,1450,1400,1395,1425,1437.5,1400,1395,1362.5,1350,1350,1395,1395,1450,1495,1495,1495,1512.5,1495,1495,1400,1450,1450,1457.5,1497,1450,1495,1525,1535,1500,1550,1595,1595,1595,1600,1650,1650,1550,1625,1495,1495,1462.5,1475,1595,1450,1562.5,1595,1600,1597.5,1600,1650,1650,1650,1650
