"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Lawrenceville","GA","Atlanta","Gwinnett",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284700,289900,292500,3e+05,309900,299949.5,290057.5,285000,280900,292950,288897.5,294515,287990,289950,288950,287172.5,3e+05,312990,306930,306965,300862.5,316490,310000,309900,314990,318990,319000,315900,313400,316900,321450,319900,313420,305160,309900,308900,307935,308870,310900,318420,331745,329990,328640,334900,331900,330627.5,327000
"Fayetteville","NC","Fayetteville","Cumberland",69,289000,314950,318000,315000,355000,320000,305900,342000,345500,339900,349685,339900,339400,327900,301900,324450,324900,324900,294900,289900,289900,284900,285000,284900,280000,285000,294900,292400,289900,284900,299000,288803.5,282900,279900,296853.5,295000,295000,282900,280889,276900,269900,269900,269900,274900,274900,274900,275000,268900,275000,275000,283900,280950,281400,283400,282000,281700,284400,282000,284400,284400,284900,280000,285200,287700,293950,296900,295000,295000,299900,299900,296450,299900,299900,297400,299900,299700,299150,298500,298800,298800,299900,303745,296445,293949.5,292900,295610,296220,299900,299900,297950,293900,299900,299900
"Springfield","MO","Springfield","Greene",70,299900,297000,289900,289900,289900,299900,299900,299900,299900,309900,327400,329900,329000,329900,314950,292900,282400,279900,299900,289900,280000,289900,299900,289900,297900,278000,289900,289900,299900,307450,289900,296700,299250,309900,324950,329500,329700,319900,320450,325000,317400,309900,309900,309900,309900,291400,275000,284900,307500,299950,299950,314900,303500,315000,315000,349900,339450,359900,349900,349900,349900,369900,369900,374900,369900,367000,349900,339900,340000,329950,339900,352400,359000,355000,349900,359900,349900,349250,344500,349900,349900,344900,338900,353997.5,364900,365000,379995,367950,374995,379450,379900,379450,360997.5
"Arlington","VA","Washington","Arlington",71,1281000,1249000,1150000,1050000,1139000,1149000,1125000,979000,952000,1067000,1082000,985750,993750,949950,995250,1039000,1095000,1172000,1197000,1172000,1199000,1199500,1175000,1200000,1150000,1154750,1144500,1199000,1199000,1199000,1110000,997499.5,1050000,1099500,1109000,1099000,1099000,1148900,1165250,1200000,1184000,1200000,1196500,1243750,1218250,1299000,1399000,1399000,1395000,1399800,1449500,1375000,1399950,1450000,1439000,1425000,1399900,1449499.5,1499000,1499000,1499999,1490000,1467000,1475000,1399900,1399900,1382000,1343718,1449000,1477450,1544449.5,1538900,1612400,1624900,1599450,1575000,1577000,1549000,1585000,1609450,1599000,1599000,1599000,1584450,1599000,1599900,1599000,1555000,1592000,1549450,1599000,1554750,1550000
"Irving","TX","Dallas-Fort Worth","Dallas",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566278.5,568990,481472,481472,471950,489900,473990,507498,483992,480336.5,472289,480000,481178.5,479990,487502.5,499949.5,507995,509495,539900,569612,538646.5,529990,535990,550303,550303,568074,551990,568074,585000,599999,599949.5,587900,629990,640000,6e+05,599237,599237,619790,621750,637438.5,650061,607490,615990,658315,625000,625000,621990,625490,636457.5
"Gilbert","AZ","Phoenix","Maricopa",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423168.5,419900,420990,414676,397577.5,417460,426990,422990,435000,415990,439495,444346.5,426990,395970,422990,414990,422990,419990,435990,430550,427990,429770,430990,432990,443392,445860,516990,557990,570490,576995,582990,576490,580990,566990,553332.5,560995,558990,551992.5,514990,542490,547490,585282,587946.5,553334,553990,553990,555990
"Scottsdale","AZ","Phoenix","Maricopa",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997500,2095000,2047500,1995000,1995000,1997500,2e+06,2335000,2385000,2399000,2295000,2050000,2295000,2295000,2075000,2249500,2124500,1995000
"Winston-Salem","NC","Winston-Salem","Forsyth",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379000,379450,379000,371950,393000,393000,354950,386900,387900,424000,414900,389900,396750,398500,395000,417900,399000,389000,427000,429450,402450,399200,439000,435000,429900,419900,422400,428000,428000,428500,449899,446000,445750,431125,459000,454000,454000,419000,458950,494450,557500,526950,499900,499000,499900,499900,489000,489900,499900,489900,488500
"Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695000,1555745,1698500,1829000,1849900,1675000,1600060,1628460,1598944,1655875,1640995,1649000,1658980,1672562.5,1675000,1731720,1696450,1779700,1792811.5,1773950,1743020,1713220,1734240,1651570,1700394,1750000,1788888,1798221,1709825,1739800,1718400,1798221,1923000,1890000,1948450,1890000,1894950,1884950,1893500,1989995,1925000,1847400,1913000,1937000,1988800,1886900,1899181.5
"Richmond","VA","Richmond","Richmond City",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649900,580000,589950,564950,580000,484000,486500,495000,506000,506000,502000,547000,551750,577200
