"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Stanford","CA","San Jose","Santa Clara",3332,8085,0.0216072782410917,0.0607452112306481,-0.0205935796486978,679
2017-09-30,"Coatesville","PA","Philadelphia","Chester",3333,1232,0.00571428571428571,0.0232558139534884,0.0165016501650165,2721
2017-09-30,"Clinton","SC","Greenville","Laurens",3334,990,0.00609756097560976,0.0344827586206897,0.0227272727272727,2751
2017-09-30,"Millbury","MA","Worcester","Worcester",3335,1742,-0.00171919770773639,-0.00286204922724671,0.0350564468211527,3685
2017-09-30,"Pinewood","FL","Miami-Fort Lauderdale","Miami-Dade",3336,1701,-0.000587544065804935,-0.00874125874125874,0,2509
2017-09-30,"Meadville","PA","Meadville","Crawford",3337,945,-0.00316455696202532,-0.0125391849529781,-0.050251256281407,2727
2017-09-30,"Half Moon Bay","CA","San Francisco","San Mateo",3338,4151,-0.00360057609217475,0.0244323790720632,0.00899368011667477,5271
2017-09-30,"Stroud Township","PA","East Stroudsburg","Monroe",3339,1365,0.0103626943005181,0.0133630289532294,0.0380228136882129,5003
2017-09-30,"Black Forest","CO","Colorado Springs","El Paso",3340,2459,0.000406834825061025,0.0102711585866886,0.070993031358885,5091
2017-09-30,"Boonville","IN","Evansville","Warrick",3341,984,0.00408163265306122,0.0102669404517454,-0.00505561172901921,5854
2017-09-30,"Grand Bay","AL","Mobile","Mobile",3342,1014,-0.00196850393700787,0.00197628458498024,0.058455114822547,4061
2017-09-30,"Bishop","CA",,"Inyo",3343,1979,0.00405885337392187,0.0180041152263374,0.0749592612710483,3553
2017-09-30,"Hughson","CA","Modesto","Stanislaus",3344,1580,0.00636942675159236,0.0279765777488614,0.0807113543091655,1872
2017-09-30,"Lower Moreland Township","PA","Philadelphia","Montgomery",3345,2414,0.000829187396351575,0.000829187396351575,-0.0214835832995541,4097
2017-09-30,"Larchmont","NY","New York","Westchester",3346,6612,-0.00361663652802893,-0.00616263339846686,-0.0229052756021871,4269
2017-09-30,"Rockport","TX","Corpus Christi","Aransas",3347,1528,-0.00326157860404436,-0.0129198966408269,-0.00391134289439374,9677
2017-09-30,"Vidalia","GA","Vidalia","Toombs",3348,1034,0,-0.00193050193050193,0.0402414486921529,3944
2017-09-30,"Miami Springs","FL","Miami-Fort Lauderdale","Miami-Dade",3349,2318,0,-0.00600343053173242,-0.0341666666666667,3745
2017-09-30,"Bedford","OH","Cleveland","Cuyahoga",3350,995,0.0101522842639594,0.0215605749486653,-0.0254652301665034,4085
2017-09-30,"Town of Dryden","NY","Ithaca","Tompkins",3351,1434,-0.000696864111498258,-0.00554785020804438,-0.0964083175803403,2880
2017-09-30,"Kingston","PA","Scranton","Luzerne",3352,1030,0.0258964143426295,0.079664570230608,0.033099297893681,3400
2017-09-30,"Berlin Township","NJ","Philadelphia","Camden",3353,1740,-0.00286532951289398,0.00230414746543779,0.0794044665012407,4519
2017-09-30,"New Kensington","PA","Pittsburgh","Westmoreland",3354,785,0.0208062418725618,0.0694822888283379,-0.01875,5144
2017-09-30,"Cahokia","IL","St. Louis","Saint Clair",3355,691,0.00290275761973875,0.00436046511627907,-0.0308555399719495,5307
