"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Ocean City","NJ","Ocean City","Cape May",645,524450,534450,549900,519000,509900,529900,529000,536700,529000,509900,504900,509900,509900,504949.5,479900,469000,475000,475000,499000,475000,479900,499000,499900,499000,499000,494900,492400,499900,479900,489000,474900,479000,469900,489900,499000,499000,499900,499900,499000,479900,479000,489900,475000,469900,479900,487900,486450,489000,495000,489900,479900,469900,464900,465000,460000,469000,479900,489000,499000,489900,489900,499000,495000,489000,479900,469450,479900,479900,486250,499000,499000,499900,495000,499990,509000,499000,499900,509000,525000,515000,509000,515000,519900,495000,499900,509000,499900,492450,485000,499000,519900,499700,499900
"Aldie","VA","Washington","Loudoun",646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315000,324990,324990,324995,321445,331122.5,319000,324135.5,324180.5,331203,322495,312499.5,309999,315000,309900,304945,310950,328990,319945,319900,324990,336990,325990,326990,331490,324745,319999.5,312990,329990,334990,329945,319250,313495,310000,312450,299900,310000,310000,321500,321500,325000,335000,335945
"Newport Coast","CA","Los Angeles-Long Beach-Anaheim","Orange",647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198500,1198000,1198800,1196900,1198000,1149944,1192400,1192400,1237500,1149500,1175000,1259500,1200000,1250000,1230000,1242500,1299000,1448888,1523444,1274900
"Silverthorne","CO","Breckenridge","Summit",648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242000,240000,242000,239000,239000,244250,244975,244000,245000,245000,255000,255000,255000,269000,275000,249900,265000,308500,295000,299950,289900,274000,255000,279000,283000,289450,289450,289900,296950,309000,296500,299000,299000,308000,297250,295000,295000,321000,322000,318500,335000,335000
"Huntington","VA","Washington","Fairfax",649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224950,259950,275000,290850,293350,299900,292500,299450,302450,310000,304950,289900,302000,310000,314500,324500,319000,315000,314950,305000
"Matawan","NJ","New York","Monmouth",650,213900,232400,238250,249900,229000,229000,228499.5,220000,223200,221500,219000,218950,217500,210000,204499.5,202000,204000,199000,194500,191995,188495,185992.5,160000,160000,164997.5,173997.5,190000,195000,199950,199000,189000,160000,187000,172499.5,169900,172449.5,199000,199450,202450,199000,2e+05,198900,188000,185000,188750,188700,175000,169700,169500,170000,182450,180000,184900,189900,215000,207000,196499.5,199000,193500,169900,169900,194500,189900,194200,204500,217500,217500,198700,215000,219000,225000,245000,245000,235000,229999,229450,220000,229000,219999,219500,221400,218900,212000,204000,187495,199900,199900,219000,225000,229900,239000,229950,211500
"Hayward","WI",,"Sawyer",651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164900,172450,175000,175000,172450,175000,177000,179000,178000,175000,194500,197200,202000,184750,169900,185000,197250,214900,214900,219900
"Willowbrook","IL","Chicago","Du Page",652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149750,151450,152450,157000,162500,155000,155000,160000,159000,157450,159500,159000,155000,152000,148500,145750,147950,147950,148800,148900,149900,152900,164900,165000,180900,189000,195000,185750,174900,174900,177450,172000,166950,164450,169000,160950,156900,163000,189900,184950,179000,179900,175000,177000,174900,194900,199947.5
"Hartsdale","NY","New York","Westchester",653,214450,224900,220000,224900,214500,220000,2e+05,209500,217000,199999,199999,210000,199000,192375,189000,175000,179000,179737.5,185000,199975,208999.5,195000,189000,179975,180000,180000,179000,184950,189000,189450,189900,185000,179700,194500,170000,184900,189000,175000,189975,196000,202447.5,189487.5,195000,190000,175500,159975,160900,165000,174200,179000,194000,199700,189000,191950,195000,189900,199500,199987.5,209000,209000,209000,185000,209750,210000,209250,199949.5,209700,204500,209900,209000,199000,209000,199487.5,199000,209000,199975,199000,199975,204950,199250,205000,204950,209499.5,214700,212450,205000,212000,211975,214000,225000,216500,192500,194750
"Middle Township","NJ","Ocean City","Cape May",654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354900,349900,377450,399900,399000,349900,318000,318000,329900,319000,359000,369900,359000,359000,324500,354450,339000,324500
"Bedminster","NJ","New York","Somerset",655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269500,268900,276500,273450,269900,274900,293750,290000,299900,294450,277000,279000,272400,269000,269000,265000,266700,272449.5,274900,277000,274950,274000,274450,272400,269900,274450,284894,279450,279450,284900,314900,306249.5,311250,289450,262499,275500,270999.5,287950,272000,272000,275999.5,267450,274499.5
"Palm Beach","FL","Miami-Fort Lauderdale","Palm Beach",656,599000,612500,599000,599000,599000,599000,595000,595000,595000,595000,595000,599000,599000,599000,599000,595000,599000,569000,549950,549900,549900,515000,487500,499000,507450,525000,549000,542000,499000,499000,499000,499000,539000,512500,515000,497500,499000,525000,499000,499000,499000,499000,5e+05,499000,464000,454500,459000,450000,475000,475000,497000,495000,499000,499000,495000,495000,492500,495000,515000,515000,525000,532000,549500,575000,560000,549000,572000,549500,575000,595000,575000,595000,629900,695000,685000,645000,660000,657500,639900,675000,695000,695000,7e+05,699000,682000,695000,695000,685000,682500,698000,695000,675000,677500
"Brigantine","NJ","Atlantic City","Atlantic",657,399000,399000,362450,350000,370000,344000,325000,299000,314500,299000,316950,299000,299000,289900,297500,285000,285000,289900,289000,264900,289500,289000,275000,250000,254500,275000,249950,245000,250000,262500,265000,259450,289000,289000,299000,324900,289000,249900,269000,249900,269000,269450,254950,259900,249000,239900,239000,239000,235000,234900,234950,233900,239000,246250,269900,259900,259900,259900,249900,244900,249900,252450,254900,250000,239450,239450,237900,250000,260000,239900,240000,239000,232000,239950,229900,239500,249900,249900,239900,229900,255450,265000,275000,274900,265000,264950,269000,274900,280000,280000,280000,279900,275000
"Chevy Chase","MD","Washington","Montgomery",658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499900,529000,509000,497000,499000,482500,519500,503000,449900,496000,482450,435000,435000,425000
"Fort Myers Beach","FL","Fort Myers","Lee",659,399000,399000,399900,399000,389000,379950,375000,369900,359900,359000,359000,359000,359000,359000,349900,349500,340000,349000,350000,349000,344900,339400,339000,339000,345000,339900,335000,339000,339000,334900,339000,339450,349000,349900,349900,349000,339900,349000,339000,339000,329900,329000,335000,330450,345900,342450,339900,349900,349000,349000,349000,349000,349900,349900,349450,352000,352000,369000,375000,379000,379900,379950,392450,394000,409000,419000,409000,409900,419000,424950,425000,425000,425000,429000,422400,424950,425000,404000,424900,429000,449900,452220,442450,439450,439000,429000,425000,423000,429450,429900,426500,434000,445000
"Kill Devil Hills","NC","Kill Devil Hills","Dare",660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259450,269000,277000,272500,289500,284450,275000,279900,279900,277500,290750,292500,317900,315450,329350,290000,290000,284900,298250,306500,317250,306500
"Eastchester","NY","New York","Westchester",661,254000,244000,269000,269000,282000,279000,326250,314999,279000,277200,277200,275000,279000,275000,289000,285000,282000,279500,279000,275000,259450,259000,256500,249500,259000,259000,248750,248500,255000,249000,248500,230000,230000,249000,249450,249000,259000,279000,265000,249000,249950,249000,270000,284000,279000,260000,242000,240000,237000,255000,239000,249000,279000,282450,280000,295000,299000,299000,250000,279500,299000,318500,307500,299000,294000,310000,320000,299900,269000,3e+05,280000,279000,289000,299000,289450,265000,287000,269500,312487.5,289000,297000,277200,277400,325000,325000,325000,325000,335000,299000,339000,299000,275000,259000
"Old Orchard Beach","ME","Portland","York",662,239900,244500,244700,249900,249900,249900,251400,252900,252900,252900,244900,249900,249900,249900,253900,252900,250000,249990,249900,249900,249900,249900,242445,249990,249900,247400,249000,249000,244000,239000,229000,229000,229000,227000,235000,228000,239900,220000,219900,225500,238000,225000,219900,222900,224900,226200,229000,224900,225950,224900,225000,224900,219900,212900,211450,211450,218450,209900,210000,205000,205000,205000,205000,2e+05,205000,205000,205000,229000,229450,225000,219500,215000,229900,236200,249950,255000,245950,252500,239900,244950,254950,234000,224500,219000,239900,239900,250000,272450,274900,279900,279900,279900,279900
"Celebration","FL","Orlando","Osceola",663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232400,229000,219450,219900,229044,225000,239000,229200,235000,235000,264450,259900,239900,225000,230900,230000,249900,237000,235000,235000,249999.5,249999,235500,234000,239000,238500,238000,236900,229900,234999,234999,245000,241999.5,244450,239999,232450,246000,242495,246750,239995,238700,239500,237300,235000,235450,235000,239990,239000,239900,239800,244900,250000,257500
"Wells","ME","Portland","York",664,264500,221950,223900,248750,219300,239750,236500,234900,219400,199900,204900,199000,199000,185000,193500,213450,199450,197800,199900,199900,189900,179900,178750,176750,179900,179900,170950,169900,172000,169900,175000,175000,176000,175000,173750,173750,174750,174500,175000,174500,169900,162500,174700,169900,172500,173400,169900,171200,169900,172900,175700,172700,174900,176500,175700,176950,177400,179000,179900,179987.5,179900,179900,179900,179450,175000,174900,179000,179000,184900,184900,187250,185000,197450,189900,201150,189900,189000,190000,189999,189949.5,189999,187950,190249.5,198200,210000,190500,189999,187900,187900,179900,179900,182000,184500
"Burnsville","NC",,"Yancey",665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,367500,370000,359000,367000,370000,365000,382450,382449.5,362000,360000,360000,349000,360000,359000,359500,359000,349000,349000
"North Bay Village","FL","Miami-Fort Lauderdale","Miami-Dade",666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275000,265900,265000,275000,263000,253500,256000,260400,259900,269000,287850,275000,285000,270000,265000,259000,255000,265000,267000,270000,267000,299000,277000,279900,294063.5,304750,3e+05,319000,322500,327000,329900,320000,329900,320000,329000,309450,299900,315000,310000,315000,312000,309000,315000,319950,335000,322250,321500
"Dent","OH","Cincinnati","Hamilton",667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,133497.5,123400,121400,120950,122000,116400,115650,122400,109900,110000,109900,107875,109900,109900,107000,109900,110000
"Estes Park","CO","Fort Collins","Larimer",668,249900,261000,269700,279000,273000,269900,269900,269900,259200,262000,239900,239900,239900,239900,239900,235000,260950,263000,263000,263000,259900,269950,258000,262450,258900,256450,255000,254950,254900,245000,241000,241500,241000,241000,241000,239000,239000,244000,249500,239000,242000,242450,236950,239000,245000,239000,234900,254950,262000,264450,249900,264950,264950,265000,267500,265000,269000,275000,265000,269000,263700,267000,265000,269900,272500,272500,272500,274700,271750,251750,258000,260000,277450,280900,290900,304950,312200,315000,320000,329000,320000,315000,329000,334000,367450,359900,362450,370000,379500,369500,359000,359900,379500
"Niantic","CT","New London","New London",669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251450,270000,275000,277000,275000,302000,299900,284950,269000,259950,263000,259950,269500,252000,250000,265000,249900,274900,274900,274900,274900,274900,274900,274900,274900,274900,279000,284900,279000,274900,279000,279900,284900,289000,299000,319000,299000,321000,319000,299000,319000,312000,299999,299000
"Lake Geneva","WI","Whitewater","Walworth",670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194900,182450,184900,159700,179000,181950,170000,179000,179000,179900,195000,213500,225000,254500,218000,202250,199500,180000,189999,199500,197000,209000,2e+05,211950,195000,195000,188750,182450,184500,185000,192500,195000
"Indian Wells","CA","Riverside","Riverside",671,539000,545750,542500,497000,499000,479500,459000,470000,445000,459900,459450,459000,459000,449000,449500,459950,469000,464000,449500,432000,404900,399000,399000,399000,429900,427000,419500,410000,435000,435000,429000,435000,435000,435000,459900,459000,459900,458150,456650,455000,437000,439000,449000,475000,489900,489900,499000,479000,479000,479000,465000,465000,499900,469000,495000,471950,521950,509900,519000,503000,499000,497000,465000,469500,474899,479000,479000,462000,459000,479000,496000,499450,504950,490000,495000,497000,497000,499000,495000,489000,469000,482500,475000,475000,474990,469900,476000,482000,499000,518250,534999,536000,525000
"Santa Rosa Beach","FL","Crestview-Fort Walton Beach-Destin","Walton",672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409900,390000,399000,399000,430000,469950,425000,437000,445900,450000,449000,452500,449450,450000,449000,489000,459000,495000,479000,484950,490000,490000,495000,536900,490000,442000,447000,499000,499000,529000,542000,549000,593750,592500,579900,595000,552450,549755,537000,534900,524950,579000,549950,607449.5,582450,616999.5,599900,644900
