"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"New York","NY","New York","Queens",0,2374,-0.000421052631578947,0.00508044030482642,0.00593220338983051,1175225
2017-09-30,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,2556,0.00196001568012544,0.0114760585674713,0.0441176470588235,249979
2017-09-30,"Chicago","IL","Chicago","Cook",2,1711,0.00234329232571763,0.018452380952381,-0.0115540150202195,445495
2017-09-30,"Houston","TX","Houston","Harris",3,1272,-0.000785545954438335,-0.00391542678151919,-0.0326996197718631,85474
2017-09-30,"Philadelphia","PA","Philadelphia","Philadelphia",4,1167,0.00430292598967298,0.011265164644714,0.00690250215703192,391824
2017-09-30,"Phoenix","AZ","Phoenix","Maricopa",5,1154,0.00698080279232112,0.0158450704225352,0.0303571428571429,80711
2017-09-30,"San Antonio","TX","San Antonio","Bexar",6,1106,0.00636942675159236,0.0100456621004566,0.0404515522107244,17096
2017-09-30,"San Diego","CA","San Diego","San Diego",7,2268,0.0057649667405765,0.0161290322580645,0.0568499534016775,141179
2017-09-30,"Dallas","TX","Dallas-Fort Worth","Dallas",8,1409,0.000710227272727273,0.00356125356125356,0.0224963715529753,61422
2017-09-30,"San Jose","CA","San Jose","Santa Clara",9,2943,0.00170183798502383,0.00718685831622177,0.0141281874569263,55352
2017-09-30,"Jacksonville","FL","Jacksonville","Duval",10,1078,0.00465983224603914,0.0208333333333333,0.0395371263259402,32243
2017-09-30,"San Francisco","CA","San Francisco","San Francisco",11,4478,0.000446827524575514,0.00111781801922647,-0.0347057555507653,84971
2017-09-30,"Indianapolis","IN","Indianapolis","Marion",12,923,0.00654307524536532,0.0266963292547275,0.05125284738041,36048
2017-09-30,"Austin","TX","Austin","Travis",13,1568,-0.00254452926208651,0.00127713920817369,-0.00190961171228517,54250
2017-09-30,"Fort Worth","TX","Dallas-Fort Worth","Tarrant",14,1242,0.00893582453290008,0.0239076669414674,0.065180102915952,12920
2017-09-30,"Detroit","MI","Detroit","Wayne",15,879,0.0150115473441109,0.0402366863905325,0.066747572815534,10263
2017-09-30,"Columbus","OH","Columbus","Franklin",16,1032,0,0.022794846382557,0.0487804878048781,76857
2017-09-30,"Memphis","TN","Memphis","Shelby",17,915,0,0.0066006600660066,-0.00543478260869565,28357
2017-09-30,"Charlotte","NC","Charlotte","Mecklenburg",18,1227,0.00491400491400491,0.0132122213047069,0.0363175675675676,56198
2017-09-30,"El Paso","TX","El Paso","El Paso",19,891,-0.00223964165733483,-0.00335570469798658,-0.0419354838709678,11353
2017-09-30,"Boston","MA","Boston","Suffolk",20,2528,0.00118811881188119,-0.00394011032308905,0.0243111831442464,147425
2017-09-30,"Seattle","WA","Seattle","King",21,2221,0.000901306894997747,0.006343452650657,0.0354312354312354,73328
2017-09-30,"Baltimore","MD","Baltimore","Baltimore City",22,1275,0.00472813238770686,0.0103011093502377,-0.0333586050037908,24318
2017-09-30,"Denver","CO","Denver","Denver",23,1748,0.000572409845449342,0.00749279538904899,0.00865551067512983,68466
2017-09-30,"Washington","DC","Washington","District of Columbia",24,2604,-0.00115074798619102,0.00115340253748558,0.0308788598574822,126128
2017-09-30,"Nashville","TN","Nashville","Davidson",25,1446,0.000692041522491349,0.00277392510402219,0.0133146461107218,48981
2017-09-30,"Milwaukee","WI","Milwaukee","Milwaukee",26,776,0,-0.0102040816326531,-0.0238993710691824,60308
2017-09-30,"Tucson","AZ","Tucson","Pima",27,978,0.00824742268041237,0.0338266384778013,0.0700218818380744,39371
2017-09-30,"Portland","OR","Portland","Multnomah",28,1575,0,0.00446428571428571,-0.0180798004987531,43762
2017-09-30,"Oklahoma City","OK","Oklahoma City","Oklahoma",29,798,0,-0.00374531835205993,-0.00498753117206983,6839
2017-09-30,"Omaha","NE","Omaha","Douglas",30,1108,0.00544464609800363,0.0259259259259259,0.0183823529411765,13174
2017-09-30,"Albuquerque","NM","Albuquerque","Bernalillo",31,990,0.00814663951120163,-0.00100908173562059,-0.0227048371174729,6053
2017-09-30,"Fresno","CA","Fresno","Fresno",32,976,0.0113989637305699,0.0177267987486966,0.0784530386740332,13718
2017-09-30,"Sacramento","CA","Sacramento","Sacramento",33,1515,0.0120240480961924,0.0383824537354352,0.103423160961398,18989
2017-09-30,"Mesa","AZ","Phoenix","Maricopa",34,1143,0.00793650793650794,0.0205357142857143,0.0269541778975741,29739
2017-09-30,"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",35,2167,-0.000461254612546125,0.00324074074074074,0.0664370078740158,42656
2017-09-30,"Kansas City","MO","Kansas City","Jackson",36,1032,0.00291545189504373,0.0127576054955839,0.0147492625368732,20561
2017-09-30,"Virginia Beach","VA","Virginia Beach","Virginia Beach City",37,1248,0.00240963855421687,0.000801924619085806,0.00160513643659711,54149
2017-09-30,"Colorado Springs","CO","Colorado Springs","El Paso",38,1161,0.00519480519480519,0.0130890052356021,0.0459459459459459,13650
2017-09-30,"Atlanta","GA","Atlanta","Fulton",39,1640,0.00428658909981629,0.019266625233064,0.0519563822963438,53374
2017-09-30,"Miami","FL","Miami-Fort Lauderdale","Miami-Dade",40,1974,-0.00202224469160768,-0.013,-0.0679886685552408,100984
2017-09-30,"Oakland","CA","San Francisco","Alameda",41,2796,0.00250986016493367,0.00756756756756757,0.0230515916575192,33404
2017-09-30,"Tulsa","OK","Tulsa","Tulsa",42,844,0.00118623962040332,0.00595947556615018,-0.0082256169212691,11309
2017-09-30,"Cleveland","OH","Cleveland","Cuyahoga",43,776,0.00779220779220779,0.0157068062827225,0.0543478260869565,33668
2017-09-30,"Honolulu","HI","Urban Honolulu","Honolulu",44,2034,-0.000491400491400491,-0.000491400491400491,-0.00489236790606654,76176
2017-09-30,"Minneapolis","MN","Minneapolis-St Paul","Hennepin",45,1490,0,0.00134408602150538,0.0311418685121107,42451
2017-09-30,"Baton Rouge","LA","Baton Rouge","East Baton Rouge",46,1144,-0.00608166811468288,-0.0120898100172712,0.0691588785046729,10678
2017-09-30,"New Orleans","LA","New Orleans","Orleans",47,1512,-0.0188189487345879,-0.0301475304682489,0.00531914893617021,29590
2017-09-30,"Arlington","TX","Dallas-Fort Worth","Tarrant",48,1166,0.0147954743255004,0.0373665480427046,0.11047619047619,7299
2017-09-30,"Raleigh","NC","Raleigh","Wake",49,1195,-0.000836120401337793,-0.00582362728785358,0.0075885328836425,16898
2017-09-30,"Wichita","KS","Wichita","Sedgwick",50,724,0.00835654596100279,0.0342857142857143,0.0507982583454282,10530
2017-09-30,"Tampa","FL","Tampa","Hillsborough",51,1296,0,0.00465116279069767,0.0109204368174727,33616
2017-09-30,"Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange",52,2356,0.00340715502555366,0.00813008130081301,0.0306211723534558,14905
2017-09-30,"Santa Ana","CA","Los Angeles-Long Beach-Anaheim","Orange",53,2134,0.00946073793755913,0.0210526315789474,0.0419921875,14690
2017-09-30,"Aurora","CO","Denver","Arapahoe",54,1510,0.00801068090787717,0.023728813559322,0.0493398193189715,33300
2017-09-30,"Saint Louis","MO","St. Louis","Saint Louis City",55,853,0.00589622641509434,0.00946745562130178,0.0415140415140415,37950
2017-09-30,"Corpus Christi","TX","Corpus Christi","Nueces",56,1292,-0.00996168582375479,-0.00996168582375479,-0.0513950073421439,9152
2017-09-30,"Cincinnati","OH","Cincinnati","Hamilton",57,1094,0.0101569713758079,0.0311027332704995,0.0972918756268806,25876
2017-09-30,"Pittsburgh","PA","Pittsburgh","Allegheny",58,1145,0,0.00526777875329236,0.0035056967572305,39561
2017-09-30,"Riverside","CA","Riverside","Riverside",59,1556,0.00711974110032363,0.0243581303489138,0.0723638869745003,7228
2017-09-30,"Marietta","GA","Atlanta","Cobb",60,1247,0.00321802091713596,0.0154723127035831,0.0331400165700083,11673
2017-09-30,"Anchorage","AK","Anchorage","Anchorage",61,1534,-0.00130208333333333,-0.00195185426154847,-0.0495662949194548,28199
2017-09-30,"Bakersfield","CA","Bakersfield","Kern",62,960,0.00104275286757039,0.0115911485774499,0.0750279955207167,10361
2017-09-30,"Saint Paul","MN","Minneapolis-St Paul","Ramsey",63,1266,0.00796178343949045,0.0185036202735318,0.0251012145748988,18356
