"RegionName","State","Metro","CountyName","SizeRank","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Chicago","IL","Chicago","Cook",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21428571428571,1.04444444444444,1.14541666666667,1.10912698412698,1.01851851851852,1.05555555555556,1.04364471669219,1.04265569167943,0.96547619047619,1.04761904761905,1.17424242424242,1.18269159295324,1.14333333333333,1.18356500408831,1.19712689545092,1.09869684499314,1.05380952380952,1.08803165182987,1.06623931623932,1.11769230769231,1.06666666666667,1.00638485248789,0.978541666666667,1.15384615384615,1.21296296296296,1.27350427350427,1.07759661835749,1,1.08486302712522,0.939285714285714,1.03534407188253,1.03337647928994,1.0590015128593,1.04272727272727,1.09636904761905,1.17708333333333,1.2475,1.26923076923077,1.2902380952381,1.13565305093293
"Houston","TX","Houston","Harris",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11576011157601,1.00024069387776,0.903420090342009,0.878541620909291,0.881191127316925,0.872760679834635,0.859236795552186,0.835866261398176,0.862629642085406,0.914351851851852,1.06805004577357,1.16645649432535,1.05844815743878,1.01063829787234,0.933179723502304,0.987396028456902,1.04536901526239,1.05543318649046,1.00502512562814,1.04788103025484,1.02789198799867,0.968603874415498,0.931571815718157,0.984126984126984,1.02789198799867,0.984126984126984,1.03451767443177,0.99113197704747,0.91776798825257,0.897493453049009,0.95432861096196,0.941176470588235,0.886277001270648,0.93603744149766,0.96107544141252,0.978135788262371,0.944584382871537,0.954545454545455,0.982670342654588
"Las Vegas","NV","Las Vegas","Clark",3,0.634602538410154,0.650195058517555,0.707371556217424,0.678066037735849,0.664130548126702,0.634280957996017,0.62358694099005,0.650195058517555,0.668279970215934,0.658462319208323,0.654481260184682,0.661800136007183,0.671140939597315,0.653440116490717,0.65206210815047,0.632538982053545,0.648625279992572,0.645161290322581,0.632538982053545,0.632538982053545,0.625,0.617113213451771,0.625,0.619557901634368,0.614854894244958,0.624789940531246,0.606616285100393,0.605693741286962,0.618023976849938,0.61544010785241,0.605982465188241,0.610719322990127,0.620229599751784,0.619750062791198,0.61340507865784,0.613584474885845,0.620679757357352,0.621518267789778,0.620389000670691,0.616666666666667,0.621347876899104,0.627282248973998,0.625702698361709,0.622100471606379,0.629175946547884,0.634132062383672,0.630366018978762,0.637636080870918,0.629058441558442,0.642683912691997,0.627615062761506,0.616569009096684,0.61613144137416,0.621876804167852,0.618631439117445,0.636941741732517,0.639039504260263,0.62396006655574,0.637850817949872,0.647032574743418,0.650557620817844,0.648923936257598,0.636566687938736,0.637645855888368,0.648999459167117,0.654606893281082,0.662576687116564,0.670307845084409,0.669171672589099,0.686114216285765,0.690715482172769,0.664081733136386,0.686641697877653,0.658761528326746,0.664346725719709,0.661559773026949,0.649828735799462,0.667627406281049,0.662576687116564,0.690393804580656,0.702263463786334,0.71396697902722,0.707825403067243,0.708051701090948,0.70694087403599,0.707748380153685
"San Antonio","TX","San Antonio","Bexar",4,,,,,,,,,,0.630008231968199,0.628708296387505,0.614720394736842,0.618560821069045,0.617474529175671,0.664355863662623,0.579375276111015,0.541292916795546,0.56195212867637,0.596103896103896,0.650310375406444,0.625063782169947,0.613604488078541,0.60894014098855,0.607638888888889,0.594771137952956,0.582072176949942,0.580764770645514,0.657894736842105,0.616016427104723,0.58077485380117,0.619033676689631,0.60313630880579,0.614800450995284,0.653223516046578,0.655091917128684,0.659481667858542,0.625197195319147,0.620673841262077,0.608613168484392,0.610768531383928,0.613584474885845,0.605581885202738,0.595077089532053,0.595077089532053,0.595157592385074,0.614906364353878,0.623700623700624,0.645989402305164,0.638783284738152,0.614478551736677,0.6004828002414,0.6004828002414,0.618058043711931,0.620300319365795,0.625,0.641683778234086,0.646657754010695,0.645259183931545,0.630534194965864,0.610463359562845,0.607734806629834,0.599880931511508,0.596802108077925,0.594325153374233,0.608695652173913,0.653972915629866,0.643441606744359,0.653450559156173,0.630191922085362,0.60195344053608,0.675912921348315,0.668147955146392,0.637117634448079,0.670448713523107,0.603424080830761,0.657451112609575,0.605579443730297,0.657283434194511,0.671021377672209,0.661914460285132,0.66735112936345,0.671475352248381,0.672897196261682,0.68924773532887,0.695047784535187,0.659722222222222
"San Diego","CA","San Diego","San Diego",5,,,,,,1.26705598911358,1.4030612244898,1.44194756554307,1.4625992478061,1.42927315747858,1.46430750457596,1.39623620275866,1.3582966226138,1.3625463265751,1.32438199232955,1.3625463265751,1.29697090465124,1.28910278446201,1.30205632968986,1.2987012987013,1.27203347831233,1.27050498552589,1.30689774555344,1.26442143527816,1.19876876971705,1.21984649122807,1.20677886023832,1.17205813408345,1.24851367419738,1.2656199935918,1.2656199935918,1.30754924486536,1.31229550215787,1.27458269057576,1.34303142373498,1.36425648021828,1.35577233150597,1.35163674762408,1.29451458913191,1.27272727272727,1.31361128142244,1.36561199994036,1.31361128142244,1.31930564071122,1.3275,1.44782015370251,1.36160570197394,1.45339191604673,1.43549331085732,1.42838216367628,1.42712492044205,1.35396518375242,1.41342756183746,1.47590598650355,1.44956850053937,1.42857142857143,1.49843062287521,1.42857142857143,1.4601779280743,1.37202924525078,1.4406779661017,1.38147314248955,1.37512829321255,1.43391521197007,1.37979325479325,1.41358275700732,1.42126726284208,1.37992253066495,1.40380312893914,1.42857142857143,1.48674854557208,1.42568477772789,1.43240823634736,1.4406779661017,1.27551020408163,1.43107450052337,1.61849100174422,1.63824204657265,1.71911592505855,1.62589143520733,1.56780768225764,1.62451541443603,1.70648464163823,1.61441499676794,1.61432345171705,1.55860349127182
"Seattle","WA","Seattle","King",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95943030568963,0.977756892230576,1.09362557732123,1.13372093023256,1.2,1.24242424242424,1.3449342311306,1.18942731277533,1.36641355727648,1.34796238244514,1.29930206135368,1.21727272727273
"Virginia Beach","VA","Virginia Beach","Virginia Beach City",7,,,,,,,,,,,,,,,,,,,,,0.844191323660778,0.841939829366861,0.783762057877814,0.753465943339361,0.745971860151002,0.758620689655172,0.73587907716786,0.763474021672893,0.741877053210408,0.757314974182444,0.758286207853639,0.790445490817344,0.798703335998006,0.839105660864662,0.833681571249478,0.818394388152767,0.770252196339973,0.749531032499886,0.740459428604603,0.747330610379995,0.748044328552803,0.730586915784324,0.755352092739757,0.776588845654994,0.804809774075329,0.811148317550265,0.811979472323848,0.790067720090293,0.77638700947226,0.760104898367776,0.769617706237425,0.739882153147878,0.73627205719803,0.75955391655842,0.715578392986122,0.784817601635444,0.820647759568954,0.776337196644736,0.798638911128903,0.752908520259022,0.740242261103634,0.730241023745647,0.728945469294075,0.72289156626506,0.728862973760933,0.739644970414201,0.754696243005595,0.795856493178373,0.805769197908399,0.756593169044531,0.80030487804878,0.787020752725994,0.792092799061112,0.803503603726028,0.776211227053314,0.756143667296786,0.791666666666667,0.80520909757887,0.761151892933243,0.783349266225713,0.799793601651187,0.833037929812123,0.833754421424962,0.83592534992224,0.822996881381948,0.821195503153277
"Colorado Springs","CO","Colorado Springs","El Paso",8,,,,,,,,,0.824810293632464,0.83984375,0.910194174757282,0.828571428571429,0.84113475177305,0.879854368932039,0.822482271220079,0.815436869357598,0.827642715143761,0.868860055607044,0.897892742416373,0.785627885161322,0.853350189633375,0.832801868747345,0.800321199143469,0.829002079002079,0.809435707678076,0.814615627965834,0.824810293632464,0.835117773019272,0.805555555555556,0.825938981402698,0.797663777754504,0.803931451612903,0.827087794432548,0.831987075928918,0.833660451422964,0.839524517087667,0.818881463839496,0.837277029486713,0.797657512116317,0.814342524440725,0.851156700130947,0.868561764330468,0.864779874213837,0.848690591658584,0.867592473149601,0.880281690140845,0.886031877909174,0.875770960699365,0.855451204573295,0.868860055607044,0.856583455702398,0.836289913836797,0.874513632076629,0.868860055607044,0.881057268722467,0.880167208546215,0.884173297966401,0.892458723784025,0.886501960991591,0.892892525318182,0.892458723784025,0.892458723784025,0.892458723784025,0.890617376112429,0.848690591658584,0.827174749807544,0.880167208546215,0.891663660332992,0.890644673900403,0.878038558256496,0.983552631578947,0.892414476945959,0.880167208546215,0.880167208546215,0.902482716696092,0.883091267108356,0.880167208546215,0.929899856938484,0.935538163763359,0.949595365298348,0.944476244991414,1.02666294113663,1.0055093015542,0.993657505285412,0.965924405465365,0.944860813704497
"Buffalo","NY","Buffalo","Erie",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353243416827232,0.340408490188226,0.346020761245675,0.348932676518883,0.358961920931361,0.355113636363636,0.365111621954688,0.360576923076923,0.370065789473684,0.367401469605878,0.382332727009653,0.380418170913159,0.363634921133564,0.383077948034644
"Henderson","NV","Las Vegas","Clark",10,,,,,,,,,,,,0.708801608715573,0.706153846153846,0.661252900232019,0.67801500288517,0.680019429057199,0.686381115386908,0.682170542635659,0.71396697902722,0.709810999036726,0.765511684125705,0.704120604682778,0.688656122184591,0.682382540546459,0.681356814888533,0.669076865917465,0.685348465169861,0.688730893939681,0.688757935888016,0.691809347524294,0.678222792471267,0.676153846153846,0.679831660731628,0.685602350636631,0.687522216255871,0.71401728673431,0.696422918645141,0.676842429848905,0.68457841697493,0.712204596956944,0.680822991196461,0.676638367990257,0.680131904369332,0.683710266227406,0.675675675675676,0.672143390589993,0.678988959617515,0.686406460296097,0.695088044485635,0.702070207020702,0.683554483313229,0.693693693693694,0.697999069334574,0.686406397666845,0.708526914606339,0.707235171064526,0.723937851800447,0.720949957591179,0.754060324825986,0.75237160614982,0.735718407386036,0.740990232401482,0.720875096477261,0.705251054043695,0.710534445474205,0.693159405285333,0.691419478104454,0.705230871147401,0.739984689971932,0.703014933784165,0.754060324825986,0.750884012840341,0.76716162962401,0.768826619964974,0.728155339805825,0.72939166824348,0.763098730593793,0.736984885351937,0.739247311827957,0.728094401205122,0.749718151071026,0.743871513102282,0.754060324825986,0.750144258511252,0.734901122394441,0.738048299655003
