"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Forest Hills","TN","Nashville","Davidson",5236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999000,1024500,1050000,999000,1174500,1150000,1199000,1162500,1150000,1150000,1185000,1137500,1245000,1210000,1250000,1212500,1099000,1197000,1396750,1475000,1425000,1425000,1675000,1499499.5,1295000,1250000,1197000,1199000,1299000,1299000
"South Haven","MI","Kalamazoo","Van Buren",5238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282200,279900,289450,291950,285000,292000,299900,297450,304950,310000,279000,267400,266900,299000,299900,299000,299900,305780,327590
"Larned","KS",,"Pawnee",5239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79900,78900,76900,73000,72950,72950,72950,74500,74500,71400,69900,70900,74900,75000,80000,74250,81000,75450,75450,72000,75000,76000,74950,69900
"Osawatomie","KS","Kansas City","Miami",5240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99500,97095,95000,99345,94247.5,89995,80000,75000,75000,75000,76500,80000,80500,82750,86500,79000,75000,72800,75000,79250
"Oconto","WI","Green Bay","Oconto",5241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136900,129999,137900,135900,137450,132949.5,121900,125000,104900,104900,109000,115000,114900,104900,110950,116900,118900
"Kenwood","OH","Cincinnati","Hamilton",5242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399450,399000,379900,362000,375000,360000,389900,399000,399450,429000,419949.5,402500,399000,379900,379900
"Lehighton","PA","Allentown","Carbon",5242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124900,124950,117450,109000,105750,106500,105000,104900,104900,102400,99900,93450,105000,1e+05,117900,109000,105000,109950
"Patterson","LA","Morgan City","Saint Mary",5244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149000,145800,139550,128000,128000,135000,139900,143250,139500,139500,139450,144500,143000,147000,147000,145000,144250,140000,143500,144250,139900,145000,144750,132000,132500,132500
"Quincy","CA",,"Plumas",5245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257500,262500,249750,255900,274250,290000,260000,255168.5,255337,236900,255618.5,275450,249900,249900,292500,259500,259500,249500,249500,257000,259500,259500,259000,269900,264700,275000,249500,239900,239950,250000
"The Village of Indian Hill","OH","Cincinnati","Hamilton",5246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150000,1150000,1150000,1189500,1189000,1239000,1219000,1238500,1395000,1395000,1420000,1477500,1445000,1329500,1314000,1262000,1274500,1212000,1199000,1198000
"Island Lake","IL","Chicago","McHenry",5247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,203750,192900,2e+05,189900,180000,179950,193900,202450,194900,208000,199000,204000,184950,179900,192200,194500,199000,196900,200500,185000,196888,196888,203900,195000
"Golden Valley","AZ","Lake Havasu City","Mohave",5248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99900,109900,99000,99450,99900,110000,110825,103250,98850,99450,96500,109900,108950,99975,99975,99500,99500,114900,115950,117000,124000,125450,132500,135000,121950,112500,104250,109500,110000,113000,108250,115000,113000,115000,116000,129900,139950,134900,129900,128400,138950,119900,126500
"Brazil","IN","Terre Haute","Clay",5249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99900,99900,99900,110900,114950,112500,94900,84700,89000,89900,101900,104900,115000,109450,119900,109450
"Kingsbury","NY","Glens Falls","Washington",5250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,189450,187000,181000,184000,189000,174999,177449.5,177200,165000,174949.5,149450,154900,159900,166450,162400,165000,179900,179000,179000,179000,179000,179900,177450,169000,175000,175000,171000,154000,150000,149200,139505.5,140000,142500,149200,153200,164900,164900,175000,197900
"Dover","NY","New York","Dutchess",5251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229000,229000,229000,227000,257500,254500,259000,275000,254500,258116,265000,257232,242500,239949.5,245000,242450,234000,226450,227900,225000,230000,225000,235000,235000,229900,235000,229000,229450,229900,229000,229900,225000,225000,227450,232450,235000,224500,224500,225000,225000,225000,225000,230000,250000,250000,250000,250000,249900,238111,236950,218561,230000,250000,250000,250000,250000,250000,250000
"Landrum","SC","Greenville","Greenville",5252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,402450,399000,399000,404950,402450,398000,399000,399000,399900,416400,449000,432000,439550,444000,440100,449000,449450,449000,442050,442050,474900,474900,470000,469000,445000,440100,429900
"Hamptonburgh","NY","New York","Orange",5253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345000,314950,349000,352400,375000,382450,377250,375000,399900,399000,349900,354900,349900,349900,352400,349900,352400,352450,349900,349900,349900,349900,357400
"Oakland","MI","Detroit","Oakland",5254,409900,409900,424900,424990,407445,399000,369900,375000,4e+05,399900,389900,354900,396438.5,399900,398688.5,399999,394950,397450,416938.5,414900,424300,393900,389387.5,389387.5,349900,349900,377200,369900,409837.5,411150,424877,429900,439900,439900,445900,452447.5,467750,459947.5,464995,469900,469900,476995,489837.5,489837.5,483947.5,473995,489900,489900,489900,496995,529897.5,537996,539900,537996,533945,549000,537997,555000,550000,552500,568695,566847.5,575000,574900,559900,575000,569900,574900,574950,579900,584949.5,579900,579900,599900,580000,587400,594900,584900,609000,595000,609999,619949.5,619450,619450,599450,599000,609499.5,619900,620000,599800,609000,602499.5,615000
"Comfort","TX","San Antonio","Kendall",5255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492475,492475,475000,475000,425000,499950,530000,554400,510000,499950,450000,499000,450000,427000,419999,394999.5,439950,439950,465000,492500,579000,575000,575000,539000,539000,499000,473000,442500,448000,496000,499000,499000,570000
