"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"North Bend","OR","Coos Bay","Coos",2253,229950,241837.5,247900,225000,199500,209000,210000,199000,196750,199000,199250,199000,175000,175000,169900,159950,159950,169000,178950,185000,199900,187000,175000,177450,169000,169250,179000,185000,179450,185250,179950,183000,188250,179450,179947.5,176000,177000,179000,189500,190000,191500,193000,209000,217000,205000,204499.5,199949.5,224950,225000,213950,199900,209900,242000,249490,237000,247000,242000,245000,247000,279500,279000,229900,247450,234900,239000,239000,239000,229000,230000,230000,231575,222000,230000,230000,239700,252000,280500,264000,239500,269900,252450,245000,249900,244000,238250,235000,239000,259900,259000,263450,257500,265000,262000
"Monroe","NC","Charlotte","Union",2254,142900,139200,134000,130000,130000,133950,133450,134800,138000,130000,129900,124900,124200,124900,125000,125000,124900,124900,124900,124900,120400,117750,114950,106000,108450,107900,115000,114450,117000,118700,118000,110000,109900,117500,125000,125000,127200,125625,128000,134000,131900,131900,139450,139450,139900,140000,139900,140000,146500,141650,140000,143950,143400,143900,145400,146250,147000,147450,148900,148900,143200,137000,139900,140950,144650,149900,147650,149200,149400,151690,148650,150000,159900,154900,159900,163490,159900,161990,171000,169450,168990,165500,169900,169900,164900,164450,159900,164900,172450,178950,182500,175000,175000
"Town of Massena","NY","Ogdensburg","Saint Lawrence",2255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99500,94750,98500,96500,90000,85000,87450,91500,97250,94200,83500,83500,80950,79900,79900,79900,79900,79900,78500,78500,79500,79900,79700,77000,77750,74400,72500,72900,72700,72950,72500,70750,70750,71500,72000,73900,73200,71000,72700,69900,72900
"Richland Township","PA","Philadelphia","Bucks",2256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205445,2e+05,201950,207945,207945,202170,215000,227450,224500,220000,217250,214500,212500,202400,189500,177400,177400
"Cromwell","CT","Hartford","Middlesex",2257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307400,294900,299900,249900,281900,261400,249900,229900,229900,235000,229900,208950,209900,209900,226750,235000,254900,254900,277400,277400,259900,234900,247450,254900,209500,205400,219900,219900,223400,229900,242900,262400,270400,259900,239900,259900,249450,259900,259900,260900,272400,259900,259900,262400,259900,269900,269900,244900,239900,239900,229900,229450,224000,224450,214949.5,217449.5,213400
"Endicott","NY","Binghamton","Broome",2258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,79900,84900,89900,93900,89900,89900,89400,86900,84900,85900,84950,83000,89900,74900,80000,89900,93999,91400,99900,99900,99700,99450,99400,99900,99900,90000,89000,89450,85700,84900,86500,86500,88200,89945,89949.5,91250,89900,86500,89900,88000,87250,84450,89450,88000,79900,77750,78950,78150,76500,76950,78150,79900,86450,79900,90450,85850,84500
"Sandy","OR","Portland","Clackamas",2259,211000,209999.5,211000,199500,205000,205939,207900,209999.5,204900,181900,189450,167000,169900,185000,189000,175000,179900,178450,176450,180139,176450,174995,160000,164950,160750,163900,169000,179900,169900,179750,189450,189900,199950,215000,219500,222004,212475,229000,227000,229000,229000,237000,229950,229500,234950,239950,239950,234975,217425,225000,222425,230000,229925,229475,227450,225000,224955,218505,217950,219950,219950,219950,229000,230000,239800,239900,248000,249997.5,249450,249450,249000,249960,257759,254950,259900,259000,259900,269000,274900,279900,280000,282500,295500,288700,285000,287500,295000,298500,299450,312000,319000,321500,349000
"Tuttle","OK","Oklahoma City","Grady",2260,177250,168900,164900,175000,187450,189900,178000,174950,179900,176500,178000,179900,176500,164900,177200,176500,168900,168900,174745,169900,168900,169945,168450,164900,159000,159000,159900,159900,168500,164900,159900,163700,170000,170000,169945,167750,164900,161500,164500,169000,174900,178400,189900,189950,190000,189900,188700,182500,182900,185000,180000,177450,189950,199900,198000,195000,194000,194900,196450,209950,235900,237900,239900,235450,235000,219450,204900,227450,234500,228000,224000,226250,223000,215000,215000,219500,210000,227350,227000,229400,244450,240000,225000,219900,225000,245000,247350,249900,238000,232450,222450,205250,240000
"Beckley","WV","Beckley","Raleigh",2261,,,,,,,,,,,,,,,,105000,115000,121000,110500,117250,119000,117000,117000,116500,124500,116500,118000,122450,119900,117000,103700,98100,99900,99300,109450,99450,109000,125000,113950,111000,109000,109250,110000,109900,114900,118000,119450,117500,117000,112000,112000,115000,115000,118500,119000,115000,124400,125000,125000,119900,115000,117000,125250,122400,119900,119900,119900,124900,122400,115000,109500,106000,108900,106950,113450,112000,112500,116000,115000,110950,113000,109900,105700,112250,109950,103000,112000,109900,109900,113250,109900,118500,116750
"Forest Acres","SC","Columbia","Richland",2262,179900,179900,183000,182000,178200,177500,174900,172750,170000,169700,165000,159900,162000,159900,159864,158900,155000,159250,160000,159000,152450,149900,139000,139900,149000,145400,144950,143875,143750,143750,139900,145000,141000,145750,149000,140250,139900,147450,147750,143750,149900,149900,148500,151887.5,159500,159500,165499.5,160000,159900,158450,166750,169450,154900,151250,157500,167900,159250,164250,169000,168950,168900,159900,159900,159949.5,157400,157450,159950,158166.5,155000,155000,149900,149900,149900,144700,164950,166900,159900,159000,155675,149900,149450,149500,145000,130000,141500,134000,150000,159900,172000,176500,169900,154450,149000
