"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,30786,"Cataula","GA","Columbus","Harris",9408,199700,0.00503271263210871,0.0199182839632278,0.0673436664885088,0.0180648856454428,-0.00530033929613249,"2008-09","2008-Q3",224100,-0.108879964301651,"2005-11"
2017-09-30,9263,"Stroud","OK","Oklahoma City","Lincoln",9409,66900,0.00753012048192771,0.0308166409861325,0.262264150943396,0.0810992925418514,0.0413797439924106,"2017-09","2017-Q3",66900,0,"2017-09"
2017-09-30,44060,"Bay Pines","FL","Tampa","Pinellas",9410,199400,-0.00100200400801603,0.00150678051230537,0.0714669532509404,0.123083875240359,0.0128492324468652,"2006-08","2006-Q3",201300,-0.00943864878291108,"2006-05"
2017-09-30,9659,"Thorndale","PA","Philadelphia","Chester",9411,236700,0.00424268137462877,0.015008576329331,0.0264527320034692,0.0283727911732337,0.00192128803883262,"2017-09","2017-Q3",236700,0,"2017-09"
2017-09-30,397685,"West Sadsbury Township","PA","Philadelphia","Chester",9412,225600,0.00624442462087422,0.0175913396481732,0.0162162162162162,0.0185415378844336,-0.00360649631004484,"2007-07","2007-Q3",235600,-0.0424448217317487,"2006-01"
2017-09-30,19488,"Mount Eden","KY","Louisville/Jefferson County","Spencer",9413,166100,-0.00180288461538462,0.00911300121506683,0.258333333333333,0.0634835918555305,,"2017-08","2017-Q3",166400,-0.00180288461538462,"2017-07"
2017-09-30,32265,"Karnes City","TX",,"Karnes",9414,77900,0.0038659793814433,0.025,0.122478386167147,0.0290743110411373,0.0174887492481948,"2017-09","2017-Q3",77900,0,"2017-09"
2017-09-30,396845,"North Weeki Wachee","FL","Tampa","Hernando",9415,183700,0.00547345374931582,0.0188574597892402,0.0774193548387097,0.0742585688108668,-0.020031829252862,"2006-06","2006-Q2",259500,-0.292100192678227,"2004-11"
2017-09-30,56883,"Winston","GA","Atlanta","Douglas",9416,174600,0.00114678899082569,0.0121739130434783,0.0588235294117647,0.0722269190446341,-0.00175836144344643,"2006-08","2006-Q3",181100,-0.0358917725013805,"2006-04"
2017-09-30,398591,"Town of Newport","NY","Utica","Herkimer",9417,129000,-0.00462962962962963,0.00389105058365759,0.053921568627451,0.0128866987274545,0.0270303472861155,"2017-07","2017-Q3",129700,-0.0053970701619121,"2017-07"
2017-09-30,36513,"Saint James City","FL","Fort Myers","Lee",9418,352200,0.00772532188841202,0.021461716937355,0.0022766078542971,0.0758150859372133,-0.00886488693805632,"2006-01","2006-Q1",536000,-0.342910447761194,"2004-08"
2017-09-30,398831,"Black Creek Township","PA","Scranton","Luzerne",9419,146000,0.0131852879944483,0.0384068278805121,0.108580106302202,0.0223873177940255,-0.00434632470702112,"2008-01","2008-Q1",154400,-0.0544041450777202,"2007-04"
2017-09-30,214851,"Rayne","PA","Indiana","Indiana",9420,114000,-0.00610287707061901,0.021505376344086,-0.0026246719160105,0.0108721208503508,0.0151344920335061,"2015-09","2015-Q3",125900,-0.0945194598888006,"2014-05"
2017-09-30,55430,"Chattaroy","WA","Spokane","Spokane",9421,295500,0.00544402858115005,0.0158129941560674,0.0583810888252149,0.0636029478838585,0.00454472922101945,"2017-09","2017-Q3",295500,0,"2017-09"
2017-09-30,27816,"Weaverville","CA",,"Trinity",9422,222300,-0.0031390134529148,-0.000449640287769784,0.0397567820392891,0.0709433360093636,0.00260092519274902,"2006-06","2006-Q2",236700,-0.0608365019011407,"2006-04"
2017-09-30,34017,"Smith Center","KS",,"Smith",9423,66600,0.00150375939849624,0.0106221547799696,0.0846905537459283,0.0210913467099034,,"2017-09","2017-Q3",66600,0,"2017-09"
2017-09-30,42791,"Melbourne","KY","Cincinnati","Campbell",9424,143900,-0.0130315500685871,0.0119549929676512,0.0698884758364312,0.0406612841911462,,"2017-07","2017-Q3",145900,-0.0137080191912269,"2017-07"
2017-09-30,396938,"Vinland","WI","Oshkosh","Winnebago",9425,199500,0.00402617010568697,0.00910470409711684,0.0651361452215697,0.0235286123784171,0.00378696917140897,"2017-09","2017-Q3",199500,0,"2017-09"
2017-09-30,26643,"Pulaski","NY","Syracuse","Oswego",9426,106200,0.0133587786259542,0.0133587786259542,0.154347826086957,0.0390225774751358,0.0247079817006992,"2017-09","2017-Q3",106200,0,"2017-09"
2017-09-30,41108,"Sublimity","OR","Salem","Marion",9427,315000,-0.0041100221308884,-0.000317359568390987,0.11228813559322,0.0872821302139199,0.014561715608953,"2017-07","2017-Q3",317100,-0.00662251655629139,"2017-06"
