"RegionName","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31909090909091,3.33333333333333,3.3843329253366,3.38461538461538,3.33333333333333,3.26666666666667,3.22727272727273,3.25,3.23076923076923,3.22222222222222,3.33333333333333,3.395,3.33333333333333,3.46666666666667,3.38461538461538,3.33333333333333,3.4375,3.22222222222222,3.33333333333333,3.41530054644809,3.38352797809985,3.33333333333333,3.36299487657196,3.43333333333333,3.42857142857143,3.43283582089552,3.45454545454545,3.36842105263158
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74193548387097,1.69565217391304,1.71948818897638,1.7395652173913,1.69025157232704,1.69542483660131,1.71071428571429,1.69876543209877,1.65933744465528,1.6875,1.66458333333333,1.66619047619048,1.75600739371534,1.76661409043112,1.74698795180723,1.81318681318681,1.82386516250336,1.88734030197445,1.99472222222222,1.99166666666667,1.86145519473273,1.94488188976378,1.99935064935065,1.98412698412698,1.89828080229226,1.98717948717949,2.01827875095202,1.99258241758242,2.05034138655462,2.02027027027027,2.125,2.01149425287356,1.99564393939394,1.99309523809524,1.94117647058824,2.15382772474291,2.0687684729064,2.10144927536232,2.16666666666667,2.26027397260274,2.30353598014888,2.23076923076923,2.26033590131041,2.32712765957447,2.27966101694915
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84210526315789,1.91111111111111,1.94444444444444,1.96,2,1.88181818181818,1.91959595959596,1.95102739726027,1.98757763975155,1.91723744292237,1.95029411764706,1.9375,1.88405797101449,1.88414634146341,1.88,1.865,1.97202660406886,1.9705078513218
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2785016286645,1.39990224828935,1.18518518518519,1.14583333333333,1.14583333333333,1.29393468118196,1.19284294234592,1.25806451612903,1.34408602150538,1.5,1.52657162404118,1.29411764705882,1.21124031007752,1.26859142607174,1.26815398075241,1.14958550136696,1.17241379310345,1.2,1.14814814814815,1.13157894736842,1.19230769230769,1.21428571428571,1.15,1.19601328903654,1.15384615384615,1.19075829383886,1.17727272727273,1.23762376237624,1.20683760683761,1.16987179487179,1.2088963963964,1.21546961325967,1.1902079002079,1.24956063268893,1.22941176470588,1.21651785714286,1.22352941176471,1.21428571428571,1.18289553683571,1.2,1.24403467908903,1.2186890328874,1.21794871794872,1.16666666666667,1.125,1.10486111111111
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31818181818182,1.28703703703704,1.26368913857678,1.28214285714286,1.27777777777778,1.3719512195122,1.31698564593301,1.28571428571429,1.31027253668763,1.25,1.32299132402867,1.27908653846154,1.31960227272727,1.375,1.375,1.45727272727273,1.46666666666667,1.46666666666667,1.4,1.41176470588235,1.36637516046213,1.375,1.38888888888889,1.45241084881969,1.4377358490566,1.48570477141906,1.47727272727273,1.50862068965517,1.58091581342435,1.54772727272727,1.57142857142857,1.625,1.52777777777778,1.56673076923077,1.52777777777778,1.464375,1.51904761904762,1.5875,1.63733766233766,1.71171171171171,1.65108695652174,1.70899837199617,1.72222222222222,1.70933612183612,1.64310689310689,1.61939309772372
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,0.886792452830189,0.816921954777535,0.769230769230769,0.765833333333333,0.776666666666667,0.751593170766505,0.762413240790176,0.766968325791855,0.748299319727891,0.767916165865385,0.78125,0.793803418803419,0.790562913907285,0.784129332206255,0.782352941176471,0.77319587628866,0.8,0.8125,0.809308186551457,0.769230769230769,0.78125,0.772254082039028,0.76875,0.771324863883848,0.762857142857143,0.761538461538461,0.769230769230769,0.762857142857143,0.75,0.755714285714286,0.78125,0.76969696969697,0.767948717948718,0.801200755578435,0.835231586940015,0.836742464304601,0.836325470889362,0.85,0.851851851851852,0.884615384615385,0.883561643835616,0.86038961038961,0.827205882352941,0.840371621621622,0.812094155844156,0.836970632179685,0.869061413673233,0.9,0.824742268041237,0.86875,0.837349397590361,0.869061413673233,0.865772306397306,0.866188769414576,0.866666666666667,0.895790816326531,0.926534391534392,0.954666666666667,0.991591406677614,1.00869565217391,1.00455115817162,1,1.04347826086957,1.04347826086957,1.07609594706369
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,0.654701718907988,0.700934579439252,0.679163270850312,0.665559246954596,0.676855895196507,0.712230215827338,0.721153846153846,0.722456351595424,0.718998786478913,0.721153846153846,0.708661417322835,0.711538461538462,0.70818345323741,0.708038317367763,0.709368989625304,0.718993409227082,0.72192513368984,0.729166666666667,0.732695139911635,0.726417955717319,0.710526315789474,0.707614267693712,0.717978173463527,0.701978302488832,0.719001127258148,0.726010101010101,0.733735360950883,0.745477230193387,0.757483860592276,0.770500825536599,0.768608414239482,0.750494071146245,0.73697270471464,0.751403447654306,0.753424657534247,0.772949687587208,0.773163802009956,0.770812707710835,0.77372764786795,0.785714285714286,0.805008944543828,0.775324675324675,0.784715114295462,0.78125,0.78125,0.768858800773694,0.817661488143908,0.788679808841099,0.81125,0.81125,0.817647058823529,0.81125,0.805084745762712,0.813953488372093,0.827933765298776,0.778118799603175
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03728560775541,1.00044404973357,1.00401606425703,1.0749299719888,0.970588235294118,1,1,1.00401606425703,1.04464285714286,1.00148367952522,1.0398939187656,1.0556493993994,1.00078911529603,0.99613997310881
"San Diego","CA","San Diego","San Diego",9,,,,,,1.22727272727273,1.26615142936799,1.34615384615385,1.4308426073132,1.4961478531856,1.4,1.5,1.54545454545455,1.5,1.5028901734104,1.5014450867052,1.48148148148148,1.40588235294118,1.44,1.49375,1.48913043478261,1.5,1.54166666666667,1.57142857142857,1.582805907173,1.53145695364238,1.53358011634056,1.54627279936558,1.60402684563758,1.591796875,1.71875,1.73626347305389,1.70952380952381,1.69113495200452,1.77142857142857,1.741871642635,1.70273348519362,1.72171717171717,1.77272727272727,1.92632850241546,1.83333333333333,1.84230769230769,1.78571428571429,1.80952380952381,1.83846153846154,1.83846153846154,1.89285714285714,1.9601506740682,2.00359712230216,2.06953642384106,2.01986754966887,1.99166666666667,2.05805090598591,2.07142857142857,2.08421052631579,2.13428571428571,2.09020902090209,2.17772780747597,2.22094017094017,2.30384615384615,2.32318710832587,2.25895706683183,2.19580463368817,2.08333333333333,2.08333333333333,2.121875,2.14976635514019,2.12933255269321,2.21147488005568,2.08333333333333,2.13636363636364,2.23275862068966,2.27202194357367,2.25,2.27586206896552,2.35227272727273,2.42142857142857,2.42513069454817,2.36329966329966,2.37414187643021
"San Jose","CA","San Jose","Santa Clara",10,,,,,,,,,,,,,,,,,,,,,,,,1.69047619047619,1.83333333333333,1.75695238095238,1.83333333333333,1.86488970588235,2.05507246376812,2.06666666666667,2.0521897810219,2.00714285714286,1.93112244897959,1.94444444444444,2.00972054250173,1.98954574348443,1.94117647058824,1.99411764705882,2.04290499808568,2.21111111111111,2.24105967296666,2.26,2.27272727272727,2.26636363636364,2.21825396825397,2.35849056603774,2.32864189043683,2.33208955223881,2.53636363636364,2.5094696969697,2.45454545454545,2.44829214790939,2.46470588235294,2.37243150684932,2.35849056603774,2.31377204884668,2.27537444933921,2.33208955223881,2.35294117647059,2.43333333333333,2.57747933884298,2.71317829457364,2.49019933554817,2.78395624430264,2.82142857142857,2.66666666666667,2.56428571428571,2.45384615384615,2.3847619047619,2.34705882352941,2.21787709497207,2.4620844490698,2.42810559006211,2.58409090909091,2.70419754663941,2.81420547385621,2.70714285714286,2.76493473895582,2.55623721881391,2.68054875061245
