"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"New Jersey","State","New Jersey","All Homes",58974,60083,67701,70660,69158,70500,70698,70336,71879,71164,69342,66936,60602,63169,66122,72548,77634,78092,82175,81681,76844,75484,74872,69060,64298,64613,67292,66185,69933,70668,67808,66541,64400,61221,57595,52490,48975,50683,53096,54761,56616,58382,57113,56985,56019,55307,53432,49716,46333,47720,49928,54605,58014,61179,61826,62101,61286,61084,58606,54131,49678,50494,53890,55309,58051,64191,64702,64071,61637,61425,58364,53246,49336,50442,53503,57796,58812,60622,60118,58965,57858,56300,52511,47936,44948,46602,47537,48262,49957,50712,50145,49051,48305
"Virginia","State","Virginia","All Homes",48804,50114,52314,55740,55488,57326,58896,56606,59272,57806,55996,55266,51026,53152,57947,57431,58874,60420,60930,60502,57958,55708,54575,50832,46778,47742,48810,47820,48462,49160,46995,45535,44482,43555,42025,38908,36796,38070,39802,40710,43249,44180,43884,44068,43900,44298,43292,40816,37600,38904,41284,44888,48524,51024,52053,51825,51520,50514,48114,44215,40798,41086,42458,45931,50426,52406,52794,52483,51668,50429,47374,42486,39009,39052,41308,45196,46710,48174,48418,47812,46566,45154,41645,38215,35462,36170,37783,39784,41094,42110,42442,42331,41710
"Washington","State","Washington","All Homes",38669,38960,45857,48324,46644,48665,50491,50490,50251,48402,46426,43769,42542,43254,46861,47446,47738,49873,53205,53011,50272,48414,46970,42990,39890,38371,36206,33844,34889,36164,36898,36601,36661,33789,31586,27351,25175,27257,28028,28393,31240,32624,34225,35693,35160,33905,31524,29187,26454,26748,27638,30334,33154,35620,36732,37646,37086,35088,31439,27666,24602,24246,24616,25864,28906,30242,30858,31242,29783,27554,24679,21024,18322,18281,19299,21314,23638,25973,27804,28872,27976,25838,22185,18604,16184,15482,14929,15824,18067,20156,21442,22487,22034
"Massachusetts","State","Massachusetts","All Homes",31016,34050,36279,38489,37782,39790,39235,38817,39227,40634,38825,35143,31285,31669,35306,41263,44505,44634,47649,47271,46241,45214,42457,37116,33650,33755,36472,37537,39564,39618,37818,37034,35896,34878,32250,27505,24350,25492,27292,29010,30215,27264,26134,27336,27462,27558,25352,22304,19705,20160,21234,24192,26816,29231,29389,29232,29426,28512,25714,21408,18947,18446,18272,21041,25392,27723,28027,28022,28244,27936,25644,21169,17680,16980,18249,19590,21026,22553,22294,21956,22073,21780,19595,16343,14510,14124,14407,15346,17351,18234,18132,17917,18707
"Indiana","State","Indiana","All Homes",42924,44990,47427,48702,42736,43396,44684,44385,46134,44290,41798,40654,38779,40476,42413,44735,44910,45948,47296,46240,44818,42707,41942,37946,35230,35432,37258,37563,38985,40726,39964,40274,38800,36586,35052,33005,31217,31376,32190,33192,34385,35077,36046,36665,36300,34714,33128,31598,29285,28598,29074,30984,33664,34903,35797,36796,36433,35303,33816,30850,28872,27976,28458,29845,32332,34008,35119,35810,35680,34858,33318,29644,27257,26548,26488,27130,27292,28320,29424,29707,29258,28602,27359,25102,23022,22935,22569,22219,22461,23299,24206,24328,24522
"Arizona","State","Arizona","All Homes",50476,51752,54482,55032,52334,53953,53748,53892,56750,59100,61696,62861,60104,61852,64098,60128,57868,57457,57364,54050,52785,50713,52075,50120,48905,45354,36732,34979,32666,32292,31737,31926,32618,33462,34344,33064,31895,32871,33600,32892,31820,30748,30304,31098,32139,34778,37149,37046,36598,38918,39782,40096,39785,38920,39141,37864,37562,38267,38704,37610,36340,37140,36940,36096,34526,33854,33288,32706,32938,35610,35982,32279,31353,32689,33008,33184,35601,34905,33936,33356,32731,33369,33839,32772,31780,32702,32431,31826,30877,29442,28456,27588,27598
"Tennessee","State","Tennessee","All Homes",51428,53566,55344,57568,56144,58952,59898,59694,60329,59247,58230,57460,52321,59472,61214,63902,64742,66873,66493,69333,66148,64734,64211,60244,56105,55905,56445,55653,55581,56596,55352,55415,55412,52974,52052,49870,47347,49192,50866,52302,54467,54723,54250,54164,53482,52600,51138,49324,44913,45040,46086,48427,50142,51740,52264,51822,50924,49197,47431,44590,41976,42154,35954,29686,33430,35137,36220,37458,36768,35774,34161,32045,29630,30296,30882,32600,32970,34090,34798,34992,34656,33907,32335,30154,28148,28620,27848,27650,27563,28108,30053,30443,30385
"Missouri","State","Missouri","All Homes",43376,45588,52483,56242,53492,53392,53514,53872,53105,52810,50948,48588,45246,46608,50212,52987,53552,55719,58177,58408,56654,55476,54772,49779,44574,45779,48774,48410,48878,48780,48127,47299,46379,44476,42836,39476,37363,38576,39698,40624,42139,43182,43050,43601,43169,43149,41970,39454,35662,36228,37176,39644,41272,42655,43103,43560,42794,41977,40139,37050,34322,33234,31506,35062,36815,38208,40124,40026,39300,38486,35777,33394,30122,30158,31160,32598,32888,34311,34785,34598,33719,33136,31677,29580,27508,27600,27490,28673,29212,30088,30842,30808,30626
"Maryland","State","Maryland","All Homes",30997,30840,32915,34980,34332,35180,36304,34890,37106,37138,36482,36214,33926,35262,38821,37070,38545,39861,40688,38429,37137,36538,35170,32371,30335,29991,30446,29744,29459,29678,28550,27535,25194,24063,22961,20797,19308,20040,20500,21178,22401,22306,22289,22354,22518,23148,22824,21530,20016,20124,21160,24348,26224,28954,29621,29343,29296,29256,28176,25578,24290,23934,23831,26600,28700,29998,29945,29794,30118,29828,28298,24873,22867,22374,23662,25262,26197,27476,27633,27280,26879,26398,24034,21628,20105,19559,19675,20782,21788,22377,22562,22436,22668
"Wisconsin","State","Wisconsin","All Homes",36569,37638,42004,45004,44939,44871,45534,45082,45695,44690,43182,42965,39792,42082,44748,47077,47486,51919,54795,56477,54568,52798,49830,45474,42406,42883,44810,45598,46391,48076,47600,46849,45984,43856,41037,37452,35509,36455,38025,40122,42537,44372,44299,45358,44819,43270,40507,36992,33771,34612,36311,39397,43310,45410,46973,47484,46620,44658,41802,37089,33895,34972,36701,33464,39648,41979,41796,41422,40103,37764,34179,31100,28154,28876,31059,33595,35742,38930,39618,39445,38366,36052,32187,28156,24876,26136,27530,29405,31483,32862,32933,32626,31800
"Minnesota","State","Minnesota","All Homes",27246,27934,31990,33825,33688,35759,35720,35612,36313,35566,35134,33111,31196,31968,34062,34617,34346,36862,38148,36632,35008,33357,31524,27196,25541,25378,26469,25960,25941,26634,26514,25378,24942,23393,19544,18322,16795,17568,18529,19290,20937,22611,23410,24234,23994,23614,21892,19764,17662,17840,18752,21000,23050,26754,28072,29208,29093,30441,26681,22757,19837,20057,21260,22369,25036,25866,26177,26914,28083,26485,24272,20915,18288,18524,20803,22761,24560,26533,27042,27022,26360,25102,20688,17595,15507,15842,16572,17816,19308,20662,21120,21426,21926
"Colorado","State","Colorado","All Homes",41553,43130,45560,48557,47648,49352,50897,50206,51704,50902,49744,47691,44226,46589,49621,48976,49092,51714,55086,53893,49180,46402,44581,40692,37988,38026,37839,35641,36594,38037,37871,37349,36929,35214,32864,29411,27771,29332,30736,31672,33202,35081,36240,36365,34396,33013,31656,28198,25511,25730,26596,28432,30520,32754,34667,34258,33279,30755,27462,24106,21648,22115,22650,21615,24116,26702,28522,29018,28604,27610,25370,21792,17928,17472,18304,19748,21386,25205,27492,27919,27135,25592,22907,20136,18086,18502,18468,18666,21075,22672,22816,23041,22440
"Alabama","State","Alabama","All Homes",29776,30920,32233,34656,35777,36457,39119,37516,36567,35933,35572,34817,32485,34110,38277,38866,38068,38171,38772,39340,37848,37292,36814,35004,33177,33957,31507,30650,31242,31574,31118,30568,30834,30422,30335,29113,27931,29053,30298,30640,31401,32405,31740,31557,29108,27386,27430,26960,25501,25790,26888,28218,29283,29761,30061,31844,31994,31500,30768,29471,28385,29036,30184,29567,31572,32594,32840,33052,31913,30934,29871,28305,26765,27292,27994,29100,29893,30627,30855,30654,31098,30242,29504,28182,26967,27557,27337,27250,28475,28176,28533,28290,28094
"South Carolina","State","South Carolina","All Homes",44943,48260,49993,50724,48722,50605,50576,48946,49040,46310,45980,46161,44746,45674,47474,48533,48673,50031,52756,52977,50060,48625,49173,45383,43164,45406,46128,45339,45313,44759,43372,42540,42292,41172,40214,38672,37491,38876,41040,42078,42639,43384,42300,42186,41690,41488,40648,39708,37697,39307,40089,41978,43058,43332,43096,41858,42310,41503,40950,39277,37454,37786,36124,33988,33738,36079,36802,37381,36882,35852,33165,32747,30896,31438,31856,32588,32847,33526,33690,33331,32781,32198,31214,30252,29258,30142,30436,30539,30478,30188,30294,29990,29544
"Louisiana","State","Louisiana","All Homes",15690,16388,16299,16347,16091,16766,18332,18032,17978,17526,17248,16932,16568,17145,17250,17662,17381,17822,18594,18521,17618,17416,17737,16906,15976,16186,16563,15304,15379,15780,15080,15125,15214,14916,15179,13915,13413,14328,14258,14175,14443,14670,14423,14808,14682,14569,14584,14071,13327,13380,13521,13917,14698,14712,14764,14814,14544,14297,14159,13751,12882,13160,13402,13700,14314,14661,14687,15006,14779,14497,13866,13288,12420,12886,13379,13650,14082,14635,15542,15687,15182,15114,15104,14346,14003,15472,15772,16030,18071,18481,18983,19188,19601
"Kentucky","State","Kentucky","All Homes",21213,21344,21656,22886,22222,22621,23874,24645,25049,24632,24436,23826,22394,23117,24073,25415,26392,26987,27575,27640,26838,27174,26579,24226,22844,23139,23478,23394,23840,25001,24638,24539,24649,24110,23430,22746,21642,22076,23492,24152,25075,25372,24941,25048,24801,24561,23667,22281,21058,20738,20896,22071,22958,24020,24713,24983,24856,24439,23439,22189,20758,20442,20066,19720,20550,21838,22141,22103,21882,21246,20014,18444,17080,16758,17056,17765,18234,18800,19377,19490,19258,18828,17990,16713,15643,16000,15819,15629,15712,16564,16729,17085,17083
"Oregon","State","Oregon","All Homes",25828,26106,29926,30938,29782,30936,32358,32505,31873,30560,29306,28412,26276,26962,28922,29306,28685,29799,31870,32422,30056,29242,29150,27384,25518,25331,24322,22622,23155,24410,24399,23785,23508,22058,20268,18222,16727,17664,18236,18974,20354,21187,21794,23394,23171,22128,20510,19030,16867,16978,17550,19061,21854,23406,24073,24619,24224,22841,20500,18217,16352,16056,16740,17001,19054,20214,20806,21434,20989,19080,17368,15153,13034,12770,13026,13881,15065,16680,18004,18785,18286,17160,15582,13884,12312,11772,11763,12325,13365,15208,16554,17627,17426
"Oklahoma","State","Oklahoma","All Homes",21001,21270,22241,22668,21894,21883,22692,22670,24768,24418,25090,25284,24668,24526,24609,25364,24683,25559,27090,26154,25274,25149,25011,24087,21084,21414,21656,20973,21680,22784,21233,20506,21004,20463,20250,19356,18710,18908,19087,19546,19941,20296,20350,20395,20050,19580,19142,18261,17280,17292,17330,17822,18737,19181,19572,19708,19833,19282,18588,17385,16848,17050,17138,16257,17576,17803,18430,18954,19144,19124,18938,18203,16710,17566,18468,19552,19098,19651,20354,20545,20281,19940,19007,18380,17591,18758,19895,19652,19412,20106,20732,20868,20720
"Connecticut","State","Connecticut","All Homes",21013,21956,23375,24938,25064,25880,25958,25143,24728,24132,24120,23166,22546,22512,24135,26824,28560,29419,31754,32207,31067,30642,29173,26353,24372,24614,27694,28949,30470,31424,30436,29047,28278,25747,23832,21370,19591,20356,21360,22941,24499,25324,25112,24974,25226,24679,23492,21405,19557,19836,20752,22943,26349,28128,28621,28706,28366,27758,26895,22723,21687,21256,21336,23472,25802,27620,28007,28284,27815,26951,24596,21812,19059,18894,20126,22139,23380,24386,24258,24137,23240,22602,20640,18598,17288,16988,17539,18481,19814,20631,20257,22901,22230
"Iowa","State","Iowa","All Homes",11632,11843,12972,13470,13556,13675,14602,14441,15727,15666,15516,15468,14839,15409,16887,17380,18132,18580,18998,19400,18854,18460,18149,16688,15766,15980,16350,16952,17094,17974,17714,17503,17470,17230,16353,14659,13957,14991,15241,15820,16483,16850,16815,17028,16805,16442,15933,14706,13506,13550,13681,14764,15527,16158,16411,16459,16536,16272,15478,14198,13360,13368,13490,10889,12176,12835,12904,13246,13484,13514,12863,11993,10986,10849,11084,11926,12394,13048,13492,13826,13721,13676,13322,12788,11995,12156,12150,12410,12453,12586,12790,12894,13885
