"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Maine","State","Maine","All Homes",12422,13270,13240,13494,13446,14302,14484,14649,14519,14038,13176,12771,11500,11733,11909,12750,13424,15240,17236,18190,17398,16864,16578,15554,14422,14022,14186,13826,14896,15852,16094,16194,11680,11544,10824,9506,12051,12182,12482,12996,13968,14582,14960,15205,15061,14640,13622,12634,11445,11202,11258,11810,13340,14449,15257,15360,15138,14685,13544,12164,11513,11368,11173,8641,12504,13714,15195,17230,14354,13500,12427,11130,10008,9625,9601,10052,10376,11587,11948,11754,11266,10719,9838,8888,8189,7950,7690,7824,8394,9092,9462,9678,9525
"New Hampshire","State","New Hampshire","All Homes",10796,10749,11843,12509,12238,12529,12722,13160,13521,12784,12482,11207,10169,10538,10941,11836,12224,14037,15740,16552,15577,15021,13983,12579,11329,11280,11694,12061,12710,13583,13533,13286,13263,12769,11902,10556,9548,9971,10394,11070,12381,13148,13181,13276,12990,12412,11238,10062,8895,7706,8425,9433,11094,12256,12857,13056,13018,12450,11250,9734,8716,8606,8976,10164,11662,13048,13644,13268,12928,12286,10998,9400,7748,7432,7613,8209,8814,9694,9776,9662,9256,8619,7816,6938,6108,5858,5798,5998,6618,7124,7464,7668,7518
"Rhode Island","State","Rhode Island","All Homes",4906,5052,6717,6854,6876,7186,7268,6998,6822,6962,6915,6577,6114,6032,6862,7690,8154,8299,9016,8742,8576,8446,8108,7507,6888,6840,7097,7106,7437,7612,7244,7046,6950,6678,6228,5674,5264,5347,5594,5952,6385,6384,6250,6337,6269,6112,5763,5261,4720,4770,5106,5613,6182,6475,6721,6716,6619,6447,6056,5326,4841,4664,4532,5549,5950,6181,6320,6288,6091,5410,5048,4753,4424,4346,4548,4732,5038,5354,5441,5446,5379,5198,4778,4132,3780,3830,3953,4062,4377,4678,4620,4660,4605
"Montana","State","Montana","All Homes",4442,4508,4827,5138,5186,5575,5730,5802,5509,5290,5368,5517,5884,6158,6791,7086,7624,8576,9477,10141,9868,9503,9462,8710,8003,7995,7859,7761,8034,8455,8620,8633,8356,7820,7208,5556,5784,6604,6931,8061,8359,7444,7544,7572,7353,6999,6628,6278,5569,5547,5512,6275,6694,7382,7825,7971,7824,7413,6799,6077,5738,5676,5782,5607,6547,7017,7162,7271,7025,6670,6621,6389,5860,5956,6262,6622,6676,7639,7894,7851,7647,7254,6751,6280,5859,5896,5837,5986,6361,6741,6978,7075,6974
"Delaware","State","Delaware","All Homes",6216,6337,6804,7118,6916,7056,7057,8149,8702,8545,8350,8378,7845,8183,9023,9136,9166,9508,9971,9771,9302,9189,9250,9080,8572,8451,8307,8226,8368,8352,7842,7501,7718,7700,7370,6725,6408,7074,7352,7556,7521,7520,7088,7102,7108,6993,6876,6528,6168,6243,6316,6879,7247,7456,7575,7504,7470,7487,7198,6615,6332,6344,6361,5316,5834,6006,6184,6362,7566,7514,7213,6795,6443,6462,6679,6830,6932,7150,7228,7272,7298,7220,7016,6430,6170,6289,6248,6340,6368,6352,6320,6070,6002
"South Dakota","State","South Dakota","All Homes",2900,3000,3430,3634,3632,3789,3902,3930,3848,3806,3670,3507,3738,3126,3739,3943,4122,4413,4923,5084,4801,4654,4123,3795,3536,3561,3666,3688,3900,4053,4038,4069,3922,3731,3436,3317,2861,3041,3237,3316,3602,3800,3893,3984,3852,3603,3322,3090,2767,2808,2846,3220,3976,3994,3705,3558,3575,3526,3358,3190,2842,2858,2969,2812,2918,2816,2765,2850,2811,3298,3120,2597,2621,2788,2967,3246,3482,3642,3727,3721,3574,3344,3167,2860,2616,2695,2830,2956,3121,3347,3376,3456,3418
"Alaska","State","Alaska","All Homes",2748,2772,3066,3139,3312,3596,3732,3820,3833,3636,3350,3169,2875,2982,3425,3677,4098,4504,5244,5333,4794,4564,4329,3784,3460,3537,3611,3594,3891,4332,4538,4604,4564,4145,3862,3419,3157,3355,3630,3843,4137,4630,4917,4958,4624,4186,3661,3162,2740,2746,2839,3137,3394,3754,3963,3957,3752,3494,3174,2883,2572,2598,2940,3292,3412,3694,3875,3958,3783,3438,3088,2787,2525,2838,3012,3354,3632,4070,4189,4229,4046,3654,3288,2948,2724,2733,2766,3118,3413,3584,3671,3954,3964
"North Dakota","State","North Dakota","All Homes",1372,1590,1504,1450,1460,1528,1610,1644,1656,1626,1564,1551,1425,1468,1509,1632,1674,1798,1889,1952,2020,1944,2038,1874,1655,1567,1546,1279,1377,1464,1505,1579,1680,1658,1656,1402,1260,1236,1250,1209,1144,1318,1187,1348,1453,1507,1430,1290,1166,1177,1222,1266,1424,1482,1495,1622,1695,1807,1759,1500,1360,1372,1459,1652,1782,1808,1946,2052,2144,2150,2062,1944,1812,1965,2151,2254,2603,2855,3105,3177,2958,2914,2821,2581,2416,2576,2736,2885,3195,3418,3726,3691,3769
"Vermont","State","Vermont","All Homes",4128,4206,4517,4722,4780,5032,5176,5286,5294,5059,4842,4698,4489,4808,4694,5016,5156,5958,6975,7689,7327,7237,7121,7212,6957,6894,6962,6900,7314,7574,7737,7883,8179,7996,7518,7074,6788,6819,6863,6972,7337,7876,7974,8163,8128,7954,7360,6868,6533,5809,6212,6599,7252,7826,8315,8704,8617,8422,7783,7261,6946,6879,7234,7430,7462,8111,8665,8800,8614,8342,7820,7256,6496,6374,6265,6444,6648,7357,7610,7670,7489,7200,6607,6282,5942,5869,5821,5739,5872,6226,6409,6440,6358
"District of Columbia","State","District of Columbia","All Homes",1934,1918,2110,2296,2201,2257,2240,1810,1991,2424,2406,2326,2024,2108,2298,2310,2390,2577,2562,2447,2363,2366,2345,2120,1825,1910,1900,1804,1767,1760,1648,1579,1404,1346,1282,1062,918,957,935,1085,1187,1066,1027,1008,1043,1201,1218,1102,911,919,912,1074,1128,1271,1246,1171,1239,1364,1272,1035,912,928,964,1195,1234,1290,1247,1208,1299,1457,1456,1168,1038,1026,1109,1226,1286,1344,1285,1152,1270,1312,1271,1150,1041,1092,1095,1114,1223,1332,1230,1120,1296
"Wyoming","State","Wyoming","All Homes",2158,2234,2381,2606,2632,2776,3056,3113,3134,3077,3028,2858,2748,2968,3907,4022,4190,4606,5351,5752,5480,5286,5177,4730,4357,4430,4440,4230,4424,4676,4724,4819,4847,4472,4530,4265,3916,3952,4042,4050,4123,4372,4459,4478,4367,4078,3824,3558,3306,3262,3320,3612,3834,4000,4130,3467,3460,3270,3212,3049,2793,2882,3051,3239,3574,3730,3987,4218,4091,3934,3769,3406,3140,3449,3817,4072,4212,4594,4818,5005,4870,4704,4400,4082,3761,3758,3800,4043,4558,4876,5056,5206,5111
