"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Indiana","State","Indiana","All Homes",47340,48123,48851,47404,44053,42202,41970,42130,42738,42653,42204,42442,42974,43615,44319,44801,44818,44672,44364,43356,42112,41513,41139,40184,39242,38956,38783,38534,38786,38739,37881,37000,36033,35157,34848,34906,34936,34727,34358,34147,34049,33762,33565,33528,33339,33012,32937,33120,32866,32153,31779,32310,33173,33424,33403,33517,33528,33426,33130,32715,32250,31579,31100,31354,32078,32533,32635,32681,32774,32836,32400,31511,30716,29949,29135,28333,27528,27056,26875,26611,26452,26559,26654,26631,26518,26100,25085,23747,22675,22067,21688,21440,21418
"Arizona","State","Arizona","All Homes",50243,51191,53140,54228,54286,54731,55230,56005,57446,58708,59887,60604,60434,61088,61765,60540,59139,58712,57914,55972,53396,51119,49829,49099,47584,43232,37685,34796,33890,33357,33230,33426,33447,33005,32405,31955,31783,32043,32562,32753,32444,31908,31850,32487,33314,34242,35184,35937,36739,37862,39040,39880,40150,40085,39935,39393,38580,37738,37040,36666,36402,36242,36175,35794,35151,34693,34411,34179,34313,34574,33712,32147,31548,31845,32381,33574,35130,35577,35126,34605,33816,32873,32239,32036,31955,31853,31762,31533,30995,30237,29545,29052,28744
"Tennessee","State","Tennessee","All Homes",56171,56433,57293,57590,56928,56983,57303,57223,57528,57781,58007,58090,58708,61052,63345,64468,64862,64784,65007,65141,64193,63430,63016,61861,60334,58999,58063,56955,55722,54610,53400,52701,52371,51770,51341,51337,51536,52001,52870,53793,54012,53226,52121,51318,50951,50782,50555,50093,48981,48057,48579,49763,50289,50266,49855,49017,48195,47435,46581,45961,45490,43291,38143,33770,33197,33859,34135,34301,34155,33820,33401,33203,33108,32952,33408,33932,33533,32948,32589,32199,32001,31858,31499,31365,31396,30943,30261,29413,28166,27470,27608,27677,27556
"Missouri","State","Missouri","All Homes",49594,51050,53752,54714,53115,51474,50807,50613,50633,50602,50506,50677,50997,51433,52129,52629,52966,53836,54856,54927,54190,53754,53355,52005,50672,50466,50131,48910,47805,46704,45322,44285,43505,42672,42026,41958,42483,42691,41995,41299,41232,41005,40484,40371,40619,40944,41198,41168,40815,40351,40044,40194,40561,40591,40395,40281,40110,39768,39339,39079,38667,37035,35359,35456,36139,36553,36946,36922,36609,36041,35344,35041,34767,34294,33844,33238,32648,32331,31979,31503,31125,30926,30975,31403,31795,31413,30422,29491,28809,28336,28018,27857,27867
"Maryland","State","Maryland","All Homes",33801,33781,34272,34589,34002,33661,33806,34224,35235,35958,36532,37169,37393,38257,38925,38205,37798,38131,38023,37050,35930,35292,34744,34032,33350,32686,31659,30216,28872,27707,26647,25525,24049,22957,22591,22441,22508,22582,22210,21777,21359,20654,20316,20590,21067,21711,22441,22971,23127,23082,23511,24583,25731,26736,27336,27510,27620,27721,27631,27419,27263,26789,26450,27050,27806,27959,27856,27970,28212,28184,27630,26740,26007,25673,25727,25766,25603,25495,25428,25277,25037,24539,23808,23365,23132,22624,21968,21460,21010,20572,20394,20501,20650
"Wisconsin","State","Wisconsin","All Homes",42757,43207,44476,45085,43817,42140,41277,41125,41710,42628,44072,45680,46444,46959,47543,47506,47370,48568,50465,51307,50979,50533,50047,49272,48610,48067,47468,46569,45488,44520,43440,42491,41993,41679,41396,41364,41606,41519,41248,41308,41262,40767,40369,40518,40795,40899,40864,40619,40234,39827,39903,40855,41729,42043,42383,42596,42485,42313,41885,41073,40465,40185,38766,37112,37541,38076,37391,36621,35963,35303,34844,34756,34608,34333,34509,34826,34841,34988,35015,34635,34150,33491,32678,31983,31571,31287,31047,30812,30137,29186,28424,27895,27619
"Minnesota","State","Minnesota","All Homes",31717,32315,33595,34191,33793,33320,32905,32823,33139,33742,34767,35505,35709,35884,35904,35319,34604,34633,34629,33567,32124,31352,30912,30243,29783,29324,28361,27037,25683,24494,23413,22459,21709,20790,20178,20633,21283,21341,20917,20575,20524,20432,20517,20762,20860,21149,21750,22192,22199,21845,21671,22126,23063,24179,25080,25583,26223,26941,26590,25470,24641,24191,23902,23983,24179,23747,23318,23657,24075,24043,23912,23573,23065,22991,23468,23996,24210,24170,23929,23447,22820,21965,20926,20337,20207,19944,19498,19183,18879,18433,18089,18029,18148
"Colorado","State","Colorado","All Homes",46699,47033,48096,48917,48234,47243,46726,46905,48062,49062,49671,49927,49841,50488,51172,50573,49677,49825,50311,49124,46542,44839,44180,43561,42836,41742,39882,37903,36696,35544,34117,33433,33414,33184,32651,32397,32724,33138,33336,33465,33327,32795,32281,31826,31245,31045,31122,30878,30376,29808,29728,30313,30658,30559,30360,30037,29503,28501,27383,26787,26502,26080,25227,24384,24258,24399,24476,24705,25026,25180,24929,24145,22886,21772,21504,21748,22069,22713,23324,23525,23471,23135,22741,22718,22802,22395,21628,21218,21027,20203,19134,18729,18685
"Alabama","State","Alabama","All Homes",32635,32762,33365,34404,35055,35725,36414,36105,35641,35636,35725,35706,35605,36541,38253,38617,37693,37076,37139,37248,37056,36926,36723,36276,35947,34941,32794,31136,30590,30167,29484,29194,29616,30095,30281,30372,30565,30833,30989,30935,30918,30818,30314,29439,28209,27374,27502,27922,27928,27694,27887,28406,28632,28585,28948,29911,30720,30945,30801,30710,30779,30849,30705,30505,30834,31278,31364,31192,30821,30396,29911,29486,29218,29016,29080,29334,29399,29389,29296,29295,29621,29734,29516,29378,29347,29036,28373,27908,27621,27230,26934,26776,26777
"South Carolina","State","South Carolina","All Homes",48746,49485,50128,49787,48973,48765,48471,47874,47388,46689,46661,47444,47711,47505,47711,48099,48293,49040,50451,50698,49463,48860,48604,47417,46617,46633,46211,45377,44533,43247,41856,41196,41081,40905,40539,40333,40377,40650,41291,41899,42100,41692,40966,40641,40744,40946,41019,40921,40742,40646,40965,41806,42333,42040,41350,40876,40956,41116,41000,40655,40063,38801,36622,34526,33899,34556,35321,35742,35708,34955,34026,33754,33501,32890,32569,32572,32500,32322,32163,31947,31728,31582,31478,31567,31688,31458,31040,30634,30001,29241,28819,28629,28416
"Louisiana","State","Louisiana","All Homes",16730,16741,16681,16535,16381,16703,17287,17452,17399,17274,17173,17327,17529,17596,17688,17751,17600,17601,17795,17664,17306,17249,17389,17300,17003,16814,16527,15896,15479,15180,14667,14475,14619,14752,14738,14542,14550,14713,14660,14519,14402,14179,13963,14007,14170,14290,14403,14479,14354,14077,14021,14267,14428,14302,14128,14049,14021,14008,14055,14129,14029,13855,13876,14036,14143,14129,14100,14162,14218,14088,13851,13729,13645,13629,13810,13953,13984,14242,14669,14798,14728,14803,14898,14980,15367,15936,16265,16742,17522,18005,18210,18498,18947
