"RegionName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"California",1,,,,,,,,,,,,,,,,,,1.15870786516854,1.01388888888889,1.02184393151199,1.02150537634409,1.05,1.04838709677419,1.07692307692308,1.09173126614987,1.11386138613861,1.08333333333333,1.0989010989011,1.11764705882353,1.08333333333333,1.13475177304965,1.1754068716094,1.33333333333333,1.3986013986014,1.45845488136912,1.41666666666667,1.41144550278115,1.37692307692308,1.4,1.43888888888889,1.45258835991595,1.42142857142857,1.4,1.375,1.37931034482759,1.34387351778656,1.35714285714286,1.36702786377709,1.42601647552564,1.44444444444444,1.49375,1.53977106153887,1.57142857142857,1.61943086592179,1.61153846153846,1.64117647058824,1.5625,1.54976480354178,1.66666666666667,1.65909090909091,1.5717674970344,1.64285714285714,1.72,1.64588528678304,1.68708333333333,1.70588235294118,1.9,1.72674796747967,1.72281776416539,1.70714285714286,1.73684210526316,1.76470588235294,1.84,1.83333333333333,1.92227363279995,1.95238095238095,1.99285714285714,1.9775678025678,1.99411764705882,2.01184468741239,2
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12564671101256,1.11428571428571,1.06257110352673,1.07593764650727,1.06055337800818,1.0597302504817,1.06907894736842,0.94129763130793,0.89051094890511,0.882352941176471,0.897948742418459,0.933308345827086,1.00370762711864,0.996728519005747,0.988745980707395,0.921435499515034,0.881901840490798,0.861022646850672,0.89179548156956,0.862068965517241,0.862068965517241,0.853174603174603,0.853294128896539,0.85,0.864624505928854,0.861111111111111,0.864844828329883,0.848214285714286,0.872442839951865,0.923076923076923,0.916035353535354,0.913915094339623,0.936489831552999,0.926829268292683,0.934948652468337,0.9375,0.950570342205323,0.9375,0.92511013215859,0.925,0.914707837922403,0.917114351496546,0.95,0.950570342205323,0.954545454545455,0.953287108869356,0.925581395348837,0.919866220735786
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00230946882217,3.05263157894737,3.1,3.06666666666667,3,2.92307692307692,2.88888888888889,2.91290996617527,2.9,2.91666666666667,3.03762662807525,3.11111111111111,3.07692307692308,3.18,3.125,3.08649571722867,3.1,3,2.91666666666667,3.09369774247492,3.05926251097454,3.01797443115177,3.08333333333333,3.1310348010708,3.125,3.11111111111111,3.05882352941176,2.95
"Florida",4,,,,,,,0.86875,0.87073702604539,0.882843137254902,0.881818181818182,0.882930019620667,0.895,0.91734693877551,0.941608295089887,0.960878517501716,0.96410803127221,0.981789390340459,0.973684210526316,0.964285714285714,0.972762645914397,0.976653343023256,0.95,0.958333333333333,0.958333333333333,0.956521739130435,0.981559670723586,1,1.00840336134454,1.01836734693878,1.03198412698413,1.11592632719393,1.15772357458783,1.20197163947164,1.22222222222222,1.32862137862138,1.29475931047696,1.25,1.23076923076923,1.20570048154265,1.18694018751308,1.19047619047619,1.19565217391304,1.21412803532009,1.22222222222222,1.24031007751938,1.22727272727273,1.23274682645515,1.27272727272727,1.25448028673835,1.2699203187251,1.29219067616771,1.27272727272727,1.26488095238095,1.242983159583,1.25628140703518,1.26459143968872,1.24750499001996,1.25391849529781,1.30796670630202,1.35294117647059,1.39689714957586,1.41242937853107,1.48026315789474,1.38888888888889,1.41246468926554,1.41666666666667,1.38797091870456,1.375,1.39182915506035,1.46627565982405,1.49856367041199,1.44444444444444,1.45985401459854,1.44736842105263,1.47890415105763,1.47892943130526,1.5,1.49402390438247,1.49602175000946,1.52941176470588,1.53574238983186
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6969696969697,1.78571428571429,1.83333333333333,1.85,1.86369829081001,1.7475,1.74375,1.75,1.7932183908046,1.71875,1.75480769230769,1.75,1.73684210526316,1.746875,1.75,1.72981175409096,1.8,1.79583333333333
"Pennsylvania",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07699358386801,1.0625,1.06875,1.05605158730159,1.05384615384615,1.05555555555556,1.05370879120879,1.0308277027027,0.995,1,1,0.99290780141844,0.994722222222222,1,1.05676328502415,1.08333333333333,1.07786116322702,1.07084942084942,1.05882352941176,1.05882352941176,1.00694444444444,0.978915662650602,0.972222222222222,0.99169741697417,0.943396226415094,0.946699134199134,0.9375,0.958333333333333,1,1.03120558135127,1.01,1.05520393811533,0.961538461538462,0.992857142857143,1,0.9375,0.964476655376237,1,1.02777777777778,1.04545454545455,1.05,1.0327868852459,1.02884615384615,1.04347826086957,1,1
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.689189189189189,0.689679003730642,0.688773148148148,0.7,0.694444444444444,0.679347826086957,0.666666666666667,0.661243386243386,0.643715846994536,0.661764705882353,0.630782169890664,0.647058823529412,0.680909090909091,0.677922077922078,0.706194690265487,0.712250712250712,0.7125,0.734767025089606,0.713237013884459,0.706766917293233,0.692963752665245,0.714285714285714,0.698686446688599,0.633333333333333,0.635652519051651,0.650887573964497,0.69672131147541,0.701731810699477,0.707738095238095,0.68285437966289,0.74375,0.742857142857143,0.714285714285714,0.653846153846154,0.713224043715847,0.684210526315789,0.713719270420301,0.714285714285714,0.749525616698292,0.776382351513975,0.761111111111111,0.740223463687151,0.706214689265537,0.700467289719626,0.717097123414785
"Michigan",8,0.694117647058824,0.722556818181818,0.75,0.75,0.796875,0.766567527123083,0.805179107757673,0.776166410312752,0.785714285714286,0.719951923076923,0.727848101265823,0.722222222222222,0.731666666666667,0.761538461538461,0.78695652173913,0.777777777777778,0.793408025013028,0.75,0.734313725490196,0.742857142857143,0.742857142857143,0.749166666666667,0.744116832779623,0.729265212399541,0.722222222222222,0.75,0.75,0.75,0.785714285714286,0.78125,0.785714285714286,0.8,0.825,0.840918367346939,0.818088864101134,0.819672131147541,0.829764998305276,0.833333333333333,0.838981836933478,0.845731191885038,0.875,0.85,0.846153846153846,0.861111111111111,0.857142857142857,0.852017937219731,0.852941176470588,0.840449770944386,0.861271676300578,0.875203583061889,0.884615384615385,0.88047619047619,0.863636363636364,0.869565217391304,0.887777777777778,0.875,0.896979591836735,0.884955752212389,0.866666666666667,0.875,0.875,0.875,0.870098039215686,0.897226753670473,0.835416666666667,0.906696428571429,0.961538461538462,0.938888888888889,0.921538461538462,0.971354166666667,0.987828571926431,0.923032520325203,0.906344410876133,0.994444444444444,0.972727272727273,0.982477025898079,0.960526315789474,0.9375,0.987519379844961,0.932975260416667,0.96045197740113
"Georgia",9,,,,,,,,,,,,,,,,,,0.724137931034483,0.604347826086956,0.625,0.595119047619048,0.576923076923077,0.570833333333333,0.576923076923077,0.583333333333333,0.577630833939982,0.590909090909091,0.606060606060606,0.611111111111111,0.610902255639098,0.615384615384615,0.621636916716878,0.656521739130435,0.667260314633422,0.702028081123245,0.680851063829787,0.658617698091382,0.665555555555556,0.688004511738166,0.707142857142857,0.666111111111111,0.645161290322581,0.646706586826347,0.662650602409639,0.668185269552012,0.652173913043478,0.655370421492846,0.671296296296296,0.663143247729714,0.651041666666667,0.661057692307692,0.673758865248227,0.707142857142857,0.68342151675485,0.666666666666667,0.668404693109185,0.672313797313797,0.673469387755102,0.680693069306931,0.689655172413793,0.68625,0.713265306122449,0.71597213622291,0.731456043956044,0.734484916490441,0.747863247863248,0.733639143730887,0.76,0.739644970414201,0.722141590066118,0.729464580444973,0.797101449275362,0.78517316017316,0.789957430340557,0.826739532019704,0.857142857142857,0.851671847397744,0.879111842105263,0.892458723784025,0.914835164835165,0.883652430044183
"North Carolina",10,,,,,,,,,0.653264462809917,0.652892561983471,0.6640625,0.691390663415421,0.6875,0.728985599592201,0.763440860215054,0.76963906581741,0.752164502164502,0.710526315789474,0.653131287869315,0.667302798982188,0.673076923076923,0.68551724137931,0.68359375,0.66747572815534,0.720017976373909,0.73125,0.740740740740741,0.763888888888889,0.770303527481542,0.770303527481542,0.75,0.743595116618076,0.745978682170543,0.764297385620915,0.767040535222353,0.765940274414851,0.763005780346821,0.763888888888889,0.76084099868594,0.77047619047619,0.788819875776398,0.780135823429542,0.788624787775891,0.795454545454545,0.77850697292863,0.784297520661157,0.78125,0.788624787775891,0.788624787775891,0.779327841933834,0.782608695652174,0.808625336927224,0.774932614555256,0.770562770562771,0.771604938271605,0.75,0.75,0.745833333333333,0.7438473183391,0.736586405933507,0.737847222222222,0.75,0.763157894736842,0.799573560767591,0.736961451247165,0.772709049255441,0.791666666666667,0.785714285714286,0.755494505494505,0.773679315476191,0.791666666666667,0.746164245739797,0.789772727272727,0.805152979066023,0.807958801498127,0.854613095238095,0.846688034188034,0.825825825825826,0.842947637980996,0.833333333333333,0.820216755624574
