"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,102001,"United States",0,202700,0.00445986124876115,0.0145145145145145,0.0690928270042194,0.0571803294315256,0.00413802712841305,"2017-09","2017-Q3",202700,0,"2017-09"
2017-09-30,9,"California",1,509600,0.00532649437758927,0.0153417015341702,0.0726162913070932,0.0980095063276267,0.00337825696173977,"2006-06","2006-Q2",531800,-0.0417450169236555,"2005-10"
2017-09-30,54,"Texas",2,170200,0.00176574455562095,0.00591016548463357,0.059116365899191,0.067461542899947,0.0245846119626369,"2017-09","2017-Q3",170200,0,"2017-09"
2017-09-30,43,"New York",3,304200,0.002636783124588,0.00895522388059702,0.119205298013245,0.0459491882844754,-0.00897515712563723,"2007-08","2007-Q3",333500,-0.087856071964018,
2017-09-30,14,"Florida",4,212100,0.00616698292220114,0.0177543186180422,0.086577868852459,0.100330073917136,-0.00667866891913838,"2006-07","2006-Q3",254100,-0.165289256198347,"2005-06"
2017-09-30,21,"Illinois",5,170200,0.0035377358490566,0.0065050266114725,0.0441717791411043,0.0390983287094029,-0.016739822183539,"2007-05","2007-Q2",203500,-0.163636363636364,"2003-12"
2017-09-30,47,"Pennsylvania",6,161100,0.00248911014312383,0.0100313479623824,0.0373470701867354,0.0245527266788317,0.0044522366712354,"2017-09","2017-Q3",161100,0,"2017-09"
2017-09-30,44,"Ohio",7,128700,0.00155642023346304,0.0117924528301887,0.0557834290401969,0.0376214806257815,0.0038081653017723,"2017-09","2017-Q3",128700,0,"2017-09"
2017-09-30,30,"Michigan",8,135300,0.00370919881305638,0.0134831460674157,0.072107765451664,0.0809004364057286,0.00270043225905781,"2005-12","2005-Q4",142700,-0.0518570427470217,"2003-09"
2017-09-30,16,"Georgia",9,159100,0.00632511068943706,0.0205259781911482,0.0663538873994638,0.0685646802364286,0.00164905072755861,"2017-09","2017-Q3",159100,0,"2017-09"
2017-09-30,36,"North Carolina",10,163600,0.00615006150061501,0.016780609073959,0.0664928292046936,0.0384098542572473,0.00811344286292393,"2017-09","2017-Q3",163600,0,"2017-09"
2017-09-30,40,"New Jersey",11,307500,0.0026084121291164,0.0118460019743337,0.0452073419442556,0.0314445130415901,-0.0144834596324184,"2006-07","2006-Q3",367600,-0.163492927094668,"2004-10"
2017-09-30,56,"Virginia",12,245700,0.00163065633917652,0.00573065902578797,0.0380228136882129,0.029847449088344,-0.00712042518820233,"2007-05","2007-Q2",267200,-0.0804640718562874,"2005-08"
2017-09-30,59,"Washington",13,343800,0.00821114369501466,0.023518904435844,0.109748224661072,0.0913183626659571,0.0128801249062671,"2017-09","2017-Q3",343800,0,"2017-09"
2017-09-30,26,"Massachusetts",14,378900,0.00370860927152318,0.0125601282736505,0.0634296940780241,0.058684198953656,0.0137297118380173,"2017-09","2017-Q3",378900,0,"2017-09"
2017-09-30,22,"Indiana",15,121600,-0.000821692686935086,0.00164744645799012,0.0331350892098556,0.0219314501744166,0.00386374857878957,"2017-08","2017-Q3",121700,-0.000821692686935086,"2017-08"
2017-09-30,8,"Arizona",16,226800,0.00531914893617021,0.0161290322580645,0.0662905500705219,0.0833278110859965,-0.0063837732167753,"2006-05","2006-Q2",261800,-0.133689839572193,"2005-07"
2017-09-30,53,"Tennessee",17,144100,0.00628491620111732,0.0198159943382873,0.088368580060423,0.046877516390776,0.017625218615251,"2017-09","2017-Q3",144100,0,"2017-09"
2017-09-30,32,"Missouri",18,141800,0.00353857041755131,0.00710227272727273,0.0320232896652111,0.0317229375308115,-0.00633229151888792,"2007-05","2007-Q2",153200,-0.0744125326370757,"2005-02"
2017-09-30,27,"Maryland",19,272800,0.00627074880118038,0.0145035329118631,0.0404271548436308,0.0384500869069109,-0.0148419298712664,"2007-04","2007-Q2",323100,-0.155679356236459,"2005-05"
2017-09-30,60,"Wisconsin",20,167400,0.00419916016796641,0.0108695652173913,0.0594936708860759,0.0352150085437679,0.00566861641825023,"2017-09","2017-Q3",167400,0,"2017-09"
2017-09-30,31,"Minnesota",21,211100,0.00571700809909481,0.0144161460836136,0.0710299340436327,0.0648312104335178,0.00416786833566563,"2017-09","2017-Q3",211100,0,"2017-09"
2017-09-30,10,"Colorado",22,339200,0.00593119810201661,0.0164818699430626,0.0826683689754229,0.0953756606591287,0.0407524556106074,"2017-09","2017-Q3",339200,0,"2017-09"
2017-09-30,4,"Alabama",23,126000,0.00158982511923688,0.00558659217877095,0.0361842105263158,0.0166758586129954,-0.00273614732561733,"2009-05","2009-Q2",134000,-0.0597014925373134,"2006-08"
2017-09-30,51,"South Carolina",24,145300,0.00345303867403315,0.00345303867403315,0.0483405483405483,0.038657184051633,0.00604626183406243,"2017-09","2017-Q3",145300,0,"2017-09"
2017-09-30,24,"Kentucky",25,136100,0.00220913107511046,0.0111441307578009,0.0461183704842429,0.0300018521591399,0.0162836918597467,"2017-09","2017-Q3",136100,0,"2017-09"
2017-09-30,46,"Oregon",26,314200,0.00447570332480818,0.015513897866839,0.08719723183391,0.0979740929384887,0.0176375856993407,"2017-09","2017-Q3",314200,0,"2017-09"
2017-09-30,45,"Oklahoma",27,115600,0.000865800865800866,0.00784655623365301,0.0293855743544078,0.0415718363996274,0.0305009748129432,"2017-03","2017-Q1",116300,-0.0060189165950129,"2017-03"
