"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,273318,"Collins Garden","TX","San Antonio","Bexar","San Antonio",3762,80300,-0.00495662949194548,-0.0159313725490196,0.0255427841634738,0.0582591547109055,0.00739008425581944,"2017-06","2017-Q2",81600,-0.0159313725490196,"2017-05"
2017-09-30,342784,"Lakeshore","CO","Denver","Arapahoe","Aurora",3763,350400,0.00718597298074159,0.0159466512032473,0.0881987577639751,0.104992477629254,0.0415135773789055,"2017-09","2017-Q3",350400,0,"2017-09"
2017-09-30,276058,"Whiteoak","NC","Charlotte","Mecklenburg","Charlotte",3764,353500,0.00397614314115308,0.0131842934938378,0.0774154221274002,0.0589244560826414,0.0140054954908355,"2017-09","2017-Q3",353500,0,"2017-09"
2017-09-30,274137,"Jefferson Park","AZ","Tucson","Pima","Tucson",3765,224200,-0.00133630289532294,-0.00752545374059318,0.0135623869801085,0.0408781882620901,-0.0113853690492203,"2006-04","2006-Q2",261100,-0.141325162772884,"2005-05"
2017-09-30,342707,"Vista del Norte","NM","Albuquerque","Bernalillo","Albuquerque",3766,231300,-0.0149063032367973,-0.0512715340442986,0.0654076462459696,0.0309539756309514,-0.00360246284017718,"2017-05","2017-Q2",244300,-0.0532132623823168,"2017-01"
2017-09-30,343593,"Prairie Hills","WI","Madison","Dane","Madison",3767,220300,0.00455996352029184,0.0175519630484988,0.0663117134559535,0.0506225677401899,0.0117561258450214,"2017-09","2017-Q3",220300,0,"2017-09"
2017-09-30,270493,"SE Heights","NM","Albuquerque","Bernalillo","Albuquerque",3768,264900,-0.00301091456529921,-0.017797552836485,0.0668546113572292,0.0400272197085938,0.00714333000198542,"2017-06","2017-Q2",269700,-0.017797552836485,"2017-05"
2017-09-30,276516,"Poncey-Highland","GA","Atlanta","Fulton","Atlanta",3769,282500,0.00748930099857347,0.0224393774882374,0.06242948476871,0.1218228081996,0.0201093910835053,"2017-09","2017-Q3",282500,0,"2017-09"
2017-09-30,272096,"Fernwood","WI","Milwaukee","Milwaukee","Milwaukee",3770,211300,-0.00937646507266761,-0.0112306972391203,0.095386210471747,0.0632461547090373,0.0185054699739728,"2017-07","2017-Q3",214200,-0.0135387488328665,"2017-05"
2017-09-30,272919,"Bellemeade","VA","Richmond","Richmond City","Richmond",3771,66000,0.0410094637223975,0.101836393989983,0.155866900175131,0.0744064380151965,-0.00643307074087363,"2006-08","2006-Q3",75000,-0.12,"2005-10"
2017-09-30,271632,"West Congress","TX","Austin","Travis","Austin",3772,286900,0.00244584206848358,0.00525578135949544,0.097131931166348,0.114702537319449,0.0569415943876486,"2017-04","2017-Q2",288100,-0.00416522040958001,"2017-04"
2017-09-30,270390,"Eldorado Heights","NM","Albuquerque","Bernalillo","Albuquerque",3773,222600,-0.0035810205908684,-0.035946297098311,0.06,0.0283097684303575,-0.00489693176227424,"2007-10","2007-Q4",235200,-0.0535714285714286,"2007-04"
2017-09-30,274740,"North Rosslyn","VA","Washington","Arlington","Arlington",3774,774600,-0.00870232915280266,-0.0134997452878248,0.000258264462809917,0.0174542916156715,0.0172080323020536,"2017-07","2017-Q3",786400,-0.0150050864699898,"2017-01"
2017-09-30,269553,"Sunset","ID","Boise City","Ada","Boise",3775,221800,0.00498414136837336,0.0321079571893904,0.176657824933687,0.11762185582209,0.00805532920278784,"2017-09","2017-Q3",221800,0,"2017-09"
