"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Scottsboro, AL","AL",479,891,-0.00668896321070234,-0.00668896321070234,-0.0377969762419006,7430
2017-09-30,"Danville, KY","KY",480,892,0.00337457817772778,0.0045045045045045,-0.00335195530726257,12432
2017-09-30,"Greenville, OH","OH",481,992,0,0.010183299389002,-0.0667920978363123,13727
2017-09-30,"Warrensburg, MO","MO",482,1125,-0.00088809946714032,0.00446428571428571,-0.00706090026478376,10814
2017-09-30,"Fort Polk South, LA","LA",483,1148,0.00174520069808028,0.00790166812993854,0.0493601462522852,9874
2017-09-30,"Fort Leonard Wood, MO","MO",484,961,0.00417972831765935,0.00417972831765935,-0.0183861082737487,5102
2017-09-30,"Glasgow, KY","KY",485,931,0.00976138828633406,0.021953896816685,0.0264608599779493,11257
2017-09-30,"Athens, TN","TN",486,1090,-0.000916590284142988,-0.000916590284142988,0.0521235521235521,17551
2017-09-30,"Edwards, CO","CO",487,3195,-0.00930232558139535,-0.0660625548085355,-0.0860983981693364,27866
2017-09-30,"Fernley, NV","NV",488,1334,0.0175438596491228,0.055379746835443,0.153979238754325,14020
2017-09-30,"Mason City, IA","IA",489,866,0.0140515222482436,0.0200235571260306,-0.0806794055201698,21917
2017-09-30,"Winona, MN","MN",490,1233,0,0.00817661488143908,0.0249376558603491,15949
2017-09-30,"Platteville, WI","WI",491,1101,0.00273224043715847,0,0.0647969052224371,10093
2017-09-30,"Boone, NC","NC",492,1319,0.00380517503805175,0.00840978593272171,0.0369496855345912,22986
2017-09-30,"Bartlesville, OK","OK",493,929,0,0.00759219088937093,-0.0179704016913319,21105
2017-09-30,"Jacksonville, TX","TX",494,1118,0.00269058295964126,0.00902527075812274,-0.0378657487091222,7551
2017-09-30,"Elko, NV","NV",495,1450,0.0290986515259049,0.0828976848394324,0.0837070254110613,7818
2017-09-30,"Rexburg, ID","ID",496,1187,0.00935374149659864,0.0421422300263389,0.226239669421488,13266
2017-09-30,"St. Marys, GA","GA",497,1138,0.00352733686067019,-0.00175438596491228,0.00352733686067019,12525
2017-09-30,"Ozark, AL","AL",498,832,-0.00597371565113501,0.0060459492140266,-0.016548463356974,13382
2017-09-30,"Amsterdam, NY","NY",499,1344,0.0105263157894737,0.0189537528430629,-0.0323974082073434,11104
2017-09-30,"Enterprise, AL","AL",500,919,0.0143487858719647,0.0314253647586981,0.0395927601809955,17352
2017-09-30,"Kerrville, TX","TX",501,1428,0.00140252454417952,0.00705218617771509,0.0178189593727726,10409
2017-09-30,"New Castle, IN","IN",502,827,0.00853658536585366,0.0311720698254364,0.058898847631242,16473
2017-09-30,"Sidney, OH","OH",503,1096,-0.00272975432211101,-0.00544464609800363,-0.0223015165031222,12505
2017-09-30,"Cortland, NY","NY",504,1329,0.00911161731207289,0.0060560181680545,-0.0507142857142857,10637
2017-09-30,"Clinton, IA","IA",505,958,0.00209205020920502,-0.00622406639004149,-0.0254323499491353,18148
2017-09-30,"Del Rio, TX","TX",506,1178,-0.00254022015241321,-0.00422654268808115,-0.00674536256323777,9379
2017-09-30,"Washington, NC","NC",507,1015,0.00495049504950495,0.00995024875621891,-0.0087890625,2770
2017-09-30,"Corsicana, TX","TX",508,1182,0.00767263427109974,0.0260416666666667,-0.0141784820683903,10221
2017-09-30,"Burlington, IA","IA",509,962,0.0136986301369863,0.0169133192389006,0.0244941427050053,15529
2017-09-30,"Cadillac, MI","MI",510,926,0.00433839479392625,0.0254706533776301,0.0546697038724374,17727
2017-09-30,"Ardmore, OK","OK",511,796,0.00251889168765743,-0.00995024875621891,-0.101580135440181,19851
2017-09-30,"Kendallville, IN","IN",512,1040,0.00483091787439614,0.0246305418719212,0.015625,13904
2017-09-30,"Nogales, AZ","AZ",513,1081,0.0131208997188379,0.0404234841193455,0.10081466395112,12660
2017-09-30,"Oxford, MS","MS",514,1420,0,-0.00699300699300699,0.0612855007473842,10789
2017-09-30,"Plymouth, IN","IN",515,1131,0.0125335720680394,0.0560224089635854,0.000884955752212389,14209
2017-09-30,"Gardnerville Ranchos, NV","NV",516,2015,0.0080040020010005,0.0333333333333333,0.200834326579261,19101
2017-09-30,"Tahlequah, OK","OK",517,883,0.00113378684807256,0.00227014755959137,-0.0576307363927428,14459
2017-09-30,"Canon City, CO","CO",518,1165,-0.00597269624573379,0,0.0130434782608696,14429
2017-09-30,"Ruston, LA","LA",519,1329,0.00987841945288754,0.0207373271889401,0.027047913446677,7748
2017-09-30,"Lewistown, PA","PA",520,1019,0.00891089108910891,0.0334685598377282,-0.017357762777242,8220
2017-09-30,"Rockingham, NC","NC",521,818,0.00368098159509202,0.0174129353233831,0.0302267002518892,1263
2017-09-30,"Blytheville, AR","AR",522,792,0.0140845070422535,0.0272373540856031,0.0179948586118252,7878
2017-09-30,"Red Wing, MN","MN",523,1335,0,-0.00373134328358209,-0.00149588631264024,16079
2017-09-30,"Cedar City, UT","UT",524,1216,0.00578990901571547,0.0455717970765262,0.15260663507109,8542
2017-09-30,"Bedford, IN","IN",525,856,0.00824499411071849,0.0251497005988024,0.0276110444177671,15742
