"RegionID","Date","RegionName","State","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
394379,2017-09-30,"Bemidji, MN","MN",560,157600,-0.00630517023959647,0.00510204081632653,0.102869139258223,0.0199188094031302,-0.00144779517350135,"2008-02","2008-Q1",177000,-0.109604519774011,"2007-09"
394887,2017-09-30,"Mount Sterling, KY","KY",561,107300,0,0,0.0113100848256362,0.0314705722671773,,"2017-07","2017-Q3",107400,-0.000931098696461825,"2017-06"
394850,2017-09-30,"Menomonie, WI","WI",562,154900,0.00912052117263844,0.0306054557551564,0.103276353276353,0.0419989137772678,-0.00140928580665778,"2007-12","2007-Q4",162700,-0.0479409956976029,"2007-08"
394424,2017-09-30,"Bucyrus, OH","OH",563,70700,0.00141643059490085,-0.00422535211267606,0.0536512667660209,0.022035617842231,-0.0111639456265183,"2006-01","2006-Q1",85000,-0.168235294117647,"1999-12"
394500,2017-09-30,"Cornelia, GA","GA",564,133800,0.00299850074962519,0.00981132075471698,0.062748212867355,0.0792001164838854,0.00594469042805401,"2017-09","2017-Q3",133800,0,"2017-09"
394426,2017-09-30,"Burley, ID","ID",565,146300,0.0110573600552868,0.0310077519379845,0.0813008130081301,0.0419971063718827,0.00919782541230574,"2008-07","2008-Q3",150300,-0.0266134397870925,"2008-06"
394654,2017-09-30,"Greenwood, MS","MS",566,56800,-0.00699300699300699,-0.0307167235494881,-0.0356536502546689,0.01394522242736,,"2016-09","2016-Q3",58900,-0.0356536502546689,"2016-07"
394384,2017-09-30,"Big Rapids, MI","MI",567,102800,0.00982318271119843,0.0198412698412698,0.00587084148727984,0.0506438286640596,-0.009415639212907,"2003-08","2003-Q3",136900,-0.2490869247626,"1999-03"
394895,2017-09-30,"Muscatine, IA","IA",568,136300,-0.00219619326500732,-0.00365497076023392,0.0372907153729072,0.0280376670052254,,"2017-04","2017-Q2",137300,-0.00728332119446468,"2017-02"
394319,2017-09-30,"Alma, MI","MI",569,82900,0,0,0.0655526992287918,0.0447588538477557,-0.0028498706225033,"2006-06","2006-Q2",93000,-0.108602150537634,"2003-03"
394548,2017-09-30,"Durant, OK","OK",570,118800,0.00592718035563082,0.0206185567010309,0.0780399274047187,0.0618587587949346,0.0473491492643057,"2017-09","2017-Q3",118800,0,"2017-09"
395087,2017-09-30,"Seymour, IN","IN",571,109200,-0.00455788514129444,-0.0108695652173913,0.030188679245283,0.029556367230329,0.00995642107138317,"2016-02","2016-Q1",114700,-0.047951176983435,"2015-01"
395228,2017-09-30,"Willmar, MN","MN",572,158500,0,0,0.044137022397892,0.0215106067453465,0.000252716837711997,"2008-04","2008-Q2",165600,-0.0428743961352657,"2008-01"
394349,2017-09-30,"Auburn, IN","IN",573,116400,-0.0025706940874036,0,0.0201577563540754,0.0233750975254889,0.0106496498413828,"2017-01","2017-Q1",120600,-0.0348258706467662,"2016-12"
394961,2017-09-30,"Paragould, AR","AR",574,102400,0,-0.00775193798449612,-0.014436958614052,-0.00443262783157661,0.0238471919331136,"2012-06","2012-Q2",107600,-0.0483271375464684,"2012-03"
395230,2017-09-30,"Wilmington, OH","OH",575,127700,-0.00622568093385214,0.018341307814992,0.134103019538188,0.0505387375248942,0.00733521801531767,"2006-06","2006-Q2",133200,-0.0412912912912913,"2006-01"
394779,2017-09-30,"Lawrenceburg, TN","TN",576,94200,0,0.00533617929562433,0.0596175478065242,0.0486061918077358,0.00786711416421348,"2017-07","2017-Q3",94300,-0.00106044538706257,"2017-07"
394891,2017-09-30,"Mountain Home, AR","AR",577,127600,0.0047244094488189,0.0265486725663717,0.0981067125645439,0.0310680062769784,0.00458039151300693,"2017-09","2017-Q3",127600,0,"2017-09"
394448,2017-09-30,"Cedartown, GA","GA",578,88500,0,0.0068259385665529,0.0485781990521327,0.0841045270324545,-0.0076873270001645,"2007-04","2007-Q2",98600,-0.102434077079108,"2005-09"
753913,2017-09-30,"Port Clinton, OH","OH",579,136500,-0.00364963503649635,0.00293901542983101,0,0.0323713275562794,-0.00302594751379093,"2006-04","2006-Q2",150700,-0.0942269409422694,"2005-06"
394558,2017-09-30,"El Campo, TX","TX",580,127800,0.00392772977219167,0.0126782884310618,0.101724137931034,0.0862626048297079,0.0100835584507735,"2017-09","2017-Q3",127800,0,"2017-09"
394876,2017-09-30,"Montrose, CO","CO",581,222600,0.000899280575539568,0.0118181818181818,0.103619236489836,0.059033606869684,0.00661348605017875,"2008-06","2008-Q2",229900,-0.0317529360591562,"2008-02"
394567,2017-09-30,"Ellensburg, WA","WA",582,234300,-0.0225281602002503,-0.0298136645962733,0.101551480959097,0.059133448161248,0.00419238017314605,"2017-07","2017-Q3",242600,-0.0342126957955482,"2017-05"
394715,2017-09-30,"Jacksonville, IL","IL",583,84800,0,0.0155688622754491,0.0155688622754491,0.0341304814046859,0.00634821000672847,"2009-01","2009-Q1",88700,-0.0439684329199549,"2008-06"
753916,2017-09-30,"Sandpoint, ID","ID",584,250300,0.0032064128256513,0.00602893890675241,0.0499161073825503,0.0379180419366141,-0.0164971064508269,"2007-05","2007-Q2",298000,-0.16006711409396,
394449,2017-09-30,"Celina, OH","OH",585,138400,-0.00859598853868195,-0.0177430801987225,0.0406015037593985,-0.018829939733811,0.0103163125907293,"2014-03","2014-Q1",191400,-0.276907001044932,"2012-06"
394627,2017-09-30,"Garden City, KS","KS",586,137300,0.00218978102189781,0.00438917337234821,0.0307807807807808,0.0460970963279657,0.0423326097016823,"2017-09","2017-Q3",137300,0,"2017-09"
395219,2017-09-30,"West Plains, MO","MO",587,115000,-0.00173611111111111,-0.000868809730668983,-0.00605012964563526,0.0209014409326818,-0.0166324042003244,"2007-04","2007-Q2",137000,-0.160583941605839,
753877,2017-09-30,"Cullowhee, NC","NC",588,205100,-0.000974184120798831,-0.00533462657613967,0.0133399209486166,0.0352263368135828,-0.0230252016132624,"2008-02","2008-Q1",265900,-0.228657389996239,"2005-02"
394574,2017-09-30,"Espanola, NM","NM",589,165800,0.00484848484848485,0.0097442143727162,0.0165542611894543,0.0120004353562679,,"2016-05","2016-Q2",168700,-0.017190278601067,"2016-02"
395026,2017-09-30,"Riverton, WY","WY",590,175700,-0.00170454545454545,0.00342661336379212,-0.01953125,0.00816434912755803,,"2010-05","2010-Q2",179400,-0.0206243032329989,
395158,2017-09-30,"Tifton, GA","GA",591,127100,0.0063341250989707,0.0168,0.0341741253051261,0.0254346480884613,0.000552422177225065,"2009-02","2009-Q1",132500,-0.0407547169811321,"2007-11"
395178,2017-09-30,"Urbana, OH","OH",592,121500,0.00164880461665293,0.0150375939849624,0.0695422535211268,0.0300136949063465,0.0140284246653457,"2017-09","2017-Q3",121500,0,"2017-09"
394934,2017-09-30,"Okeechobee, FL","FL",593,128200,0.00786163522012579,0.0272435897435897,0.16970802919708,0.114072578310592,-0.0183600833106248,"2006-05","2006-Q2",173300,-0.260242354298904,"2005-01"
394845,2017-09-30,"McMinnville, TN","TN",594,87700,-0.0101580135440181,-0.0123873873873874,0.178763440860215,0.0647025954775893,0.0294602341244128,"2017-07","2017-Q3",89800,-0.0233853006681514,"2017-06"
395082,2017-09-30,"Selinsgrove, PA","PA",595,153300,0.00458715596330275,0.0118811881188119,0.00392927308447937,0.0429995277892024,0.0230165251707433,"2017-03","2017-Q1",155400,-0.0135135135135135,"2016-10"
394904,2017-09-30,"Natchitoches, LA","LA",596,143400,0.0027972027972028,0.0286944045911047,0.0436681222707424,0.0508574632454248,0.0187408920158461,"2017-09","2017-Q3",143400,0,"2017-09"
