"RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,,,,,,,,,,,,,0.96293654567549,0.909090909090909,0.923076923076923,0.935828877005348,1.04305749913096,1.09429824561404,1.11764705882353,1.09285714285714,1.09704641350211,1.07758620689655,1.02857142857143,1.00959893118517,1,1.02941176470588,1.04761904761905,1.1,1.08333333333333,1.16584440736785,1.17857142857143,1.21428571428571,1.26315789473684,1.27272727272727,1.33333333333333,1.34682080924855,1.375,1.35782747603834,1.375,1.41791044776119,1.41666666666667,1.38067061143984,1.36111111111111,1.38644918444166,1.58878504672897,1.58730158730159,1.49438341155025,1.44978993347485,1.42857142857143,1.37545521516077,1.35220125786164,1.3360925892096,1.40625,1.495,1.53466866023619,1.54166666666667,1.50699677072121,1.49376296680498,1.5327380952381,1.50704448465138,1.504329004329,1.49007042253521,1.59333333333333,1.57142857142857,1.55128205128205,1.6472590282513,1.57377049180328,1.57824031469352,1.625,1.52352941176471,1.56917562724014,1.48385450462602,1.45536869340233,1.49350649350649,1.58524904214559,1.42857142857143,1.52353755906795,1.5,1.52631578947368,1.57958687727825,1.59722222222222,1.58703071672355,1.56617071260767,1.50158568211974,1.47710487444609
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05294117647059,3.06625514403292,3.11111111111111,3.11111111111111,3,2.99375,2.94736842105263,2.9725975975976,2.94117647058824,2.95,3.07142857142857,3.125,3.09597523219814,3.2,3.11111111111111,3.10526315789474,3.1,3,2.9375,3.12048192771084,3.09139094121426,3.06,3.1,3.14893617021277,3.14285714285714,3.15,3.11111111111111,3
"Los Angeles, CA",2,,,,,,,,,,,,,,,,,,,,,,1.4,1.30779710752463,1.31666666666667,1.31578947368421,1.289,1.28766469321851,1.29441624365482,1.32076744955342,1.36111111111111,1.32107023411371,1.34969325153374,1.375,1.38888888888889,1.42857142857143,1.5,1.61006357921609,1.65194346289753,1.69570218682847,1.7,1.64628410159925,1.62111111111111,1.625,1.64640174233776,1.63888888888889,1.66666666666667,1.66666666666667,1.65450928381963,1.64352941176471,1.62337662337662,1.625,1.62337662337662,1.67283860492074,1.69014084507042,1.69154228855721,1.75,1.75,1.7718253968254,1.83333333333333,1.83452380952381,1.78571428571429,1.80372153945979,1.88260869565217,1.86774193548387,1.77146180179653,1.825,1.85459940652819,1.83341592335646,1.83333333333333,1.875,1.99300699300699,1.84943729903537,1.84797218326321,1.82386516250336,1.84059343434343,1.89473684210526,1.92190333557471,1.97941182131378,2.0548048048048,2.08333333333333,2.12,2.08681318681319,2.10271903323263,2.1245028922632,2.10714285714286
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74418604651163,1.82857142857143,1.86875,1.88850038850039,1.9,1.795,1.78348214285714,1.83333333333333,1.85,1.79,1.83333333333333,1.825,1.79,1.8,1.8,1.78125,1.8642330501683,1.86875
"Dallas, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99830866807611,0.991564417177914,0.90684253915911,0.917767475271916,0.885668276972625,0.868621064060804,0.848400556328234,0.873736691243191,0.890443621164624,0.85,0.875190258751903,0.87719298245614,0.87163258682246,0.872349949863916,0.918789808917197,0.987723214285714,0.975499092558984,0.963203463203463,0.962696941612604,0.939913835121895,0.948062654575433,0.948019801980198,0.976806422836753,0.937844487984259,0.919117647058823,1.00798934753662,1.02513227513228,1.01185069905092,1.0454744293327,1.04016064257028,1.05912485030178,1.10229329105329,1.08047493403694,1.04050279329609
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.917857142857143,0.958333333333333,0.995,1.01547388781431,1.015625,1.02810143934202,1.08166666666667,1.10540935672515,1.11875,1.15,1.17241379310345,1.19578686493185,1.26054852320675,1.195,1.17959314298436,1.16666666666667,1.16666666666667,1.16666666666667,1.195,1.18110236220472,1.17233294255569,1.15833333333333,1.15098039215686,1.15625,1.15652173913043,1.14583333333333,1.17565698478562,1.23172103487064,1.25932835820896,1.26969696969697,1.27777777777778,1.25,1.22050803233398,1.19476962457338,1.21428571428571,1.23226288274832,1.25,1.17838733431517,1.2,1.2,1.22222222222222,1.27450918964077,1.325,1.34245187436677,1.34981154111589,1.25932835820896,1.30952380952381,1.25949367088608,1.20833333333333,1.2646793134598,1.2995,1.31742424242424,1.39230486008837,1.3891106442577,1.40882352941176,1.425,1.4,1.395,1.37431318681319
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26248941574936,1.15120967741935,1.23175675675676,1.14120667522465,1.1203007518797,1.12244897959184,1.18150684931507,1.12296110414053,1.19047619047619,1.24590163934426,1.36165577342048,1.40625,1.15319426336375,1.08446471809063,1.12,1.14942528735632,1.1,1.125,1.1328125,1.09090909090909,1.07045850914205,1.1143319797295,1.15343347639485,1.06759656652361,1.11061374714016,1.08515054390054,1.08872458410351,1.10294117647059,1.16238317757009,1.12390350877193,1.0736224028907,1.13092237903226,1.11777820447175,1.13968253968254,1.13355096968709,1.15658362989324,1.13793103448276,1.16739259903102,1.125,1.09809663250366,1.14285714285714,1.1701114501017,1.16973121907332,1.16666666666667,1.10206896551724,1.07188698116353,1.05990783410138
"Washington, DC",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03125,1.90650421193797,2.0236287191368,1.97540509259259,2.06684256816183,2.09868421052632,2.18033998521803,2.30638613861386,2.30260707635009,2.29581584036983,2.24933862433862,2.32,2.29153111071315,2.13333333333333
"Miami, FL",8,,,,,,,,,,,1.05541596873255,1.05541596873255,1.04720885807273,1.03132161955691,1.03260869565217,1.03783714428492,1.06181268287445,1.07671601615074,1.1057609616636,1.09090909090909,1.11944992021027,1.11538461538462,1.10026041666667,1.11689699699598,1.11731843575419,1.06598984771574,1.06666666666667,1.07913669064748,1.08969696969697,1.1020785662853,1.1304347826087,1.13905449269431,1.16666666666667,1.18240345855242,1.2790260761073,1.3166144200627,1.35135135135135,1.364522417154,1.47058823529412,1.43163922691482,1.3795738277546,1.36834319526627,1.35327635327635,1.33120340788072,1.3412017167382,1.35964912280702,1.3986013986014,1.39793788907753,1.40599159316428,1.38888888888889,1.36842105263158,1.44577499588206,1.43382352941176,1.46484375,1.54711204627779,1.53846153846154,1.46666666666667,1.52016464485539,1.53846153846154,1.52380952380952,1.51260504201681,1.53994225216554,1.61875,1.65377132595031,1.68421052631579,1.67763157894737,1.7163504968383,1.63636363636364,1.67300710225218,1.73825503355705,1.69230769230769,1.61875,1.65853658536585,1.75,1.79477975960388,1.68181818181818,1.66666666666667,1.70245701864172,1.77777777777778,1.76470588235294,1.78997613365155,1.77115987460815,1.76236263736264,1.78571428571429,1.8125
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.735913052089523,0.789583333333333,0.75,0.666111111111111,0.6625,0.691304347826087,0.723229911161579,0.665280950314498,0.680628272251309,0.6875,0.712875225275963,0.707142857142857,0.703703703703704,0.706211302487898,0.719721767594108,0.72,0.704545454545455,0.75,0.736360584186671,0.718512256973795,0.721977189699724,0.739583333333333,0.755798801146729,0.786924939467312,0.795690343176377,0.810473815461347,0.806451612903226,0.761054421768708,0.764705882352941,0.795690343176377,0.776053215077605,0.78125,0.777777777777778,0.855555555555556,0.882843137254902,0.881696428571429,0.954861111111111,0.974462365591398,1.00483675937122,1.05882352941176,1.02565038002172,1.02133333333333,1.01666666666667
