"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Metro","New York, NY",,"NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",1,5.13470681458003,85.92,3.6316,1.7598,426300,0.305882352941176,7.78761061946903,0.0320220501993902,,0.0916493317549428,0.125016403112455,122
"Metro","Los Angeles, CA",,"CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",2,7.32171156893819,95.17,3.3858,0.9021,613200,0.31081302142974,5.74236937403001,0.0122227658186562,,0.0556370969560247,0.0302701634573016,63
"Metro","Chicago, IL",,"IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",3,2.39302694136292,76.26,,,213600,0.423131170662906,6.37450199203187,0.0327481273408239,,0.164245587372845,0.0496547180769359,84
"Metro","Dallas, TX",,"TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",4,9.93660855784469,97.81,1.4136,0.4255,214800,0.656044985941893,8.86974151039027,0.0459729981378025,,,,53
"Metro","Philadelphia, PA",,"PA","Philadelphia, PA","""Philadelphia-Camden-Wilmington, PA-NJ-DE-MD""",5,0.63391442155309,83.17,6.3721,4.6637,218200,0.229673863114378,3.11909262759924,0.0204124656278644,,0.113538796276666,0.0887167798792569,91
"Metro","Houston, TX",,"TX","Houston, TX","""Houston-The Woodlands-Sugar Land, TX""",6,3.35974643423138,80.33,,,182200,0,4.23340961098398,0.0277661909989022,,,,76
"Metro","Washington, DC",,"VA","Washington, VA","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",7,3.20126782884311,84.29,4.9714,1.7003,385300,0.416992442011989,3.1040941932031,0.024007267064625,,0.121186758745575,0.0459029219792834,70
"Metro","Miami, FL",,"FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",8,5.70522979397781,85.88,,,257900,0.7421875,7.0568700705687,0.0158162078324933,,0.0992035482027333,0.0646374894891417,106
"Metro","Atlanta, GA",,"GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",9,7.92393026941363,89.06,,,182700,0.772200772200772,7.85123966942149,0.0523973727422002,,0.122212445660166,0.0381570520513811,66
"Metro","Boston, MA",,"MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",10,7.84469096671949,94,,,430700,0.396270396270396,7.00621118012422,0.0286649640120733,,0.0630023968800622,0.0385903581140817,70
"Metro","San Francisco, CA",,"CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",11,8.66877971473851,95.72,2.562,0.5119,865400,0.254865616311399,6.02793432982112,0.0133325629766583,,0.0360886597233153,0.0177114278014923,45
"Metro","Detroit, MI",,"MI","Detroit, MI","""Detroit-Warren-Dearborn, MI""",12,6.94136291600634,88.53,,,142400,0.636042402826855,8.53658536585366,0.0366432584269663,,0.114208344338497,0.027384740276958,66
